cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Billaputtu,0,0,7,5,0,2,0,2,5,4,3,0,0,7,0,0,5,0,6,7,0,6,1,7,0,1,6,7,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Sangamvalasa,0,5,7,5,4,3,0,3,9,12,0,0,3,9,0,0,12,0,12,4,8,3,9,8,4,1,11,12,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Kosangi,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Kusumavalasa,0,0,2,0,0,2,0,2,0,2,0,0,0,2,0,1,1,0,2,1,1,2,0,2,0,0,2,2,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Kuridi,2,8,10,7,4,9,17,0,3,19,1,1,7,12,0,0,20,0,20,2,18,11,9,13,7,1,19,13,7
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Kandram,7,5,12,5,3,16,0,6,18,20,4,0,6,18,0,2,22,0,24,1,23,23,1,24,0,0,24,12,12
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Dathuru,0,0,2,1,0,1,0,0,2,2,0,0,0,2,0,0,2,0,2,1,1,2,0,2,0,0,2,2,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Sovva,3,0,4,0,6,1,3,1,3,3,4,0,0,7,0,0,7,0,7,1,6,7,0,7,0,0,7,7,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Sarai,0,8,2,6,0,4,0,0,10,10,0,1,5,4,0,0,10,0,10,1,9,9,1,10,0,0,10,10,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Araku,1,23,30,46,4,4,22,31,1,53,1,0,12,42,0,37,17,0,54,16,38,15,39,44,10,0,54,45,9
