State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Anjoda,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Anjoda,6,5,5,3,5,8,0,7,9,0,12,4,0,5,11,14,2,16,0,0,16,16,0,16,0,2,14,16,0
Araku,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Araku,1,30,23,46,4,4,22,1,31,0,42,12,0,37,17,54,0,53,1,16,38,15,39,44,10,0,54,45,9
Arama,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Arama,0,3,19,22,0,0,18,5,0,0,3,18,0,6,9,19,0,23,0,7,16,6,17,18,5,0,23,23,0
Billaputtu,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Billaputtu,0,7,0,5,2,0,0,5,2,0,7,0,0,0,5,6,0,4,3,7,0,6,1,7,0,1,6,7,0
Bitragonda,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Bitragonda,0,5,0,0,0,5,0,0,5,0,5,0,0,2,2,5,0,5,0,0,5,5,0,5,0,0,5,5,0
Bodimela,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Bodimela,0,2,3,6,0,0,6,0,0,0,2,4,0,0,5,6,0,6,0,0,6,2,4,6,0,0,6,6,0
Borrapalem,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Borrapalem,1,2,8,4,3,4,1,3,7,0,11,0,0,1,10,11,0,1,10,10,1,6,5,8,3,6,5,11,0
Chamadapadu,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Chamadapadu,0,0,3,0,3,0,3,0,0,0,3,0,0,0,3,3,0,3,0,0,3,3,0,3,0,0,3,3,0
Champaputtu,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Champaputtu,0,3,3,7,0,0,0,3,4,0,2,4,0,0,3,3,0,7,0,4,3,7,0,7,0,0,7,7,0
Chelimarivalasa,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Chelimarivalasa,0,5,9,11,2,1,4,9,1,0,13,1,0,0,10,11,0,14,0,10,4,14,0,14,0,0,14,14,0
Dathuru,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Dathuru,0,2,0,1,1,0,0,2,0,0,2,0,0,0,2,2,0,2,0,1,1,2,0,2,0,0,2,2,0
Demuduvalasa,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Demuduvalasa,1,1,3,1,3,1,2,3,0,0,5,0,0,1,3,5,0,5,0,1,5,5,0,6,0,0,5,6,0
Dumbriguda,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Dumbriguda,2,7,1,5,0,5,0,2,8,0,9,1,0,0,8,9,0,6,4,6,4,10,0,10,0,4,6,10,0
Gadabagolugu,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Gadabagolugu,0,7,0,2,3,2,2,5,0,0,7,0,0,0,7,7,0,7,0,0,7,4,3,6,0,1,6,0,7
Gasaba,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Gasaba,4,10,0,1,5,9,3,10,2,0,10,4,0,0,14,13,0,15,0,0,15,15,0,15,0,1,14,15,0
Gatharagilleda,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Gatharagilleda,4,5,1,0,6,4,0,3,7,0,9,1,0,1,9,10,0,10,0,0,10,10,0,10,0,1,9,10,0
Gondiguda,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Gondiguda,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
Gorapur,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Gorapur,3,6,1,9,1,0,0,2,8,1,8,1,0,2,8,10,0,5,5,0,10,2,8,8,2,0,10,10,0
Guntaseema,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Guntaseema,2,12,3,16,0,1,0,4,13,0,16,1,0,0,17,17,0,13,4,9,8,16,1,17,0,1,16,17,0
Jamguda,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Jamguda,4,40,12,8,31,17,17,16,23,0,50,6,0,1,55,55,1,54,2,2,54,56,0,56,0,0,56,56,0
Jurripadu,Alluri Sitharama Raju,DUMBRIGUDA - 5592,Jurripadu,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0
