State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
A.Bandaveedhi,Alluri Sitharama Raju,G.MADUGULA - 5593,A.Bandaveedhi,0,3,4,6,1,0,7,0,0,1,1,5,0,0,7,7,0,7,0,3,4,3,4,7,0,6,1,6,1
Agampadu,Alluri Sitharama Raju,G.MADUGULA - 5593,Agampadu,0,3,6,7,1,1,8,1,0,3,2,4,0,0,7,9,0,7,2,7,2,4,5,9,0,7,2,7,2
Anarbha,Alluri Sitharama Raju,G.MADUGULA - 5593,Anarbha,1,3,9,13,0,0,10,3,0,5,1,7,0,0,13,13,0,13,0,9,4,7,6,13,0,9,4,12,1
Andangisingi,Alluri Sitharama Raju,G.MADUGULA - 5593,Andangisingi,0,1,3,4,0,0,2,2,0,0,1,3,0,0,4,4,0,3,1,3,1,2,2,4,0,2,2,3,1
Bandaveedhi,Alluri Sitharama Raju,G.MADUGULA - 5593,Bandaveedhi,0,1,1,2,0,0,2,0,0,0,1,1,0,0,2,2,0,2,0,2,0,0,2,2,0,2,0,1,1
Beeram,Alluri Sitharama Raju,G.MADUGULA - 5593,Beeram,2,2,7,11,0,0,10,1,0,4,3,4,0,1,10,11,0,11,0,6,5,5,6,11,0,8,3,10,1
Cheekumbanda,Alluri Sitharama Raju,G.MADUGULA - 5593,Cheekumbanda,0,0,6,4,1,1,4,2,0,2,1,3,0,0,6,6,0,6,0,3,3,4,2,6,0,3,3,5,1
Chinnaurumu,Alluri Sitharama Raju,G.MADUGULA - 5593,Chinnaurumu,0,1,7,5,2,1,8,0,0,3,1,4,0,0,8,8,0,5,3,6,2,6,2,8,0,8,0,7,1
Chintalagondi,Alluri Sitharama Raju,G.MADUGULA - 5593,Chintalagondi,0,0,2,2,0,0,2,0,0,1,0,1,0,0,2,2,0,1,1,2,0,2,0,2,0,2,0,2,0
Digarapalle,Alluri Sitharama Raju,G.MADUGULA - 5593,Digarapalle,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
Gaduthuru,Alluri Sitharama Raju,G.MADUGULA - 5593,Gaduthuru,0,1,1,2,0,0,2,0,0,1,1,0,0,0,2,2,0,2,0,0,2,1,1,2,0,1,1,2,0
Gannelba,Alluri Sitharama Raju,G.MADUGULA - 5593,Gannelba,0,0,5,3,0,2,3,1,1,3,1,1,0,0,5,5,0,2,3,2,3,4,1,5,0,3,2,4,1
Godda,Alluri Sitharama Raju,G.MADUGULA - 5593,Godda,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0
