State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Amudalabanda,Alluri Sitharama Raju,GANGAVARAM - 4876,Amudalabanda,0,0,17,2,1,14,8,8,1,0,4,13,0,0,17,17,0,17,0,10,7,5,12,16,1,1,16,17,0
B.Sivaramapatnam,Alluri Sitharama Raju,GANGAVARAM - 4876,B.Sivaramapatnam,0,0,5,0,0,5,3,2,0,0,1,4,0,0,5,5,0,5,0,5,0,1,4,4,1,0,5,5,0
Bayyanapalle,Alluri Sitharama Raju,GANGAVARAM - 4876,Bayyanapalle,0,0,10,8,1,1,0,4,6,1,1,8,0,0,10,10,0,10,0,6,4,7,3,10,0,6,4,10,0
Cheedipalem,Alluri Sitharama Raju,GANGAVARAM - 4876,Cheedipalem,0,4,4,1,3,4,0,5,3,0,0,8,0,0,8,8,0,8,0,6,2,0,8,7,1,1,7,8,0
China Addapalle,Alluri Sitharama Raju,GANGAVARAM - 4876,China Addapalle,0,3,0,0,1,2,0,1,2,0,0,3,0,0,3,3,0,3,0,2,1,0,3,3,0,0,3,3,0
Chinagarlapadu,Alluri Sitharama Raju,GANGAVARAM - 4876,Chinagarlapadu,0,3,0,1,0,2,0,1,2,0,0,3,0,0,3,3,0,3,0,3,0,1,2,3,0,0,3,3,0
Doramamidi,Alluri Sitharama Raju,GANGAVARAM - 4876,Doramamidi,0,2,0,1,0,1,1,1,0,0,1,1,0,0,2,2,0,2,0,1,1,1,1,2,0,0,2,1,1
E. Ramavaram,Alluri Sitharama Raju,GANGAVARAM - 4876,E. Ramavaram,0,5,0,0,2,3,0,3,2,0,1,4,0,0,4,5,0,5,0,5,0,0,5,5,0,0,5,5,0
Gangavaram,Alluri Sitharama Raju,GANGAVARAM - 4876,Gangavaram,0,8,1,0,2,7,1,4,4,0,2,7,0,0,9,9,0,9,0,5,4,3,6,9,0,0,9,9,0
Goragommi,Alluri Sitharama Raju,GANGAVARAM - 4876,Goragommi,0,8,0,0,3,5,0,0,8,0,2,6,0,0,8,8,0,8,0,5,3,1,7,8,0,0,8,8,0
Jaggampalem,Alluri Sitharama Raju,GANGAVARAM - 4876,Jaggampalem,0,12,0,2,1,9,0,1,11,0,1,11,0,0,12,12,0,11,1,9,3,0,12,9,3,1,11,11,1
Jiyyampalem,Alluri Sitharama Raju,GANGAVARAM - 4876,Jiyyampalem,0,5,0,2,1,2,0,0,5,0,0,5,0,0,5,5,0,5,0,3,2,0,5,5,0,0,5,4,1
Komaravaram,Alluri Sitharama Raju,GANGAVARAM - 4876,Komaravaram,0,1,5,3,2,1,3,3,0,1,1,4,0,0,5,6,0,1,5,1,5,5,1,6,0,4,2,2,4
Kusumarai,Alluri Sitharama Raju,GANGAVARAM - 4876,Kusumarai,0,1,1,0,1,1,0,1,1,0,1,1,0,0,2,2,0,2,0,2,0,0,2,2,0,1,1,2,0
Lakkonda,Alluri Sitharama Raju,GANGAVARAM - 4876,Lakkonda,0,4,1,1,1,3,2,1,2,0,0,5,0,0,5,5,0,5,0,5,0,2,3,5,0,1,4,5,0
Loddipalem,Alluri Sitharama Raju,GANGAVARAM - 4876,Loddipalem,0,5,0,2,0,3,0,2,3,0,2,3,0,0,5,5,0,5,0,4,1,1,4,5,0,0,5,5,0
Marripalem,Alluri Sitharama Raju,GANGAVARAM - 4876,Marripalem,0,2,1,0,1,2,0,2,1,0,1,2,0,0,3,3,0,3,0,0,3,0,3,2,1,0,3,3,0
Mohanapuram,Alluri Sitharama Raju,GANGAVARAM - 4876,Mohanapuram,0,25,1,7,2,17,6,6,14,0,7,19,0,0,26,26,0,26,0,18,8,9,17,26,0,2,24,25,1
Molleru,Alluri Sitharama Raju,GANGAVARAM - 4876,Molleru,0,7,6,4,3,6,5,3,5,0,2,11,0,1,9,13,0,12,1,13,0,11,2,12,1,2,11,13,0
Neelavaram,Alluri Sitharama Raju,GANGAVARAM - 4876,Neelavaram,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Nellipudi,Alluri Sitharama Raju,GANGAVARAM - 4876,Nellipudi,0,30,3,1,10,22,6,9,18,0,7,26,0,0,33,32,1,32,1,27,6,33,0,30,3,1,32,31,2
Ojubanda,Alluri Sitharama Raju,GANGAVARAM - 4876,Ojubanda,0,6,0,1,3,2,2,4,0,0,0,6,0,0,6,6,0,6,0,2,4,6,0,6,0,0,6,6,0
Pandraprolu,Alluri Sitharama Raju,GANGAVARAM - 4876,Pandraprolu,0,10,0,0,6,3,7,2,0,0,4,6,0,0,10,10,0,9,0,7,3,10,0,8,2,1,9,9,1
Patharamavaram,Alluri Sitharama Raju,GANGAVARAM - 4876,Patharamavaram,0,0,3,2,0,1,0,1,2,1,2,0,0,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0
Peda Addapalle,Alluri Sitharama Raju,GANGAVARAM - 4876,Peda Addapalle,0,6,0,0,0,7,3,3,1,0,0,6,0,0,4,5,0,7,0,3,4,7,0,7,0,0,7,7,0
Pidathamamidi,Alluri Sitharama Raju,GANGAVARAM - 4876,Pidathamamidi,0,0,2,1,0,1,1,1,0,0,0,2,0,0,2,2,0,2,0,2,0,0,2,2,0,0,2,2,0
Rajampalem,Alluri Sitharama Raju,GANGAVARAM - 4876,Rajampalem,0,7,0,1,4,2,5,2,0,0,0,7,0,0,7,7,0,2,5,3,4,7,0,7,0,0,7,7,0
Rajavaram,Alluri Sitharama Raju,GANGAVARAM - 4876,Rajavaram,0,3,10,2,6,5,1,5,7,0,2,11,0,0,13,13,0,9,4,11,2,13,0,13,0,0,13,13,0
Ramuldevapuram,Alluri Sitharama Raju,GANGAVARAM - 4876,Ramuldevapuram,0,10,1,2,5,4,6,4,1,0,1,9,0,0,10,10,0,11,0,7,4,11,0,11,0,0,11,11,0
Surampalem,Alluri Sitharama Raju,GANGAVARAM - 4876,Surampalem,0,28,7,8,13,14,21,8,6,0,7,28,0,0,35,34,1,29,6,10,25,13,22,34,0,2,33,35,0
Ummetha,Alluri Sitharama Raju,GANGAVARAM - 4876,Ummetha,0,0,13,12,0,1,0,0,13,0,10,3,0,0,13,13,0,13,0,12,1,13,0,12,1,13,0,13,0
Vemulova,Alluri Sitharama Raju,GANGAVARAM - 4876,Vemulova,0,5,0,0,4,1,2,1,2,0,1,4,0,0,3,4,0,5,0,4,1,4,1,5,0,1,4,5,0
Yellapuram,Alluri Sitharama Raju,GANGAVARAM - 4876,Yellapuram,0,4,1,1,0,4,0,1,4,0,1,4,0,0,5,5,0,5,0,2,3,0,5,5,0,1,4,5,0
Yendapalle,Alluri Sitharama Raju,GANGAVARAM - 4876,Yendapalle,0,0,4,0,0,4,2,2,0,0,0,4,0,0,4,4,0,4,0,4,0,2,2,4,0,0,4,4,0
Yetipalle,Alluri Sitharama Raju,GANGAVARAM - 4876,Yetipalle,0,11,1,1,7,4,0,6,6,0,2,10,0,0,12,12,0,12,0,1,11,3,9,10,1,1,11,11,1
Zaderu,Alluri Sitharama Raju,GANGAVARAM - 4876,Zaderu,0,12,2,1,9,4,0,4,10,0,1,13,0,0,14,14,0,10,4,3,11,3,11,14,0,2,12,14,0
