State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Agraharam,Alluri Sitharama Raju,GUDEM KOTHA VEEDHI - 5596,Agraharam,0,1,2,2,0,1,1,2,0,0,1,2,0,0,3,3,0,2,1,3,0,0,3,3,0,0,3,2,1
Boddamanupakalu,Alluri Sitharama Raju,GUDEM KOTHA VEEDHI - 5596,Boddamanupakalu,0,9,7,8,4,4,4,8,4,1,8,7,0,0,16,16,0,16,0,16,0,2,14,16,0,1,15,16,0
Chaparathipalem,Alluri Sitharama Raju,GUDEM KOTHA VEEDHI - 5596,Chaparathipalem,0,0,3,3,0,0,0,0,3,1,2,0,0,3,0,3,0,2,1,3,0,0,3,3,0,2,1,3,0
Cheedigunta,Alluri Sitharama Raju,GUDEM KOTHA VEEDHI - 5596,Cheedigunta,0,19,12,25,6,0,4,14,13,2,16,13,0,0,31,31,0,30,1,30,1,12,19,31,0,0,31,27,4
Chekkalamaddi,Alluri Sitharama Raju,GUDEM KOTHA VEEDHI - 5596,Chekkalamaddi,0,4,1,2,0,3,0,4,1,0,5,0,0,0,5,5,0,5,0,5,0,0,5,5,0,0,5,3,2
Chinnajadumuru,Alluri Sitharama Raju,GUDEM KOTHA VEEDHI - 5596,Chinnajadumuru,0,0,4,3,0,1,1,1,2,0,4,0,0,0,4,4,0,3,1,4,0,0,4,4,0,0,4,4,0
Damanapalle,Alluri Sitharama Raju,GUDEM KOTHA VEEDHI - 5596,Damanapalle,0,6,9,11,2,2,0,10,5,0,5,10,0,0,15,15,0,12,3,15,0,7,8,15,0,0,15,15,0
Devarapalle,Alluri Sitharama Raju,GUDEM KOTHA VEEDHI - 5596,Devarapalle,1,9,4,11,3,0,4,7,3,4,10,0,0,0,14,14,0,14,0,14,0,0,14,14,0,0,14,10,4
Doddikonda,Alluri Sitharama Raju,GUDEM KOTHA VEEDHI - 5596,Doddikonda,0,2,8,10,0,0,0,4,6,0,7,3,0,0,10,10,0,10,0,10,0,2,8,10,0,0,10,9,1
Ducharapalem,Alluri Sitharama Raju,GUDEM KOTHA VEEDHI - 5596,Ducharapalem,0,8,8,9,1,6,0,11,5,1,11,4,0,0,16,16,0,15,1,16,0,0,16,16,0,0,16,16,0
Duppalawada,Alluri Sitharama Raju,GUDEM KOTHA VEEDHI - 5596,Duppalawada,0,2,2,2,1,1,4,0,0,0,4,0,0,0,4,4,0,4,0,4,0,0,4,4,0,0,4,4,0
Galikonda,Alluri Sitharama Raju,GUDEM KOTHA VEEDHI - 5596,Galikonda,0,3,2,1,2,2,2,3,0,0,4,1,0,0,5,5,0,4,1,5,0,2,3,5,0,0,5,5,0
Gangavaram,Alluri Sitharama Raju,GUDEM KOTHA VEEDHI - 5596,Gangavaram,0,14,9,16,2,5,10,9,4,2,20,1,0,1,22,23,0,22,1,21,2,2,21,23,0,3,20,23,0
Gollapalle,Alluri Sitharama Raju,GUDEM KOTHA VEEDHI - 5596,Gollapalle,0,0,4,0,2,2,3,1,0,0,2,2,0,0,4,4,0,3,1,4,0,0,4,4,0,0,4,3,1
Gudem Kotha Veedhi,Alluri Sitharama Raju,GUDEM KOTHA VEEDHI - 5596,Gudem Kotha Veedhi,0,7,1,5,2,1,5,1,2,0,2,6,0,0,8,8,0,8,0,8,0,5,3,8,0,0,8,5,3
Gudiwada,Alluri Sitharama Raju,GUDEM KOTHA VEEDHI - 5596,Gudiwada,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0
Gummirevulu,Alluri Sitharama Raju,GUDEM KOTHA VEEDHI - 5596,Gummirevulu,0,7,3,4,2,4,5,5,0,0,5,5,0,0,10,10,0,9,1,10,0,0,10,10,0,0,10,10,0
