State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Amuru,Alluri Sitharama Raju,HUKUMPETA - 5597,Amuru,0,6,8,4,5,5,0,14,0,0,11,3,0,1,13,14,0,15,0,15,0,0,15,10,5,0,15,12,3
Andiba,Alluri Sitharama Raju,HUKUMPETA - 5597,Andiba,0,11,0,1,5,5,0,11,0,8,3,0,0,0,11,11,0,11,0,3,8,0,11,7,4,8,3,7,4
Arlada,Alluri Sitharama Raju,HUKUMPETA - 5597,Arlada,0,3,7,1,5,4,0,10,0,3,5,2,0,0,10,10,0,10,0,7,3,1,9,7,3,10,0,9,1
Bairodivalasa @ Uppa,Alluri Sitharama Raju,HUKUMPETA - 5597,Bairodivalasa @ Uppa,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Bakuru,Alluri Sitharama Raju,HUKUMPETA - 5597,Bakuru,2,3,3,2,1,5,1,7,0,1,7,0,0,0,8,8,0,7,1,3,5,2,6,6,2,8,0,5,3
Baluroda,Alluri Sitharama Raju,HUKUMPETA - 5597,Baluroda,0,10,11,2,5,14,0,21,0,2,19,0,0,0,21,20,1,21,0,12,9,1,20,18,3,21,0,12,9
Bangarubuddi,Alluri Sitharama Raju,HUKUMPETA - 5597,Bangarubuddi,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
Beeram,Alluri Sitharama Raju,HUKUMPETA - 5597,Beeram,0,0,5,1,1,3,0,5,0,3,2,0,0,0,5,5,0,5,0,0,5,0,5,5,0,0,5,3,2
Bheemavaram,Alluri Sitharama Raju,HUKUMPETA - 5597,Bheemavaram,0,6,0,0,1,5,0,6,0,1,5,0,0,0,6,6,0,6,0,5,1,1,5,3,3,0,6,5,1
Bijjapalle,Alluri Sitharama Raju,HUKUMPETA - 5597,Bijjapalle,0,2,0,2,0,0,0,2,0,0,1,1,0,1,1,2,0,0,2,2,0,1,1,2,0,2,0,2,0
BODDAPATTU (Pathakota),Alluri Sitharama Raju,HUKUMPETA - 5597,BODDAPATTU (Pathakota),0,11,1,1,0,11,1,11,0,1,11,0,0,0,12,12,0,12,0,5,7,0,12,11,1,1,11,7,5
Boddaputtu,Alluri Sitharama Raju,HUKUMPETA - 5597,Boddaputtu,0,3,12,2,4,10,0,16,0,3,10,2,0,0,15,15,0,16,0,5,11,0,16,12,4,16,0,6,10
Boorja,Alluri Sitharama Raju,HUKUMPETA - 5597,Boorja,0,0,2,0,0,2,0,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,2,0,2,0,2,0,2
Burmanguda,Alluri Sitharama Raju,HUKUMPETA - 5597,Burmanguda,0,0,7,0,5,2,0,7,0,2,5,0,0,0,7,7,0,7,0,1,6,0,7,7,0,0,7,1,6
Chatraiputtu,Alluri Sitharama Raju,HUKUMPETA - 5597,Chatraiputtu,0,1,9,2,4,4,0,10,0,3,5,2,0,0,7,9,0,10,0,3,7,1,9,9,1,10,0,6,4
Cheediputtu,Alluri Sitharama Raju,HUKUMPETA - 5597,Cheediputtu,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0
Chilakalaputtu,Alluri Sitharama Raju,HUKUMPETA - 5597,Chilakalaputtu,0,10,2,0,2,10,0,12,0,3,8,1,0,0,12,12,0,12,0,10,2,1,11,6,6,12,0,4,8
Chintalaveedhi,Alluri Sitharama Raju,HUKUMPETA - 5597,Chintalaveedhi,0,5,5,0,4,6,0,11,0,4,4,1,0,0,6,7,0,11,0,10,1,0,11,6,6,11,0,10,2
Chittampadu,Alluri Sitharama Raju,HUKUMPETA - 5597,Chittampadu,0,0,2,0,0,2,0,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,2,2,0,2,0,0,2
D.Chintalaveedhi,Alluri Sitharama Raju,HUKUMPETA - 5597,D.Chintalaveedhi,2,35,18,5,13,37,0,47,8,14,38,3,0,0,54,55,0,55,0,36,19,4,51,34,21,54,1,39,16
Dabbagaruvu,Alluri Sitharama Raju,HUKUMPETA - 5597,Dabbagaruvu,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
Dalemputtu,Alluri Sitharama Raju,HUKUMPETA - 5597,Dalemputtu,0,1,6,1,4,2,0,7,0,2,5,0,0,0,7,7,0,7,0,1,6,0,7,6,1,7,0,2,5
Daragedda,Alluri Sitharama Raju,HUKUMPETA - 5597,Daragedda,0,8,2,0,1,9,0,10,0,6,4,0,0,0,10,10,0,10,0,8,2,0,10,9,1,0,10,10,0
Donkinavalasa,Alluri Sitharama Raju,HUKUMPETA - 5597,Donkinavalasa,0,10,2,0,0,12,0,12,0,0,9,3,0,0,11,12,0,12,0,5,7,2,10,0,12,12,0,6,6
Duggam,Alluri Sitharama Raju,HUKUMPETA - 5597,Duggam,0,7,3,2,1,7,0,10,0,2,8,0,0,0,10,10,0,10,0,10,0,0,10,4,6,10,0,8,2
Gadugupalle,Alluri Sitharama Raju,HUKUMPETA - 5597,Gadugupalle,0,11,15,3,12,11,0,26,0,3,23,0,0,0,26,26,0,25,1,17,9,1,25,20,6,25,1,21,5
Gangudi,Alluri Sitharama Raju,HUKUMPETA - 5597,Gangudi,0,11,10,1,12,8,0,20,1,3,17,1,0,0,21,21,0,20,1,12,9,2,19,16,5,20,1,17,4
Gasarapalle,Alluri Sitharama Raju,HUKUMPETA - 5597,Gasarapalle,0,5,0,0,0,5,0,5,0,0,4,1,0,0,5,5,0,5,0,5,0,0,5,4,1,5,0,5,0
