State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Adakula,Alluri Sitharama Raju,KOYYURU - 5601,Adakula,8,19,12,29,5,5,7,18,14,6,32,1,0,0,39,38,1,22,17,37,2,28,11,39,0,10,29,39,0
Ankampalem,Alluri Sitharama Raju,KOYYURU - 5601,Ankampalem,6,15,8,22,7,0,7,11,11,28,1,0,0,0,29,29,0,0,29,25,4,20,9,29,0,29,0,29,0
Anthada,Alluri Sitharama Raju,KOYYURU - 5601,Anthada,0,0,2,2,0,0,1,1,0,0,1,1,0,0,2,2,0,2,0,2,0,0,2,2,0,2,0,2,0
Balaram,Alluri Sitharama Raju,KOYYURU - 5601,Balaram,0,2,2,1,3,0,1,1,2,0,3,1,0,0,4,4,0,4,0,4,0,3,1,4,0,1,3,4,0
Battumetta,Alluri Sitharama Raju,KOYYURU - 5601,Battumetta,2,0,0,2,0,0,0,2,0,1,1,0,0,0,2,2,0,1,1,2,0,2,0,2,0,0,2,2,0
Budaralla,Alluri Sitharama Raju,KOYYURU - 5601,Budaralla,0,32,16,39,5,4,2,33,13,4,35,8,0,0,45,46,0,37,11,44,4,33,15,48,0,2,46,48,0
Cheedipalem,Alluri Sitharama Raju,KOYYURU - 5601,Cheedipalem,0,7,5,8,2,2,0,8,4,0,11,1,0,0,12,12,0,10,2,10,2,9,3,12,0,5,7,12,0
Chintalapudi,Alluri Sitharama Raju,KOYYURU - 5601,Chintalapudi,1,8,5,10,2,2,1,12,1,1,12,1,0,0,13,14,0,11,3,12,2,10,4,14,0,3,11,14,0
Chittempadu,Alluri Sitharama Raju,KOYYURU - 5601,Chittempadu,1,5,0,6,0,0,0,0,6,6,0,0,0,0,6,6,0,6,0,6,0,5,1,6,0,0,6,6,0
Dharmavaram,Alluri Sitharama Raju,KOYYURU - 5601,Dharmavaram,1,1,0,2,0,0,0,1,1,2,0,0,0,0,2,2,0,2,0,2,0,0,2,2,0,0,2,2,0
Downuru,Alluri Sitharama Raju,KOYYURU - 5601,Downuru,2,4,1,3,4,0,0,0,7,3,3,1,0,0,7,6,1,7,0,7,0,0,7,7,0,1,6,7,0
Gadabapalem,Alluri Sitharama Raju,KOYYURU - 5601,Gadabapalem,0,4,0,4,0,0,0,0,4,1,3,0,0,0,4,4,0,1,3,3,1,4,0,4,0,0,4,4,0
