State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Addarivalasa,Alluri Sitharama Raju,MAREDUMILLI - 4895,Addarivalasa,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
Akumamidikota,Alluri Sitharama Raju,MAREDUMILLI - 4895,Akumamidikota,1,5,0,2,1,3,3,1,2,3,3,0,0,0,6,6,0,5,1,6,0,3,3,4,2,0,6,6,0
Banda,Alluri Sitharama Raju,MAREDUMILLI - 4895,Banda,0,5,1,2,0,4,4,2,0,1,3,2,0,0,6,6,0,6,0,6,0,3,3,6,0,2,4,6,0
Bodlanka,Alluri Sitharama Raju,MAREDUMILLI - 4895,Bodlanka,0,0,9,5,2,2,7,1,1,1,1,7,0,0,9,9,0,9,0,9,0,2,7,9,0,0,9,9,0
Boduluru,Alluri Sitharama Raju,MAREDUMILLI - 4895,Boduluru,2,4,2,8,0,0,7,0,1,4,2,2,0,0,8,8,0,5,3,5,3,5,3,6,2,0,8,8,0
Chakkavada,Alluri Sitharama Raju,MAREDUMILLI - 4895,Chakkavada,0,6,1,4,2,1,5,1,1,1,5,1,0,0,7,7,0,6,1,5,2,3,4,7,0,0,7,7,0
Chatlavada,Alluri Sitharama Raju,MAREDUMILLI - 4895,Chatlavada,4,1,1,4,2,0,5,0,1,0,3,3,0,0,6,6,0,3,3,4,2,2,4,3,3,0,6,6,0
D. Velamalakota,Alluri Sitharama Raju,MAREDUMILLI - 4895,D. Velamalakota,0,14,0,8,2,4,8,3,3,7,6,1,0,0,14,14,0,11,3,13,1,12,2,14,0,2,12,14,0
Daravada,Alluri Sitharama Raju,MAREDUMILLI - 4895,Daravada,0,1,1,2,0,0,2,0,0,0,2,0,0,0,2,2,0,1,1,2,0,1,1,2,0,0,2,2,0
Denduluru,Alluri Sitharama Raju,MAREDUMILLI - 4895,Denduluru,0,4,0,4,0,0,3,1,0,2,2,0,0,0,4,4,0,4,0,4,0,4,0,4,0,0,4,4,0
Dorachintalapalem,Alluri Sitharama Raju,MAREDUMILLI - 4895,Dorachintalapalem,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Doramamidi,Alluri Sitharama Raju,MAREDUMILLI - 4895,Doramamidi,0,2,0,2,0,0,2,0,0,0,0,2,0,2,0,2,0,2,0,2,0,0,2,2,0,0,2,2,0
Egavalasa,Alluri Sitharama Raju,MAREDUMILLI - 4895,Egavalasa,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0
Elivada,Alluri Sitharama Raju,MAREDUMILLI - 4895,Elivada,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1
Goramamidi,Alluri Sitharama Raju,MAREDUMILLI - 4895,Goramamidi,0,3,0,1,2,0,2,1,0,2,1,0,0,0,3,3,0,3,0,3,0,3,0,3,0,0,3,3,0
