State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Babusala,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Babusala,0,0,2,2,0,0,0,2,0,0,2,0,0,0,2,2,0,0,2,2,0,2,0,2,0,0,2,2,0
Baliyaguda,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Baliyaguda,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
Bangarumetta,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Bangarumetta,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
Bokkeraputtu,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Bokkeraputtu,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Chinamukkiputtu,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Chinamukkiputtu,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
Chippaputtu,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Chippaputtu,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Dasariputtu,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Dasariputtu,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Ganneda,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Ganneda,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Jarjula,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Jarjula,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Kadutula,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Kadutula,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0
Karimikiputtu,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Karimikiputtu,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
Kilagada,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Kilagada,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Kumada,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Kumada,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Kumbri Pada,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Kumbri Pada,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
Kummari Puttu,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Kummari Puttu,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Mehba,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Mehba,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Ontiputtu,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Ontiputtu,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
Peda Guda,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Peda Guda,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Tamarapalle,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Tamarapalle,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
Vanugumma,Alluri Sitharama Raju,MUNCHINGI PUTTU - 5605,Vanugumma,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0
