State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Achuthapuram,Alluri Sitharama Raju,NELLIPAKA - 6829,Achuthapuram,0,1,6,1,6,0,0,1,6,0,1,6,0,0,7,7,0,7,0,1,6,3,4,7,0,5,2,7,0
Boddugudem,Alluri Sitharama Raju,NELLIPAKA - 6829,Boddugudem,0,1,7,6,1,1,0,6,2,1,2,5,0,0,8,8,0,7,1,5,3,0,8,5,3,4,4,7,1
Buttaigudem,Alluri Sitharama Raju,NELLIPAKA - 6829,Buttaigudem,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0
Chandrampalem,Alluri Sitharama Raju,NELLIPAKA - 6829,Chandrampalem,0,1,9,4,5,1,0,4,6,0,0,10,0,0,10,10,0,10,0,9,1,0,10,6,4,6,4,9,1
Chinna Nallakunta,Alluri Sitharama Raju,NELLIPAKA - 6829,Chinna Nallakunta,0,0,5,1,3,1,0,0,5,0,0,5,0,0,5,5,0,5,0,0,5,2,3,5,0,0,5,0,5
Chinthalagudem,Alluri Sitharama Raju,NELLIPAKA - 6829,Chinthalagudem,0,0,4,0,3,1,0,0,4,0,0,4,0,0,4,4,0,4,0,0,4,3,1,4,0,3,1,0,4
Chowdavaram,Alluri Sitharama Raju,NELLIPAKA - 6829,Chowdavaram,0,0,4,0,4,0,0,0,4,0,0,4,0,0,4,4,0,4,0,0,4,2,2,4,0,2,2,1,3
Dammapeta,Alluri Sitharama Raju,NELLIPAKA - 6829,Dammapeta,0,0,5,0,5,0,0,0,5,0,1,4,0,0,5,5,0,5,0,5,0,2,3,4,1,0,5,4,1
Devarapalle,Alluri Sitharama Raju,NELLIPAKA - 6829,Devarapalle,0,1,9,2,8,0,0,2,8,0,1,9,0,0,10,10,0,10,0,6,4,7,3,6,4,4,6,9,1
Gannavaram,Alluri Sitharama Raju,NELLIPAKA - 6829,Gannavaram,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
Gottugudem,Alluri Sitharama Raju,NELLIPAKA - 6829,Gottugudem,0,2,6,0,7,1,0,0,8,0,4,4,0,1,6,8,0,8,0,2,6,5,3,8,0,4,4,8,0
Gundala,Alluri Sitharama Raju,NELLIPAKA - 6829,Gundala,0,0,7,0,6,1,0,1,6,1,3,3,2,0,4,7,0,7,0,2,5,2,5,7,0,3,4,4,3
K. Narayanapuram,Alluri Sitharama Raju,NELLIPAKA - 6829,K. Narayanapuram,0,0,2,0,1,1,0,0,2,0,0,2,0,0,2,2,0,2,0,2,0,0,2,0,2,0,2,2,0
Kannaigudem,Alluri Sitharama Raju,NELLIPAKA - 6829,Kannaigudem,0,1,8,0,8,1,0,0,9,0,2,6,0,0,8,8,0,9,0,0,9,3,6,9,0,3,6,6,3
Kannapuram,Alluri Sitharama Raju,NELLIPAKA - 6829,Kannapuram,0,0,6,0,6,0,0,0,6,0,3,3,0,0,6,6,0,6,0,0,6,4,2,6,0,4,2,2,4
Kapavaram,Alluri Sitharama Raju,NELLIPAKA - 6829,Kapavaram,0,1,1,2,0,0,0,1,1,0,0,2,0,0,2,2,0,2,0,2,0,1,1,2,0,0,2,2,0
Kistaram,Alluri Sitharama Raju,NELLIPAKA - 6829,Kistaram,0,1,13,0,14,0,0,0,14,1,5,8,0,0,14,14,0,14,0,0,14,5,9,14,0,9,5,6,8
Kothagudem,Alluri Sitharama Raju,NELLIPAKA - 6829,Kothagudem,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0
Kusumanapalle,Alluri Sitharama Raju,NELLIPAKA - 6829,Kusumanapalle,0,0,7,0,7,0,0,0,7,0,0,7,0,0,7,7,0,7,0,6,1,1,6,3,4,3,4,6,1
Lakshmidevipeta,Alluri Sitharama Raju,NELLIPAKA - 6829,Lakshmidevipeta,0,0,2,0,2,0,0,0,2,1,1,0,0,0,2,2,0,2,0,0,2,2,0,1,1,0,2,2,0
Nellipaka,Alluri Sitharama Raju,NELLIPAKA - 6829,Nellipaka,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
Penuballe,Alluri Sitharama Raju,NELLIPAKA - 6829,Penuballe,0,3,3,0,6,0,0,0,6,0,3,3,0,0,6,6,0,5,1,5,1,2,4,3,3,3,3,4,2
Pinapalle,Alluri Sitharama Raju,NELLIPAKA - 6829,Pinapalle,0,1,14,0,13,2,0,0,15,0,2,13,0,0,14,13,0,15,0,0,15,8,7,15,0,8,7,10,5
Ramagopalapuram,Alluri Sitharama Raju,NELLIPAKA - 6829,Ramagopalapuram,0,0,5,0,5,0,0,0,5,0,2,3,0,0,5,5,0,5,0,0,5,3,2,5,0,3,2,2,3
Rangapuram,Alluri Sitharama Raju,NELLIPAKA - 6829,Rangapuram,0,1,6,2,5,0,1,2,4,0,1,6,0,0,7,7,0,6,1,2,5,3,4,7,0,4,3,3,4
Rayanapeta,Alluri Sitharama Raju,NELLIPAKA - 6829,Rayanapeta,0,0,13,2,10,1,0,0,13,0,2,11,0,0,13,13,0,13,0,8,5,3,10,7,6,8,5,13,0
Thotapalle,Alluri Sitharama Raju,NELLIPAKA - 6829,Thotapalle,0,1,3,3,1,0,0,3,1,0,0,4,0,0,4,4,0,4,0,3,1,0,4,3,1,1,3,3,1
Thunikicheruvu,Alluri Sitharama Raju,NELLIPAKA - 6829,Thunikicheruvu,0,0,7,0,7,0,0,0,7,2,2,3,0,0,7,7,0,7,0,6,1,1,6,2,5,4,3,6,1
Tripura Penta Veedu,Alluri Sitharama Raju,NELLIPAKA - 6829,Tripura Penta Veedu,0,4,6,4,5,1,0,0,10,0,0,10,0,0,10,10,0,10,0,10,0,0,10,7,3,5,5,10,0
Viswapuram,Alluri Sitharama Raju,NELLIPAKA - 6829,Viswapuram,0,3,7,1,8,1,1,0,9,0,4,6,0,4,6,10,0,10,0,1,9,8,2,10,0,5,5,8,2
