State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Adugulaputtu,Alluri Sitharama Raju,PEDA BAYALU - 5613,Adugulaputtu,2,2,9,3,0,10,9,2,2,11,2,0,0,2,11,13,0,12,1,12,1,8,5,13,0,10,3,13,0
Agaruveedhi,Alluri Sitharama Raju,PEDA BAYALU - 5613,Agaruveedhi,0,0,2,0,0,2,2,0,0,1,1,0,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
Amedelu,Alluri Sitharama Raju,PEDA BAYALU - 5613,Amedelu,0,6,3,0,0,9,9,0,0,4,4,1,0,0,9,9,0,9,0,9,0,6,3,9,0,8,1,9,0
Andravara,Alluri Sitharama Raju,PEDA BAYALU - 5613,Andravara,0,5,0,0,0,5,4,1,0,5,0,0,0,0,5,5,0,5,0,5,0,4,1,5,0,4,1,5,0
Arimera,Alluri Sitharama Raju,PEDA BAYALU - 5613,Arimera,0,2,1,0,0,3,3,0,0,2,1,0,0,0,3,3,0,3,0,3,0,3,0,3,0,2,1,3,0
Arlabu,Alluri Sitharama Raju,PEDA BAYALU - 5613,Arlabu,0,6,7,6,0,7,10,3,0,3,7,3,0,0,13,13,0,13,0,13,0,13,0,13,0,13,0,13,0
Bangarumetta,Alluri Sitharama Raju,PEDA BAYALU - 5613,Bangarumetta,0,0,4,0,0,4,4,0,0,3,1,0,0,0,4,4,0,4,0,4,0,3,1,4,0,4,0,4,0
Bongaram,Alluri Sitharama Raju,PEDA BAYALU - 5613,Bongaram,0,5,8,0,0,13,13,0,0,7,6,0,0,0,13,13,0,13,0,13,0,11,2,13,0,13,0,13,0
Borlada @ Badama,Alluri Sitharama Raju,PEDA BAYALU - 5613,Borlada @ Badama,1,11,1,3,0,10,10,1,2,5,5,3,0,3,10,13,0,12,1,13,0,7,6,13,0,12,1,12,1
Chandiputtu,Alluri Sitharama Raju,PEDA BAYALU - 5613,Chandiputtu,1,6,8,2,1,12,13,1,1,2,10,2,0,0,13,14,0,15,0,15,0,15,0,15,0,15,0,15,0
Cheediputtu,Alluri Sitharama Raju,PEDA BAYALU - 5613,Cheediputtu,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0
China Mukhi Puttu,Alluri Sitharama Raju,PEDA BAYALU - 5613,China Mukhi Puttu,0,6,1,0,0,7,7,0,0,2,5,0,0,0,7,7,0,7,0,7,0,2,5,7,0,7,0,6,1
Chitrakayaputtu,Alluri Sitharama Raju,PEDA BAYALU - 5613,Chitrakayaputtu,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
Chittamrai,Alluri Sitharama Raju,PEDA BAYALU - 5613,Chittamrai,0,0,3,0,0,3,3,0,0,2,1,0,0,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0
