State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Ammapeta,Alluri Sitharama Raju,Y. RAMAVARAM - 4920,Ammapeta,1,2,0,0,2,1,0,0,3,0,0,3,0,0,3,3,0,2,1,1,2,3,0,3,0,0,3,3,0
Bandigedda,Alluri Sitharama Raju,Y. RAMAVARAM - 4920,Bandigedda,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1
Bheemudugadda,Alluri Sitharama Raju,Y. RAMAVARAM - 4920,Bheemudugadda,0,4,5,0,0,9,0,0,9,0,1,8,0,6,3,9,0,2,7,4,5,9,0,9,0,0,9,9,0
Boddapalle,Alluri Sitharama Raju,Y. RAMAVARAM - 4920,Boddapalle,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
Boddumamidi,Alluri Sitharama Raju,Y. RAMAVARAM - 4920,Boddumamidi,1,1,6,1,0,7,0,0,8,0,0,8,0,0,8,8,0,8,0,5,3,8,0,8,0,0,8,8,0
BONANGIPALEM,Alluri Sitharama Raju,Y. RAMAVARAM - 4920,BONANGIPALEM,0,1,5,6,0,0,0,2,4,0,0,6,0,0,6,6,0,0,6,6,0,1,5,6,0,1,5,6,0
Bullojupalem,Alluri Sitharama Raju,Y. RAMAVARAM - 4920,Bullojupalem,0,3,2,0,1,4,1,0,4,0,1,4,0,0,4,4,1,0,5,0,5,1,4,5,0,0,5,1,4
Chamagedda,Alluri Sitharama Raju,Y. RAMAVARAM - 4920,Chamagedda,0,1,2,0,3,0,0,0,3,0,0,3,0,0,3,3,0,1,2,2,1,3,0,3,0,1,2,0,3
Chavitidibbalu,Alluri Sitharama Raju,Y. RAMAVARAM - 4920,Chavitidibbalu,0,12,6,4,9,5,0,6,12,8,0,10,0,0,18,18,0,4,14,12,6,7,11,18,0,0,18,16,2
Chendurthi,Alluri Sitharama Raju,Y. RAMAVARAM - 4920,Chendurthi,0,2,2,2,2,0,0,0,4,0,0,4,0,0,4,4,0,1,3,4,0,4,0,4,0,0,4,4,0
