State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bhogapuram,Anakapalli,ACHUTAPURAM - 5581,Bhogapuram,6,3,15,23,0,1,21,2,1,6,5,13,0,6,18,24,0,22,2,15,9,18,6,24,0,24,0,23,1
Cheemalapalle,Anakapalli,ACHUTAPURAM - 5581,Cheemalapalle,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Chodapalle,Anakapalli,ACHUTAPURAM - 5581,Chodapalle,4,9,14,27,0,0,17,6,4,5,8,14,6,0,21,27,0,26,1,13,14,7,20,21,6,27,0,25,2
Dosuru,Anakapalli,ACHUTAPURAM - 5581,Dosuru,1,1,4,6,0,0,4,1,1,1,1,4,0,0,6,6,0,6,0,2,4,2,4,6,0,6,0,6,0
Duppituru,Anakapalli,ACHUTAPURAM - 5581,Duppituru,2,3,7,11,1,0,12,0,0,2,3,7,2,0,10,12,0,12,0,3,9,2,10,7,5,12,0,7,5
Gangamambapura Agraharam,Anakapalli,ACHUTAPURAM - 5581,Gangamambapura Agraharam,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
Haripalem,Anakapalli,ACHUTAPURAM - 5581,Haripalem,3,11,23,25,4,8,30,5,2,3,11,23,0,0,37,35,2,36,1,20,17,18,19,31,6,36,1,33,4
Kondakarla,Anakapalli,ACHUTAPURAM - 5581,Kondakarla,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0
Maduthuru,Anakapalli,ACHUTAPURAM - 5581,Maduthuru,11,12,19,41,1,0,26,12,4,11,10,21,1,0,41,42,0,40,2,17,25,17,25,42,0,41,1,42,0
Melupaka Jagannadhapuram,Anakapalli,ACHUTAPURAM - 5581,Melupaka Jagannadhapuram,1,1,1,2,0,1,2,1,0,1,1,1,2,0,1,3,0,3,0,0,3,0,3,2,1,3,0,3,0
Pedapadu,Anakapalli,ACHUTAPURAM - 5581,Pedapadu,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
Somavaram,Anakapalli,ACHUTAPURAM - 5581,Somavaram,2,4,8,10,0,4,7,4,3,2,4,8,6,0,8,14,0,11,3,11,3,8,6,14,0,14,0,13,1
Thimmarajupeta,Anakapalli,ACHUTAPURAM - 5581,Thimmarajupeta,5,5,9,16,1,2,11,6,2,5,5,9,2,2,15,19,0,19,0,12,7,9,10,16,3,19,0,18,1
Uppavaram,Anakapalli,ACHUTAPURAM - 5581,Uppavaram,1,2,2,4,1,0,0,4,1,1,2,2,2,0,3,5,0,2,3,2,3,2,3,4,1,5,0,5,0
Veduruvada,Anakapalli,ACHUTAPURAM - 5581,Veduruvada,5,12,16,32,1,0,33,0,0,4,12,17,1,0,32,33,0,31,2,9,24,4,29,7,26,33,0,30,3
Yerravaram,Anakapalli,ACHUTAPURAM - 5581,Yerravaram,5,2,4,7,1,3,7,2,2,5,2,4,4,0,7,11,0,10,1,10,1,8,3,9,2,11,0,11,0
