State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Allikhanudupalem,Anakapalli,ANAKAPALLE - 5582,Allikhanudupalem,0,0,2,1,1,0,2,0,0,1,0,1,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
ANAKAPALLE NORTH,Anakapalli,ANAKAPALLE - 5582,ANAKAPALLE NORTH,22,32,41,66,17,12,63,28,4,24,33,38,3,1,91,87,8,89,7,61,32,70,22,92,2,89,6,80,10
ANAKAPALLE SOUTH,Anakapalli,ANAKAPALLE - 5582,ANAKAPALLE SOUTH,17,4,21,23,8,11,28,7,7,21,3,18,3,3,36,41,1,37,5,16,26,32,10,40,2,41,1,34,8
ANAKAPALLI SOUTH - 2,Anakapalli,ANAKAPALLE - 5582,ANAKAPALLI SOUTH - 2,6,6,7,10,9,0,16,3,0,8,4,7,2,1,16,15,4,18,1,12,7,15,4,15,4,19,0,13,2
Bhatlapudi,Anakapalli,ANAKAPALLE - 5582,Bhatlapudi,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
Bowluvada (CT),Anakapalli,ANAKAPALLE - 5582,Bowluvada (CT),4,3,12,10,4,5,14,4,2,5,4,10,1,0,18,19,0,20,0,5,15,17,3,20,0,20,0,20,0
Chintanippula Agraharam,Anakapalli,ANAKAPALLE - 5582,Chintanippula Agraharam,5,9,10,21,2,1,22,1,1,5,9,10,0,0,24,22,2,23,1,10,14,16,8,24,0,24,0,17,7
Golagam,Anakapalli,ANAKAPALLE - 5582,Golagam,3,5,12,19,1,0,11,8,1,3,5,12,0,0,20,20,0,19,1,6,14,20,0,20,0,19,1,17,3
Gopalapuram,Anakapalli,ANAKAPALLE - 5582,Gopalapuram,2,0,0,2,0,0,2,0,0,1,0,1,0,0,2,2,0,2,0,2,0,0,2,2,0,2,0,2,0
Jagannadhapuram,Anakapalli,ANAKAPALLE - 5582,Jagannadhapuram,1,0,2,2,1,0,2,1,0,1,0,2,0,0,3,3,0,3,0,0,3,1,2,3,0,3,0,2,1
Kunchangi,Anakapalli,ANAKAPALLE - 5582,Kunchangi,11,14,8,20,10,3,26,6,1,12,14,7,5,0,28,32,1,32,1,16,17,32,1,33,0,33,0,27,6
Kundram,Anakapalli,ANAKAPALLE - 5582,Kundram,9,8,8,12,10,3,15,10,0,9,8,8,2,0,23,25,0,25,0,6,19,24,1,25,0,25,0,20,5
Mamidipalem,Anakapalli,ANAKAPALLE - 5582,Mamidipalem,0,4,10,14,0,0,12,1,1,0,4,10,0,0,14,12,2,11,3,13,1,14,0,14,0,13,1,12,2
Maredupudi,Anakapalli,ANAKAPALLE - 5582,Maredupudi,4,2,10,11,4,1,16,0,0,4,3,9,0,0,16,16,0,15,1,11,5,14,2,16,0,16,0,11,5
Maredupudi Agraharam,Anakapalli,ANAKAPALLE - 5582,Maredupudi Agraharam,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
