State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Aithampudi,Anakapalli,BUTCHAYYAPETA - 5587,Aithampudi,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Butchayyapeta,Anakapalli,BUTCHAYYAPETA - 5587,Butchayyapeta,0,1,11,12,0,0,9,3,0,0,2,10,0,0,12,12,0,12,0,12,0,12,0,12,0,12,0,12,0
Chintapaka,Anakapalli,BUTCHAYYAPETA - 5587,Chintapaka,1,14,15,30,0,0,24,6,0,1,13,16,6,0,24,30,0,28,2,30,0,14,16,30,0,28,2,28,2
Chittiyyapalem,Anakapalli,BUTCHAYYAPETA - 5587,Chittiyyapalem,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Dibbidi,Anakapalli,BUTCHAYYAPETA - 5587,Dibbidi,11,9,15,33,0,2,31,4,0,12,8,15,1,4,30,35,0,35,0,35,0,12,23,35,0,35,0,35,0
Gantikorlam,Anakapalli,BUTCHAYYAPETA - 5587,Gantikorlam,7,3,20,31,0,0,20,8,2,7,3,20,0,0,30,26,4,28,2,23,7,10,20,30,0,29,1,30,0
Gunnempudi,Anakapalli,BUTCHAYYAPETA - 5587,Gunnempudi,1,6,12,19,0,0,16,3,0,1,7,11,0,0,19,13,6,19,0,19,0,5,14,19,0,19,0,19,0
Kandipudi,Anakapalli,BUTCHAYYAPETA - 5587,Kandipudi,8,7,23,38,0,0,31,7,0,8,7,23,2,0,36,37,1,37,1,38,0,14,24,38,0,38,0,38,0
Karaka,Anakapalli,BUTCHAYYAPETA - 5587,Karaka,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Komallapudi,Anakapalli,BUTCHAYYAPETA - 5587,Komallapudi,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Kondapalem Agraharam,Anakapalli,BUTCHAYYAPETA - 5587,Kondapalem Agraharam,3,3,17,23,0,0,16,7,0,4,2,17,8,0,15,23,0,23,0,23,0,10,13,23,0,23,0,22,1
Kondempudi,Anakapalli,BUTCHAYYAPETA - 5587,Kondempudi,0,1,1,2,0,0,2,0,0,1,0,1,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
L.Singavaram,Anakapalli,BUTCHAYYAPETA - 5587,L.Singavaram,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Lopudi,Anakapalli,BUTCHAYYAPETA - 5587,Lopudi,9,2,25,36,0,0,23,11,2,9,2,25,1,0,35,36,0,35,1,36,0,14,22,36,0,36,0,36,0
