State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Advi Agraharam,Anakapalli,CHEEDIKADA - 5588,Advi Agraharam,2,6,6,12,1,1,11,1,2,2,6,6,1,0,14,13,1,11,3,14,0,13,1,14,0,14,0,14,0
Appalarajupuram,Anakapalli,CHEEDIKADA - 5588,Appalarajupuram,8,16,12,31,5,0,25,9,2,9,11,16,0,0,36,36,0,34,2,36,0,29,7,35,1,34,2,36,0
Arjunagiri Agraharam,Anakapalli,CHEEDIKADA - 5588,Arjunagiri Agraharam,5,5,11,17,4,0,18,3,0,5,5,11,0,0,21,20,1,20,1,21,0,21,0,21,0,21,0,20,1
Bylapudi,Anakapalli,CHEEDIKADA - 5588,Bylapudi,3,3,7,10,3,0,8,5,0,2,3,8,0,0,13,13,0,13,0,13,0,9,4,13,0,13,0,14,0
Bylapudi Singavaram,Anakapalli,CHEEDIKADA - 5588,Bylapudi Singavaram,2,1,1,4,0,0,4,0,0,2,1,1,0,0,4,4,0,4,0,4,0,3,1,4,0,4,0,4,0
Cheedikada,Anakapalli,CHEEDIKADA - 5588,Cheedikada,8,11,19,31,7,1,29,6,3,9,11,18,0,2,36,38,0,34,4,37,1,36,2,37,1,38,0,35,3
Cheedipalle Agraharam,Anakapalli,CHEEDIKADA - 5588,Cheedipalle Agraharam,2,3,3,5,2,1,5,3,0,2,3,3,0,0,8,8,0,8,0,8,0,5,3,8,0,8,0,8,0
Chettupalle,Anakapalli,CHEEDIKADA - 5588,Chettupalle,1,2,1,4,0,0,3,1,0,1,2,1,0,0,4,4,0,4,0,4,0,2,2,4,0,4,0,4,0
Chinagogada,Anakapalli,CHEEDIKADA - 5588,Chinagogada,1,3,6,7,4,0,8,0,2,3,1,6,0,0,10,10,0,9,1,10,0,8,2,10,0,10,0,10,0
Chukkapalle,Anakapalli,CHEEDIKADA - 5588,Chukkapalle,7,10,16,10,20,3,21,8,4,14,4,15,0,3,30,31,2,33,0,32,1,22,11,30,3,33,0,33,0
Dandi Suravaram,Anakapalli,CHEEDIKADA - 5588,Dandi Suravaram,1,2,1,3,1,0,2,1,1,0,2,2,0,0,4,4,0,3,1,4,0,4,0,4,0,4,0,4,0
Dibbapalem,Anakapalli,CHEEDIKADA - 5588,Dibbapalem,3,8,16,20,6,1,21,5,1,3,9,15,0,0,27,27,0,26,1,26,1,23,4,27,0,26,1,27,0
G.Kothapalle,Anakapalli,CHEEDIKADA - 5588,G.Kothapalle,4,3,5,9,3,0,9,3,0,4,2,6,0,0,12,12,0,11,1,12,0,9,3,12,0,12,0,11,1
J.B.Puram,Anakapalli,CHEEDIKADA - 5588,J.B.Puram,0,3,7,9,1,0,8,2,0,0,3,7,0,0,10,10,0,8,2,10,0,6,4,10,0,10,0,10,0
Jaithavaram,Anakapalli,CHEEDIKADA - 5588,Jaithavaram,7,6,12,20,6,1,19,6,0,8,5,12,0,0,25,25,0,23,2,24,1,18,7,25,0,25,0,24,1
Kattuvari Agraharam,Anakapalli,CHEEDIKADA - 5588,Kattuvari Agraharam,0,2,2,3,1,0,4,0,0,0,2,2,0,0,4,4,0,3,1,4,0,4,0,4,0,4,0,4,0
