State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Adduru,Anakapalli,CHODAVARAM - 5590,Adduru,8,4,18,13,14,3,9,13,8,8,4,18,0,0,30,30,0,28,2,29,1,27,3,29,1,30,0,30,0
Amberupuram,Anakapalli,CHODAVARAM - 5590,Amberupuram,7,1,11,9,6,4,15,3,1,7,1,11,1,0,18,19,0,17,2,17,2,19,0,19,0,17,2,19,0
Ankupalem,Anakapalli,CHODAVARAM - 5590,Ankupalem,6,6,18,21,4,5,16,10,4,6,8,16,1,0,29,30,0,30,0,24,6,30,0,30,0,27,3,30,0
Annavaram,Anakapalli,CHODAVARAM - 5590,Annavaram,2,0,0,2,0,0,2,0,0,2,0,0,0,0,2,2,0,2,0,2,0,1,1,2,0,2,0,2,0
Bhogapuram,Anakapalli,CHODAVARAM - 5590,Bhogapuram,13,7,8,25,3,0,13,9,6,13,7,8,0,0,28,28,0,27,1,26,2,28,0,28,0,27,1,28,0
Chakipalle,Anakapalli,CHODAVARAM - 5590,Chakipalle,4,11,19,19,6,9,22,9,3,4,13,17,1,0,33,34,0,34,0,33,1,29,5,34,0,34,0,31,3
Chodavaram (CT),Anakapalli,CHODAVARAM - 5590,Chodavaram (CT),5,10,49,52,11,1,47,11,6,5,8,51,5,0,59,64,0,62,2,61,3,61,3,64,0,64,0,59,5
Duddupalem,Anakapalli,CHODAVARAM - 5590,Duddupalem,3,4,9,9,3,4,13,1,2,3,5,8,0,0,16,16,0,15,1,14,2,16,0,16,0,13,3,16,0
Gajapathinagaram,Anakapalli,CHODAVARAM - 5590,Gajapathinagaram,9,1,8,10,7,1,16,2,0,9,2,7,0,0,18,18,0,17,1,18,0,17,1,18,0,18,0,18,0
Gandhavaram,Anakapalli,CHODAVARAM - 5590,Gandhavaram,10,3,5,11,5,2,5,6,7,11,2,5,0,0,18,18,0,18,0,18,0,17,1,18,0,18,0,18,0
Gavaravaram,Anakapalli,CHODAVARAM - 5590,Gavaravaram,6,4,7,8,6,3,13,4,0,6,4,7,1,0,16,17,0,15,2,17,0,17,0,17,0,17,0,17,0
Govada,Anakapalli,CHODAVARAM - 5590,Govada,2,10,15,19,8,0,20,7,0,2,10,15,0,0,27,27,0,26,1,27,0,25,2,27,0,27,0,27,0
Gowripatnam,Anakapalli,CHODAVARAM - 5590,Gowripatnam,4,6,20,26,4,0,25,4,1,4,6,20,1,0,29,29,1,29,1,29,1,30,0,30,0,26,4,30,0
Jannavaram,Anakapalli,CHODAVARAM - 5590,Jannavaram,0,6,12,5,10,3,12,3,3,1,5,12,1,0,17,17,1,18,0,18,0,18,0,18,0,18,0,17,1
Juttada,Anakapalli,CHODAVARAM - 5590,Juttada,9,2,23,23,5,6,26,8,0,9,4,21,3,0,31,34,0,31,3,34,0,33,1,34,0,29,5,34,0
Khandipalle,Anakapalli,CHODAVARAM - 5590,Khandipalle,13,9,15,37,0,0,34,1,2,15,8,14,1,0,36,37,0,33,4,31,6,34,3,37,0,32,5,36,1
Lakkavaram,Anakapalli,CHODAVARAM - 5590,Lakkavaram,7,10,14,28,2,1,7,10,14,7,10,14,3,0,28,31,0,29,2,25,6,31,0,31,0,31,0,28,3
Laxmipuram,Anakapalli,CHODAVARAM - 5590,Laxmipuram,9,1,17,15,4,8,16,6,5,9,2,16,0,0,27,26,1,27,0,25,2,27,0,26,1,26,1,23,4
Muddurthi,Anakapalli,CHODAVARAM - 5590,Muddurthi,0,8,24,29,3,0,26,6,0,0,9,23,0,3,29,32,0,31,1,31,1,32,0,32,0,32,0,32,0
Narasayyapeta,Anakapalli,CHODAVARAM - 5590,Narasayyapeta,12,5,10,22,3,2,17,10,0,12,5,10,8,0,19,27,0,27,0,25,2,21,6,27,0,26,1,27,0
Pakirsahebpeta,Anakapalli,CHODAVARAM - 5590,Pakirsahebpeta,1,8,20,19,9,1,24,4,1,1,8,20,2,0,27,29,0,25,4,28,1,29,0,29,0,28,1,29,0
Rayapurajupeta,Anakapalli,CHODAVARAM - 5590,Rayapurajupeta,1,4,14,11,6,2,13,5,1,1,6,12,1,0,18,18,1,16,3,19,0,19,0,19,0,18,1,19,0
Seemunapalle,Anakapalli,CHODAVARAM - 5590,Seemunapalle,0,2,11,6,7,0,8,5,0,0,2,11,4,0,9,13,0,11,2,9,4,11,2,13,0,10,3,13,0
Sreerampatnam,Anakapalli,CHODAVARAM - 5590,Sreerampatnam,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Thimmannapalem,Anakapalli,CHODAVARAM - 5590,Thimmannapalem,2,2,8,6,5,1,9,2,1,2,3,7,0,0,12,12,0,10,2,11,1,12,0,12,0,12,0,12,0
Venkannapalem,Anakapalli,CHODAVARAM - 5590,Venkannapalem,18,4,8,20,7,3,21,8,1,19,3,8,1,0,29,30,0,29,1,30,0,30,0,30,0,24,6,30,0
