State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Alamanda,Anakapalli,DEVARAPALLE - 5591,Alamanda,9,7,14,24,4,2,28,2,0,9,10,11,2,0,28,30,0,29,1,19,11,28,2,30,0,30,0,30,0
Alamandakothapalle,Anakapalli,DEVARAPALLE - 5591,Alamandakothapalle,3,6,20,4,10,15,21,7,1,3,6,20,0,0,29,6,23,29,0,25,4,11,18,29,0,28,1,29,0
Boilakintada,Anakapalli,DEVARAPALLE - 5591,Boilakintada,4,1,27,8,17,7,29,2,1,4,1,27,0,0,32,17,15,30,2,32,0,24,8,32,0,31,1,31,0
Chinanandipalle,Anakapalli,DEVARAPALLE - 5591,Chinanandipalle,1,8,1,7,3,0,4,5,1,1,8,1,2,0,8,10,0,10,0,10,0,10,0,10,0,10,0,10,0
Chinasompuram,Anakapalli,DEVARAPALLE - 5591,Chinasompuram,5,0,7,12,0,0,11,0,1,5,0,7,0,0,12,5,7,11,1,6,6,9,3,12,0,12,0,6,6
Chintalapudi,Anakapalli,DEVARAPALLE - 5591,Chintalapudi,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Devarapalle,Anakapalli,DEVARAPALLE - 5591,Devarapalle,10,4,31,38,6,1,31,14,0,10,4,31,0,0,45,21,24,43,2,29,16,30,15,45,0,45,0,42,3
Garisingi,Anakapalli,DEVARAPALLE - 5591,Garisingi,6,8,9,17,6,0,16,4,3,6,8,9,0,0,23,3,20,22,1,21,2,20,3,23,0,23,0,23,0
Kaligotla,Anakapalli,DEVARAPALLE - 5591,Kaligotla,12,13,13,33,5,0,23,7,8,12,13,13,0,0,38,26,12,37,1,25,13,32,6,38,0,38,0,38,0
Kasipathirajupuram,Anakapalli,DEVARAPALLE - 5591,Kasipathirajupuram,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0
Kasipuram,Anakapalli,DEVARAPALLE - 5591,Kasipuram,10,11,6,26,1,0,19,4,4,10,11,6,0,0,27,16,12,25,2,12,15,22,5,27,0,27,0,27,0
Kothapenta,Anakapalli,DEVARAPALLE - 5591,Kothapenta,10,10,8,23,1,4,24,3,1,10,11,7,0,0,28,26,2,28,0,12,16,27,1,28,0,28,0,28,0
Mamidipalle,Anakapalli,DEVARAPALLE - 5591,Mamidipalle,2,0,5,6,1,0,5,1,1,2,0,5,5,0,2,7,0,7,0,4,3,6,1,7,0,7,0,4,3
Mamidipalle,Anakapalli,DEVARAPALLE - 5591,Mamidipalle,7,5,16,21,7,1,21,3,4,7,2,19,0,0,28,28,0,28,0,18,10,24,4,28,0,28,0,18,10
Marepalle,Anakapalli,DEVARAPALLE - 5591,Marepalle,2,5,4,10,1,0,7,4,0,2,6,3,0,0,11,11,0,11,0,6,5,11,0,11,0,11,0,9,2
Mushidipalle,Anakapalli,DEVARAPALLE - 5591,Mushidipalle,7,3,25,17,18,0,33,2,0,7,7,21,32,0,3,35,0,33,2,10,25,25,10,35,0,35,0,24,11
Nagayyapeta,Anakapalli,DEVARAPALLE - 5591,Nagayyapeta,5,15,9,15,9,5,26,3,0,5,17,7,4,0,25,27,2,29,0,16,13,12,17,29,0,29,0,19,10
Pedanandipalle Agraharam,Anakapalli,DEVARAPALLE - 5591,Pedanandipalle Agraharam,3,6,7,11,5,0,9,5,2,4,6,6,0,0,16,16,0,15,1,9,7,4,12,16,0,16,0,15,1
Raiwada,Anakapalli,DEVARAPALLE - 5591,Raiwada,4,11,7,5,16,1,20,2,0,4,11,7,0,0,22,22,0,20,2,11,11,9,13,22,0,22,0,17,5
Taruva,Anakapalli,DEVARAPALLE - 5591,Taruva,7,5,3,5,10,0,15,0,0,8,5,2,0,0,15,15,0,14,1,15,0,15,0,15,0,15,0,15,0
Tenugupudi,Anakapalli,DEVARAPALLE - 5591,Tenugupudi,7,9,8,17,6,1,21,3,0,7,9,8,9,0,15,24,0,23,1,21,3,24,0,24,0,24,0,24,0
Thimiram,Anakapalli,DEVARAPALLE - 5591,Thimiram,1,0,3,2,2,0,4,0,0,1,0,3,3,0,1,4,0,4,0,1,3,4,0,4,0,4,0,3,1
Thimiram,Anakapalli,DEVARAPALLE - 5591,Thimiram,1,1,4,6,0,0,6,0,0,1,1,4,0,0,6,6,0,6,0,3,3,6,0,6,0,6,0,5,1
Vakapalle,Anakapalli,DEVARAPALLE - 5591,Vakapalle,3,14,15,19,12,1,24,5,3,3,14,15,6,0,26,32,0,32,0,28,4,32,0,32,0,32,0,32,0
Vechalam,Anakapalli,DEVARAPALLE - 5591,Vechalam,4,9,18,24,7,0,23,4,4,4,9,18,0,4,27,31,0,28,3,30,1,30,1,31,0,31,0,31,0
