State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Agency Laxmipuram,Anakapalli,GOLUGONDA - 5595,Agency Laxmipuram,3,4,11,17,0,1,6,10,2,2,4,12,5,1,12,18,0,16,2,18,0,18,0,18,0,18,0,18,0
Ammapeta,Anakapalli,GOLUGONDA - 5595,Ammapeta,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Cheedigummala,Anakapalli,GOLUGONDA - 5595,Cheedigummala,0,1,8,8,1,0,8,1,0,0,1,8,6,0,3,9,0,9,0,9,0,8,1,9,0,8,1,9,0
Cheedikada,Anakapalli,GOLUGONDA - 5595,Cheedikada,1,9,12,22,1,1,12,7,3,1,8,13,0,0,22,22,0,22,0,22,0,21,1,22,0,22,0,21,1
Chodyam,Anakapalli,GOLUGONDA - 5595,Chodyam,3,0,6,2,4,3,7,2,0,2,1,6,3,0,6,9,0,7,2,9,0,9,0,9,0,7,2,9,0
Gadampalem,Anakapalli,GOLUGONDA - 5595,Gadampalem,0,0,9,3,3,3,7,2,0,0,0,9,0,0,9,9,0,9,0,9,0,7,2,9,0,9,0,9,0
Golugonda,Anakapalli,GOLUGONDA - 5595,Golugonda,8,2,11,11,5,5,16,5,0,7,2,12,5,0,16,21,0,21,0,16,5,15,6,20,1,20,1,21,0
Gopalapatnam,Anakapalli,GOLUGONDA - 5595,Gopalapatnam,1,0,4,5,0,0,4,1,0,1,0,4,0,0,5,3,2,3,2,5,0,2,3,5,0,5,0,5,0
Gundupala,Anakapalli,GOLUGONDA - 5595,Gundupala,1,11,2,12,2,0,8,1,5,4,8,2,0,0,14,14,0,13,1,13,1,11,3,14,0,13,1,14,0
Jammadevipeta,Anakapalli,GOLUGONDA - 5595,Jammadevipeta,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Jammavaram,Anakapalli,GOLUGONDA - 5595,Jammavaram,3,1,2,6,0,0,0,6,0,2,1,3,0,0,6,6,0,6,0,6,0,6,0,6,0,6,0,6,0
Karaka,Anakapalli,GOLUGONDA - 5595,Karaka,0,1,2,3,0,0,0,3,0,0,1,2,3,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
Kasimi,Anakapalli,GOLUGONDA - 5595,Kasimi,0,3,9,3,6,3,7,4,1,0,3,9,1,0,11,12,0,7,5,11,1,8,4,12,0,11,1,12,0
Komira,Anakapalli,GOLUGONDA - 5595,Komira,5,4,4,12,0,1,4,7,2,5,2,6,0,0,13,13,0,12,1,13,0,8,5,13,0,13,0,13,0
Konkasingi,Anakapalli,GOLUGONDA - 5595,Konkasingi,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Kothamallempeta,Anakapalli,GOLUGONDA - 5595,Kothamallempeta,1,1,12,9,1,4,12,0,2,0,2,12,6,0,8,14,0,12,2,11,3,9,5,14,0,12,2,14,0
Krishnadevipeta,Anakapalli,GOLUGONDA - 5595,Krishnadevipeta,4,10,19,31,1,1,18,14,1,4,11,18,29,0,4,33,0,23,10,13,20,14,19,33,0,31,2,32,1
Kumarapuram,Anakapalli,GOLUGONDA - 5595,Kumarapuram,4,4,7,14,1,0,15,0,0,4,5,6,5,0,10,15,0,11,4,10,5,8,7,15,0,15,0,15,0
Lingamdora Palem,Anakapalli,GOLUGONDA - 5595,Lingamdora Palem,5,4,2,4,2,5,8,1,2,5,4,2,0,0,11,11,0,10,1,11,0,9,2,11,0,11,0,11,0
Mungerlapalem,Anakapalli,GOLUGONDA - 5595,Mungerlapalem,6,14,9,25,1,3,16,12,1,5,15,9,5,1,23,29,0,23,6,27,2,23,6,29,0,29,0,29,0
Nagannadorapalem,Anakapalli,GOLUGONDA - 5595,Nagannadorapalem,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Pakalapadu,Anakapalli,GOLUGONDA - 5595,Pakalapadu,9,16,2,11,4,12,27,0,0,16,9,2,12,0,15,27,0,26,1,17,10,13,14,27,0,27,0,27,0
Pallapu Nagannadora Palem,Anakapalli,GOLUGONDA - 5595,Pallapu Nagannadora Palem,5,3,8,13,3,0,6,10,0,5,3,8,3,0,13,16,0,14,2,15,1,11,5,16,0,14,2,16,0
Pappusettipalem,Anakapalli,GOLUGONDA - 5595,Pappusettipalem,4,3,5,10,1,1,5,7,0,3,3,6,4,1,7,11,1,10,2,12,0,7,5,12,0,12,0,12,0
Pathamallempeta,Anakapalli,GOLUGONDA - 5595,Pathamallempeta,3,2,8,11,1,1,10,1,2,3,2,8,0,8,5,13,0,11,2,13,0,10,3,13,0,13,0,13,0
Pogachetlapalem,Anakapalli,GOLUGONDA - 5595,Pogachetlapalem,2,8,5,12,3,0,6,6,3,3,7,5,4,0,11,15,0,15,0,15,0,13,2,15,0,15,0,15,0
Thallacheedikada,Anakapalli,GOLUGONDA - 5595,Thallacheedikada,1,1,0,1,0,1,0,2,0,1,1,0,0,0,2,2,0,2,0,2,0,1,1,2,0,2,0,2,0
Yarravaram,Anakapalli,GOLUGONDA - 5595,Yarravaram,6,0,2,5,1,2,7,0,1,6,0,2,6,0,2,8,0,8,0,8,0,6,2,8,0,8,0,8,0
