State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Alamanda Bheemavaram,Anakapalli,K.KOTAPADU - 5598,Alamanda Bheemavaram,3,3,8,10,2,2,14,0,0,3,3,8,4,0,10,14,0,14,0,13,1,2,12,13,1,14,0,14,0
Alamandakoduru,Anakapalli,K.KOTAPADU - 5598,Alamandakoduru,6,6,20,21,4,7,32,0,0,7,6,19,4,0,28,32,0,31,1,31,1,8,24,30,2,32,0,30,2
Arle,Anakapalli,K.KOTAPADU - 5598,Arle,4,3,13,15,4,1,19,0,1,4,3,13,0,0,20,20,0,19,1,16,4,12,8,20,0,20,0,18,2
Chandrayyapeta,Anakapalli,K.KOTAPADU - 5598,Chandrayyapeta,1,2,2,4,1,0,5,0,0,1,2,2,0,0,5,5,0,5,0,5,0,0,5,3,2,5,0,5,0
Chowduvada,Anakapalli,K.KOTAPADU - 5598,Chowduvada,2,8,12,18,3,1,22,0,0,6,6,10,0,0,22,22,0,21,1,20,2,18,4,21,1,21,1,22,0
Dalivalasa,Anakapalli,K.KOTAPADU - 5598,Dalivalasa,4,6,10,16,4,0,17,2,1,4,6,10,4,0,16,20,0,20,0,20,0,16,4,20,0,20,0,20,0
Garugubilli,Anakapalli,K.KOTAPADU - 5598,Garugubilli,3,5,20,27,0,1,28,0,0,5,3,20,5,0,23,28,0,28,0,28,0,23,5,18,10,28,0,28,0
Gavarapalem,Anakapalli,K.KOTAPADU - 5598,Gavarapalem,7,2,1,10,0,0,10,0,0,4,2,4,0,0,10,10,0,10,0,9,1,1,9,9,1,10,0,10,0
Gondupalem,Anakapalli,K.KOTAPADU - 5598,Gondupalem,1,0,14,7,7,1,12,3,0,1,0,14,0,0,15,15,0,15,0,14,1,10,5,14,1,15,0,15,0
Gotlam,Anakapalli,K.KOTAPADU - 5598,Gotlam,0,1,5,3,3,0,6,0,0,0,1,5,0,0,6,6,0,6,0,6,0,4,2,6,0,6,0,6,0
Gullepalle,Anakapalli,K.KOTAPADU - 5598,Gullepalle,10,15,21,29,15,2,43,3,0,9,16,21,11,0,35,46,0,44,2,37,9,9,37,41,5,45,1,46,0
Kavi Konda Agraharam,Anakapalli,K.KOTAPADU - 5598,Kavi Konda Agraharam,1,2,2,3,1,1,5,0,0,1,2,2,0,0,5,5,0,4,1,5,0,0,5,5,0,5,0,5,0
Kintada,Anakapalli,K.KOTAPADU - 5598,Kintada,5,5,11,19,1,1,21,0,0,5,6,10,9,0,12,21,0,20,1,20,1,2,19,18,3,21,0,21,0
Kintadakotapadu,Anakapalli,K.KOTAPADU - 5598,Kintadakotapadu,5,10,8,16,6,1,19,2,2,5,10,8,10,0,13,23,0,21,2,22,1,4,19,18,4,23,0,23,0
Koruvada,Anakapalli,K.KOTAPADU - 5598,Koruvada,0,2,1,1,2,0,3,0,0,0,2,1,0,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0
Koruvada Jagannadhapuram,Anakapalli,K.KOTAPADU - 5598,Koruvada Jagannadhapuram,3,1,4,6,2,0,8,0,0,4,1,3,0,0,8,8,0,8,0,8,0,8,0,8,0,8,0,8,0
Marrivalasa,Anakapalli,K.KOTAPADU - 5598,Marrivalasa,5,5,16,21,4,1,22,3,1,4,5,17,1,0,25,26,0,26,0,25,1,19,7,26,0,26,0,26,0
Medicherla,Anakapalli,K.KOTAPADU - 5598,Medicherla,9,7,13,27,2,0,28,1,0,11,6,12,8,0,21,29,0,28,1,24,5,7,22,26,3,29,0,29,0
Pathavalasa,Anakapalli,K.KOTAPADU - 5598,Pathavalasa,2,0,2,2,2,0,4,0,0,2,0,2,1,0,3,4,0,4,0,4,0,1,3,4,0,4,0,4,0
Pothanavalasa Agraharam,Anakapalli,K.KOTAPADU - 5598,Pothanavalasa Agraharam,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
Ramayogi Agraharam,Anakapalli,K.KOTAPADU - 5598,Ramayogi Agraharam,12,10,6,16,8,4,27,0,1,8,11,9,9,0,19,28,0,26,2,28,0,11,17,27,1,28,0,28,0
Rongalinaidupalle,Anakapalli,K.KOTAPADU - 5598,Rongalinaidupalle,4,8,12,18,6,0,15,8,1,5,7,12,6,0,18,24,0,24,0,23,1,21,3,24,0,23,1,24,0
Santhapalem,Anakapalli,K.KOTAPADU - 5598,Santhapalem,6,7,13,15,10,1,23,1,2,6,7,13,0,0,26,25,1,25,2,25,1,9,17,21,5,26,0,26,0
Singannadorapalem,Anakapalli,K.KOTAPADU - 5598,Singannadorapalem,6,8,11,13,10,2,23,2,0,6,8,11,0,0,25,25,0,24,1,23,2,1,24,21,4,25,0,25,0
Srungavaram,Anakapalli,K.KOTAPADU - 5598,Srungavaram,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Sudivalasa,Anakapalli,K.KOTAPADU - 5598,Sudivalasa,0,0,3,2,0,1,1,1,1,0,0,3,0,0,3,3,0,3,0,3,0,2,1,3,0,3,0,3,0
Varada,Anakapalli,K.KOTAPADU - 5598,Varada,7,6,18,17,13,1,30,1,0,7,5,19,3,0,28,31,0,31,0,31,0,26,5,30,1,31,0,31,0
