State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Addam,Anakapalli,KASIMKOTA - 5599,Addam,2,0,11,7,2,4,12,1,0,2,0,11,0,0,13,10,3,12,1,12,1,9,4,13,0,12,1,13,0
Ammeensahabpeta,Anakapalli,KASIMKOTA - 5599,Ammeensahabpeta,4,3,13,11,6,3,19,0,1,4,3,13,0,0,20,8,12,20,0,3,17,3,16,19,1,20,0,5,15
Atcherla,Anakapalli,KASIMKOTA - 5599,Atcherla,7,3,16,8,14,4,23,1,2,7,3,16,0,0,26,16,10,26,0,2,24,5,21,24,2,26,0,2,24
Bayyavaram,Anakapalli,KASIMKOTA - 5599,Bayyavaram,10,7,28,19,20,6,40,4,1,10,7,28,0,0,45,32,13,45,0,32,13,30,15,45,0,45,0,43,2
Charakam,Anakapalli,KASIMKOTA - 5599,Charakam,0,0,2,2,0,0,1,1,0,0,0,2,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
Eswarapalle Chowduvada,Anakapalli,KASIMKOTA - 5599,Eswarapalle Chowduvada,5,4,17,6,15,5,26,0,0,5,3,18,0,0,26,17,9,23,3,25,1,25,0,26,0,26,0,25,1
Gobburu,Anakapalli,KASIMKOTA - 5599,Gobburu,0,1,4,4,1,0,5,0,0,0,1,4,0,0,5,2,3,5,0,5,0,4,1,5,0,5,0,5,0
Gobburupalem,Anakapalli,KASIMKOTA - 5599,Gobburupalem,0,2,0,0,2,0,2,0,0,0,2,0,0,0,2,2,0,2,0,0,2,0,2,2,0,2,0,0,2
Gurugu Bheemavaram,Anakapalli,KASIMKOTA - 5599,Gurugu Bheemavaram,1,2,3,2,4,0,6,0,0,2,1,3,0,0,6,3,3,6,0,6,0,5,1,6,0,6,0,6,0
Gytulapalem,Anakapalli,KASIMKOTA - 5599,Gytulapalem,1,2,4,0,4,3,6,1,0,1,2,4,0,0,7,2,5,7,0,5,2,4,3,7,0,7,0,6,1
Kasimkota,Anakapalli,KASIMKOTA - 5599,Kasimkota,9,20,53,23,37,22,67,11,4,9,20,53,0,0,82,39,43,82,0,70,12,65,17,82,0,81,1,79,3
Kothapalle,Anakapalli,KASIMKOTA - 5599,Kothapalle,5,8,12,5,6,14,18,5,2,5,8,12,0,0,25,9,16,25,0,15,10,21,4,25,0,25,0,21,4
Narasapuram,Anakapalli,KASIMKOTA - 5599,Narasapuram,0,0,2,1,1,0,2,0,0,0,0,2,0,0,2,2,0,2,0,0,2,0,2,1,1,2,0,0,2
Narasingibilly,Anakapalli,KASIMKOTA - 5599,Narasingibilly,1,4,0,5,0,0,3,0,2,1,4,0,0,0,5,0,5,5,0,2,3,3,2,5,0,5,0,2,3
Nutulaguntla Palem,Anakapalli,KASIMKOTA - 5599,Nutulaguntla Palem,6,2,9,10,5,2,17,0,0,6,2,9,0,0,17,7,10,16,1,17,0,13,4,17,0,17,0,17,0
Somavaram,Anakapalli,KASIMKOTA - 5599,Somavaram,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
Sundarayyapeta,Anakapalli,KASIMKOTA - 5599,Sundarayyapeta,0,4,2,0,4,2,6,0,0,0,4,2,0,0,6,2,4,3,3,6,0,6,0,6,0,6,0,6,0
Tallapalem,Anakapalli,KASIMKOTA - 5599,Tallapalem,0,3,11,2,10,2,12,2,0,0,3,11,1,0,13,4,10,14,0,11,3,9,5,14,0,14,0,13,1
Theeda,Anakapalli,KASIMKOTA - 5599,Theeda,1,9,14,4,14,6,22,1,1,2,8,14,0,0,24,4,20,24,0,17,7,13,11,23,1,24,0,20,4
Ugginapalem,Anakapalli,KASIMKOTA - 5599,Ugginapalem,11,2,12,3,18,4,11,10,4,5,8,12,0,0,25,9,16,25,0,20,5,20,5,25,0,25,0,18,7
Veduruparthi,Anakapalli,KASIMKOTA - 5599,Veduruparthi,2,5,17,21,3,0,21,0,3,0,7,17,0,0,24,2,22,24,0,14,10,19,5,23,0,24,0,20,4
Yenugutuni,Anakapalli,KASIMKOTA - 5599,Yenugutuni,1,0,2,2,1,0,3,0,0,1,0,2,0,0,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0
Zattapureddituni,Anakapalli,KASIMKOTA - 5599,Zattapureddituni,4,8,7,17,0,2,16,1,2,3,9,7,0,0,19,5,14,19,0,10,9,10,9,19,0,19,0,16,3
