State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Annavaram,Anakapalli,KOTAURATLA - 5600,Annavaram,19,3,5,12,12,3,20,7,0,20,4,3,0,0,27,27,0,26,1,26,1,24,3,26,1,27,0,27,0
Bapiraju Kothapalle,Anakapalli,KOTAURATLA - 5600,Bapiraju Kothapalle,5,1,28,18,15,1,19,14,1,5,2,27,1,0,33,33,1,30,4,30,4,23,11,32,2,32,2,34,0
Bodapalem,Anakapalli,KOTAURATLA - 5600,Bodapalem,3,3,18,14,7,3,20,4,0,3,3,18,2,0,22,24,0,22,2,23,1,18,6,24,0,24,0,24,0
Chinaboddepalle,Anakapalli,KOTAURATLA - 5600,Chinaboddepalle,5,2,22,16,6,7,15,14,0,6,1,22,0,0,29,29,0,25,4,27,2,26,3,29,0,27,2,29,0
Chowduvada,Anakapalli,KOTAURATLA - 5600,Chowduvada,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
Gottivada,Anakapalli,KOTAURATLA - 5600,Gottivada,7,0,17,24,0,0,16,8,0,7,2,15,2,0,22,24,0,24,0,24,0,22,2,24,0,24,0,24,0
Jalluru,Anakapalli,KOTAURATLA - 5600,Jalluru,1,5,10,14,1,1,8,8,0,1,6,9,0,0,16,16,0,14,2,14,2,13,3,15,1,16,0,16,0
Kailasapatnam,Anakapalli,KOTAURATLA - 5600,Kailasapatnam,6,3,14,4,11,8,13,7,3,6,3,14,0,0,23,23,0,20,3,22,1,6,17,23,0,23,0,23,0
Kodavatipudi,Anakapalli,KOTAURATLA - 5600,Kodavatipudi,9,7,36,45,6,1,26,18,8,9,8,35,0,0,52,52,0,48,4,51,1,44,8,52,0,51,1,52,0
Kotauratla,Anakapalli,KOTAURATLA - 5600,Kotauratla,5,5,24,6,15,13,20,13,1,5,6,23,0,0,34,34,0,32,2,32,2,11,23,34,0,33,1,34,0
Lingapuram,Anakapalli,KOTAURATLA - 5600,Lingapuram,1,4,23,0,1,27,12,14,2,1,4,23,0,0,28,28,0,28,0,28,0,27,1,28,0,28,0,28,0
Pamulavaka,Anakapalli,KOTAURATLA - 5600,Pamulavaka,1,22,3,18,5,3,17,9,0,2,22,2,0,2,24,26,0,24,2,23,3,23,3,24,2,26,0,25,1
Panduru,Anakapalli,KOTAURATLA - 5600,Panduru,2,15,7,11,7,6,19,4,1,3,14,7,0,0,24,24,0,23,1,23,1,23,1,24,0,23,1,24,0
Pippalla Kothapalle,Anakapalli,KOTAURATLA - 5600,Pippalla Kothapalle,4,4,19,23,2,2,14,13,0,4,4,19,0,0,27,27,0,25,2,25,2,21,6,25,2,27,0,26,1
Rajupeta,Anakapalli,KOTAURATLA - 5600,Rajupeta,2,8,3,11,0,2,11,1,1,2,8,3,0,1,12,13,0,13,0,13,0,11,2,13,0,13,0,13,0
Sunkapuru,Anakapalli,KOTAURATLA - 5600,Sunkapuru,1,5,4,8,0,2,5,5,0,1,5,4,0,0,10,10,0,10,0,10,0,9,1,10,0,10,0,10,0
Thangedu,Anakapalli,KOTAURATLA - 5600,Thangedu,0,25,3,20,4,4,15,13,0,0,26,2,0,0,28,28,0,26,2,28,0,26,2,26,1,28,0,28,0
Yendapalle,Anakapalli,KOTAURATLA - 5600,Yendapalle,5,6,10,18,2,1,7,8,6,4,7,10,0,0,21,20,1,18,3,20,1,19,2,21,0,21,0,20,1
