State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Appandorapalem,Anakapalli,MAKAVARAPALEM - 5603,Appandorapalem,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Bayyavaram,Anakapalli,MAKAVARAPALEM - 5603,Bayyavaram,0,9,7,13,1,2,15,0,1,8,3,5,0,0,16,16,0,13,3,16,0,13,3,16,0,16,0,16,0
Bheemaboina Palem,Anakapalli,MAKAVARAPALEM - 5603,Bheemaboina Palem,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Burugupalem,Anakapalli,MAKAVARAPALEM - 5603,Burugupalem,12,20,17,25,18,6,40,5,4,13,19,17,8,0,41,49,0,47,2,49,0,48,1,49,0,39,10,49,0
Gangavaram,Anakapalli,MAKAVARAPALEM - 5603,Gangavaram,0,2,1,2,1,0,3,0,0,0,2,1,0,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0
Giduthuru,Anakapalli,MAKAVARAPALEM - 5603,Giduthuru,1,13,6,19,1,0,13,3,4,14,4,2,1,0,19,20,0,16,4,20,0,19,1,20,0,20,0,19,1
Jangalapalle,Anakapalli,MAKAVARAPALEM - 5603,Jangalapalle,0,5,2,6,1,0,6,0,1,5,0,2,0,0,7,7,0,7,0,7,0,7,0,7,0,7,0,7,0
Koduru,Anakapalli,MAKAVARAPALEM - 5603,Koduru,7,17,22,39,5,2,35,7,4,7,17,22,3,0,43,46,0,45,1,46,0,45,1,46,0,46,0,46,0
Kondala Agraharam,Anakapalli,MAKAVARAPALEM - 5603,Kondala Agraharam,10,7,15,13,9,10,21,7,4,9,8,15,0,0,31,31,0,32,0,28,4,32,0,31,0,32,0,32,0
Makavarapalem,Anakapalli,MAKAVARAPALEM - 5603,Makavarapalem,3,8,14,25,0,0,17,7,1,4,9,12,2,0,23,25,0,25,0,25,0,25,0,25,0,22,3,24,1
Mallavaram,Anakapalli,MAKAVARAPALEM - 5603,Mallavaram,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0
Peddipalem,Anakapalli,MAKAVARAPALEM - 5603,Peddipalem,2,1,4,1,6,0,5,1,1,2,1,4,7,0,0,7,0,7,0,7,0,7,0,7,0,6,1,7,0
Pochinapeddi Agraharam,Anakapalli,MAKAVARAPALEM - 5603,Pochinapeddi Agraharam,0,2,7,5,4,0,9,0,0,2,3,4,0,0,9,9,0,9,0,9,0,9,0,9,0,9,0,9,0
Pydipala,Anakapalli,MAKAVARAPALEM - 5603,Pydipala,14,14,25,32,16,5,34,9,10,14,16,23,3,0,50,53,0,49,4,53,0,52,1,53,0,47,6,53,0
Rachapalle,Anakapalli,MAKAVARAPALEM - 5603,Rachapalle,7,4,13,15,7,2,20,3,1,7,6,11,0,0,24,24,0,22,2,22,2,22,2,23,1,24,0,23,1
Settipalem,Anakapalli,MAKAVARAPALEM - 5603,Settipalem,4,3,12,13,4,2,12,6,1,4,3,12,0,0,19,19,0,18,1,19,0,19,0,19,0,13,6,19,0
Tadapala,Anakapalli,MAKAVARAPALEM - 5603,Tadapala,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Tamaram,Anakapalli,MAKAVARAPALEM - 5603,Tamaram,2,8,16,18,3,5,25,0,1,4,7,15,3,0,23,26,0,23,3,26,0,26,0,26,0,24,2,26,0
Tootipala,Anakapalli,MAKAVARAPALEM - 5603,Tootipala,7,5,14,24,2,0,15,5,6,10,6,10,2,0,24,26,0,26,0,26,0,26,0,26,0,26,0,26,0
Vajragada,Anakapalli,MAKAVARAPALEM - 5603,Vajragada,7,6,13,16,9,1,22,3,1,8,5,13,5,0,21,26,0,22,4,26,0,24,2,25,1,24,2,26,0
Venkannapalem,Anakapalli,MAKAVARAPALEM - 5603,Venkannapalem,0,2,3,4,1,0,5,0,0,2,0,3,0,0,5,5,0,5,0,5,0,5,0,5,0,5,0,5,0
Zamindari Gangavaram,Anakapalli,MAKAVARAPALEM - 5603,Zamindari Gangavaram,0,2,1,2,1,0,2,1,0,1,2,0,0,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0
