State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Arabupalem,Anakapalli,MUNAGAPAKA - 5604,Arabupalem,18,6,8,26,5,1,31,1,0,18,6,8,0,0,32,32,0,24,8,3,29,4,27,28,4,30,2,32,0
Cherlopalem,Anakapalli,MUNAGAPAKA - 5604,Cherlopalem,2,2,5,8,1,0,8,0,1,2,2,5,0,0,9,9,0,9,0,0,9,6,3,9,0,9,0,9,0
Chuchikonda,Anakapalli,MUNAGAPAKA - 5604,Chuchikonda,0,2,15,12,5,0,16,1,0,0,2,15,0,0,17,17,0,16,1,11,6,12,5,17,0,17,0,17,0
Ganaparthi,Anakapalli,MUNAGAPAKA - 5604,Ganaparthi,8,7,19,28,5,1,33,1,0,7,6,21,0,0,34,34,0,32,2,16,18,33,1,34,0,34,0,34,0
Gantavanipalem,Anakapalli,MUNAGAPAKA - 5604,Gantavanipalem,12,2,14,12,8,8,26,1,1,12,2,14,0,0,28,27,1,28,0,16,12,27,1,28,0,28,0,25,3
Kakarapalle,Anakapalli,MUNAGAPAKA - 5604,Kakarapalle,1,12,12,18,5,2,16,9,0,1,12,12,0,0,25,25,0,22,3,20,5,19,6,25,0,24,1,25,0
Kumarapuram,Anakapalli,MUNAGAPAKA - 5604,Kumarapuram,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Madakapalem,Anakapalli,MUNAGAPAKA - 5604,Madakapalem,4,2,2,7,1,0,8,0,0,3,3,2,0,0,8,8,0,8,0,2,6,8,0,8,0,8,0,8,0
Munagapaka,Anakapalli,MUNAGAPAKA - 5604,Munagapaka,31,6,10,46,1,0,41,6,0,17,6,24,4,0,43,47,0,46,1,28,19,25,22,41,6,47,0,46,1
Nagavaram,Anakapalli,MUNAGAPAKA - 5604,Nagavaram,9,2,18,25,3,1,21,8,0,9,3,17,0,1,28,29,0,26,3,9,20,26,3,28,1,29,0,17,12
Nagulapalle,Anakapalli,MUNAGAPAKA - 5604,Nagulapalle,11,6,13,21,8,1,23,7,0,10,3,17,0,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0
Narendrapuram,Anakapalli,MUNAGAPAKA - 5604,Narendrapuram,0,0,3,2,1,0,1,2,0,0,0,3,0,0,3,3,0,3,0,1,2,3,0,3,0,3,0,3,0
Nelupaka,Anakapalli,MUNAGAPAKA - 5604,Nelupaka,11,3,16,18,9,3,28,2,0,11,3,16,0,0,30,30,0,29,1,5,25,16,14,30,0,30,0,22,8
Pallapu Anandapuram,Anakapalli,MUNAGAPAKA - 5604,Pallapu Anandapuram,13,5,13,22,7,2,26,4,1,13,5,13,0,0,31,31,0,31,0,26,5,30,1,31,0,31,0,31,0
Patipalle,Anakapalli,MUNAGAPAKA - 5604,Patipalle,4,3,9,16,0,0,16,0,0,1,3,12,1,0,15,16,0,16,0,16,0,6,10,16,0,16,0,16,0
Purushottampuram,Anakapalli,MUNAGAPAKA - 5604,Purushottampuram,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
Purushottampuram,Anakapalli,MUNAGAPAKA - 5604,Purushottampuram,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Rajupeta Agraharam,Anakapalli,MUNAGAPAKA - 5604,Rajupeta Agraharam,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
T.Sirasapalle,Anakapalli,MUNAGAPAKA - 5604,T.Sirasapalle,0,1,1,1,1,0,1,0,1,0,1,1,0,0,2,2,0,2,0,2,0,2,0,2,0,1,1,2,0
Thimmarajupeta,Anakapalli,MUNAGAPAKA - 5604,Thimmarajupeta,9,7,13,24,5,0,23,6,0,9,8,12,1,0,28,28,1,28,1,22,7,24,5,29,0,29,0,25,4
Thotada,Anakapalli,MUNAGAPAKA - 5604,Thotada,8,12,7,26,1,0,27,0,0,9,10,8,0,0,27,27,0,24,3,9,18,13,14,24,3,27,0,23,4
Ummalada,Anakapalli,MUNAGAPAKA - 5604,Ummalada,0,0,17,16,1,0,9,8,0,0,0,17,0,0,17,17,0,14,3,12,5,16,1,17,0,17,0,17,0
Vadrapalle,Anakapalli,MUNAGAPAKA - 5604,Vadrapalle,3,6,26,33,2,0,15,20,0,0,8,27,0,0,35,35,0,35,0,22,13,34,1,35,0,34,1,34,1
Vompolu,Anakapalli,MUNAGAPAKA - 5604,Vompolu,4,7,21,27,3,2,29,3,0,6,7,19,0,0,32,32,0,30,2,25,7,28,4,31,1,32,0,31,1
