State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Chandanada,Anakapalli,NAKKAPALLE - 5606,Chandanada,1,4,23,24,3,1,10,18,0,2,6,20,0,0,28,28,0,28,0,28,0,28,0,28,0,26,3,28,0
Cheedika,Anakapalli,NAKKAPALLE - 5606,Cheedika,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Chinadoddigallu,Anakapalli,NAKKAPALLE - 5606,Chinadoddigallu,6,7,17,24,4,2,19,9,2,6,8,16,0,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0
Chinarambhadrapuram,Anakapalli,NAKKAPALLE - 5606,Chinarambhadrapuram,5,0,1,5,1,0,1,5,0,5,0,1,0,0,6,6,0,6,0,6,0,6,0,6,0,6,0,6,0
Chukalavari Lakshmipuram,Anakapalli,NAKKAPALLE - 5606,Chukalavari Lakshmipuram,0,1,1,2,0,0,1,1,0,0,0,2,0,0,2,2,0,1,1,2,0,1,1,2,0,2,0,2,0
Devavaram,Anakapalli,NAKKAPALLE - 5606,Devavaram,5,15,10,23,7,0,18,11,1,5,18,7,0,0,30,29,1,30,0,30,0,28,2,30,0,30,0,30,0
Donivanilakshmipuram,Anakapalli,NAKKAPALLE - 5606,Donivanilakshmipuram,10,8,7,22,3,0,16,8,1,10,8,7,0,0,25,25,0,25,0,25,0,25,0,25,0,25,0,25,0
Donkada,Anakapalli,NAKKAPALLE - 5606,Donkada,3,0,8,10,1,0,6,5,0,3,0,8,0,0,11,11,0,11,0,11,0,3,8,11,0,10,1,11,0
Donkada,Anakapalli,NAKKAPALLE - 5606,Donkada,1,3,2,4,1,1,3,3,0,1,3,2,0,0,6,6,0,6,0,6,0,0,6,6,0,6,0,6,0
Dosalapadu,Anakapalli,NAKKAPALLE - 5606,Dosalapadu,5,14,12,10,13,8,27,3,1,6,15,10,0,0,31,30,1,31,0,27,4,24,7,31,0,31,0,31,0
G.Jagannadhapuram,Anakapalli,NAKKAPALLE - 5606,G.Jagannadhapuram,0,5,10,4,9,2,10,5,0,0,5,10,0,0,15,15,0,15,0,6,9,15,0,15,0,15,0,15,0
Godicherla,Anakapalli,NAKKAPALLE - 5606,Godicherla,3,12,16,25,5,1,13,17,1,3,11,17,1,0,30,30,1,31,0,31,0,24,7,31,0,31,0,31,0
Gullipadu,Anakapalli,NAKKAPALLE - 5606,Gullipadu,3,3,10,10,5,1,11,5,0,4,2,10,0,0,16,16,0,16,0,16,0,4,12,16,0,15,1,16,0
Gunupudi,Anakapalli,NAKKAPALLE - 5606,Gunupudi,5,10,14,18,7,4,24,5,0,6,13,10,0,0,29,24,5,29,0,29,0,0,29,29,0,29,0,29,0
Kagitha,Anakapalli,NAKKAPALLE - 5606,Kagitha,3,9,20,10,5,17,23,9,0,4,9,19,0,0,32,14,18,32,0,32,0,31,1,32,0,32,0,32,0
Nakkapalle (CT),Anakapalli,NAKKAPALLE - 5606,Nakkapalle (CT),6,8,16,6,8,16,20,9,1,6,11,13,0,0,30,10,20,30,0,17,13,30,0,30,0,30,0,30,0
Nellipudi,Anakapalli,NAKKAPALLE - 5606,Nellipudi,11,2,21,7,5,22,22,11,1,8,3,23,0,0,34,32,2,34,0,34,0,34,0,34,0,34,0,34,0
Pedadoddigallu,Anakapalli,NAKKAPALLE - 5606,Pedadoddigallu,8,17,17,12,14,16,26,14,2,8,16,18,0,0,42,39,3,41,1,42,0,30,12,42,0,42,0,42,0
Pedateenarla,Anakapalli,NAKKAPALLE - 5606,Pedateenarla,8,19,33,51,5,5,40,20,0,9,20,31,0,0,60,15,45,60,0,60,0,60,0,60,0,60,0,60,0
Ramanayyapeta,Anakapalli,NAKKAPALLE - 5606,Ramanayyapeta,1,6,2,9,0,0,7,1,1,0,6,3,0,0,9,8,1,9,0,9,0,9,0,9,0,9,0,9,0
Rebaka,Anakapalli,NAKKAPALLE - 5606,Rebaka,0,2,4,5,0,1,4,1,1,0,4,2,0,0,6,5,1,6,0,6,0,6,0,6,0,6,0,6,0
Uddandapuram,Anakapalli,NAKKAPALLE - 5606,Uddandapuram,4,11,16,20,3,8,23,7,1,3,13,15,0,0,31,22,9,30,1,31,0,31,0,31,0,31,0,31,0
Upmaka Agraharam,Anakapalli,NAKKAPALLE - 5606,Upmaka Agraharam,7,6,20,19,4,10,30,2,1,4,6,22,1,0,32,30,3,33,0,33,0,32,1,33,0,33,0,33,0
Vempadu,Anakapalli,NAKKAPALLE - 5606,Vempadu,5,3,7,13,2,0,13,2,0,6,2,7,3,0,12,12,3,15,0,15,0,15,0,15,0,15,0,15,0
