State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Amalapuram,Anakapalli,NARSIPATNAM - 5607,Amalapuram,10,7,24,41,0,0,31,9,1,10,8,23,0,0,41,41,0,41,0,4,37,2,39,19,22,41,0,34,5
Balighattam,Anakapalli,NARSIPATNAM - 5607,Balighattam,3,6,25,14,11,9,32,2,0,4,6,24,0,0,34,34,0,33,1,4,27,24,9,34,0,33,1,14,20
Chettupalle,Anakapalli,NARSIPATNAM - 5607,Chettupalle,20,17,33,69,0,0,55,14,0,25,17,27,1,19,49,69,0,53,16,58,10,22,45,69,0,63,6,53,1
Dharmasagaram,Anakapalli,NARSIPATNAM - 5607,Dharmasagaram,11,6,22,29,4,6,39,0,0,14,7,18,0,0,39,39,0,39,0,6,5,4,9,37,2,39,0,21,18
Gabbada,Anakapalli,NARSIPATNAM - 5607,Gabbada,10,5,10,22,3,0,23,1,1,8,5,12,0,0,25,25,0,24,1,19,0,6,4,24,1,25,0,22,3
Guramdorapalem,Anakapalli,NARSIPATNAM - 5607,Guramdorapalem,2,1,4,6,1,0,4,1,2,2,1,4,0,0,7,7,0,7,0,4,0,2,1,5,2,7,0,6,1
Narsipatnam (CT),Anakapalli,NARSIPATNAM - 5607,Narsipatnam (CT),6,17,15,27,8,3,37,1,0,6,17,15,0,0,38,38,0,38,0,4,34,31,6,38,0,38,0,5,33
Neelampeta,Anakapalli,NARSIPATNAM - 5607,Neelampeta,2,4,2,6,2,0,7,0,1,2,3,3,0,0,8,8,0,8,0,7,0,0,0,7,1,8,0,8,0
Ordinary Laxmipuram,Anakapalli,NARSIPATNAM - 5607,Ordinary Laxmipuram,8,6,10,22,2,0,23,0,1,10,6,8,0,0,24,24,0,24,0,5,1,0,0,24,0,24,0,17,7
Peda Boddepalle (CT),Anakapalli,NARSIPATNAM - 5607,Peda Boddepalle (CT),1,0,1,2,0,0,0,2,0,0,0,2,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
Veerabhupala Patnam,Anakapalli,NARSIPATNAM - 5607,Veerabhupala Patnam,0,1,2,2,1,0,3,0,0,0,1,2,0,0,3,3,0,3,0,0,1,0,0,3,0,3,0,2,1
Vemulapudi,Anakapalli,NARSIPATNAM - 5607,Vemulapudi,16,22,40,76,2,0,56,16,6,20,19,39,6,1,71,78,0,74,4,54,21,21,54,67,11,78,0,54,12
Yerakannapalem,Anakapalli,NARSIPATNAM - 5607,Yerakannapalem,7,12,17,36,0,0,32,4,0,9,11,16,10,0,26,36,0,36,0,3,33,5,31,16,20,36,0,21,4
