State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bharinikam,Anakapalli,PARAVADA - 5611,Bharinikam,2,5,14,20,1,0,21,0,0,5,0,16,0,0,21,21,0,21,0,13,8,21,0,21,0,21,0,21,0
Cheepurupalle (East ),Anakapalli,PARAVADA - 5611,Cheepurupalle (East ),0,7,18,24,1,0,19,6,0,2,3,20,0,0,25,25,0,16,9,23,2,21,4,24,1,24,1,23,2
Cheepurupalle (West),Anakapalli,PARAVADA - 5611,Cheepurupalle (West),2,6,12,20,0,0,16,4,0,1,0,19,0,0,20,20,0,20,0,20,0,18,2,20,0,18,2,20,0
Edulapaka Bonangi,Anakapalli,PARAVADA - 5611,Edulapaka Bonangi,0,3,8,11,0,0,10,0,1,2,2,7,0,0,11,11,0,9,2,10,1,11,0,11,0,11,0,11,0
Kalapaka,Anakapalli,PARAVADA - 5611,Kalapaka,0,3,13,14,2,0,10,4,2,4,4,8,0,0,16,16,0,12,4,13,3,13,3,16,0,16,0,16,0
Kannuru,Anakapalli,PARAVADA - 5611,Kannuru,5,2,3,9,1,0,6,3,1,1,0,9,0,0,10,10,0,9,1,10,0,10,0,10,0,9,1,10,0
P SIVARAMPURAM,Anakapalli,PARAVADA - 5611,P SIVARAMPURAM,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Paravada,Anakapalli,PARAVADA - 5611,Paravada,3,6,15,23,0,1,19,3,2,6,1,17,1,0,23,23,1,19,5,22,2,19,5,24,0,21,3,18,6
Payakarao Bonangi,Anakapalli,PARAVADA - 5611,Payakarao Bonangi,0,1,2,3,0,0,2,0,1,1,0,2,0,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0
Pedamusidivada,Anakapalli,PARAVADA - 5611,Pedamusidivada,1,4,5,9,1,0,7,3,0,1,3,6,0,0,10,10,0,10,0,10,0,8,2,10,0,9,1,9,1
Pentaseema Bonangi,Anakapalli,PARAVADA - 5611,Pentaseema Bonangi,0,0,2,1,1,0,2,0,0,0,1,1,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
Ravada,Anakapalli,PARAVADA - 5611,Ravada,0,5,19,23,1,0,21,0,3,3,4,17,1,0,23,23,1,24,0,24,0,23,1,24,0,23,1,24,0
Swayambuvaram,Anakapalli,PARAVADA - 5611,Swayambuvaram,0,1,8,8,1,0,7,2,0,0,1,8,0,0,9,9,0,6,3,9,0,8,1,9,0,9,0,9,0
Thanam,Anakapalli,PARAVADA - 5611,Thanam,3,4,13,16,2,2,14,4,2,3,2,15,0,0,20,20,0,15,5,20,0,20,0,20,0,20,0,20,0
