State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Aratla Kota,Anakapalli,PAYAKARAOPETA - 5612,Aratla Kota,5,3,6,12,2,0,9,5,0,5,3,6,1,0,13,9,5,13,1,14,0,6,8,14,0,14,0,14,0
Edatam,Anakapalli,PAYAKARAOPETA - 5612,Edatam,0,9,9,16,2,0,10,4,4,0,9,9,0,0,18,10,8,17,1,18,0,17,1,18,0,18,0,18,0
Guntapalle,Anakapalli,PAYAKARAOPETA - 5612,Guntapalle,0,0,7,7,0,0,5,2,0,0,0,7,0,0,7,5,2,7,0,7,0,4,3,7,0,7,0,7,0
Kesavaram,Anakapalli,PAYAKARAOPETA - 5612,Kesavaram,0,1,1,2,0,0,2,0,0,0,1,1,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
Kumarapuram,Anakapalli,PAYAKARAOPETA - 5612,Kumarapuram,0,9,1,9,1,0,5,3,2,0,9,1,0,0,10,6,4,9,1,9,1,10,0,10,0,10,0,10,0
Mangavaram,Anakapalli,PAYAKARAOPETA - 5612,Mangavaram,2,5,8,13,1,1,6,5,4,2,4,9,0,0,15,15,0,14,1,15,0,15,0,15,0,15,0,14,1
Masahebpeta,Anakapalli,PAYAKARAOPETA - 5612,Masahebpeta,3,8,13,23,1,0,24,0,0,3,9,12,0,0,24,9,15,24,0,24,0,6,18,24,0,24,0,24,0
Namavaram,Anakapalli,PAYAKARAOPETA - 5612,Namavaram,0,2,3,5,0,0,3,2,0,0,2,3,0,0,5,4,1,4,1,5,0,5,0,5,0,5,0,5,0
Padalavani Laxmipuram,Anakapalli,PAYAKARAOPETA - 5612,Padalavani Laxmipuram,8,3,6,14,2,1,8,3,6,9,3,5,0,0,17,11,6,16,1,17,0,14,3,17,0,17,0,17,0
Palteru,Anakapalli,PAYAKARAOPETA - 5612,Palteru,4,12,9,21,4,0,14,8,3,4,12,9,0,0,25,19,6,25,0,25,0,22,3,25,0,24,1,25,0
Payakaraopeta (CT),Anakapalli,PAYAKARAOPETA - 5612,Payakaraopeta (CT),0,4,4,7,1,0,7,0,1,0,4,4,0,0,8,8,0,4,4,8,0,8,0,8,0,8,0,8,0
Pedaramabhadrapuram,Anakapalli,PAYAKARAOPETA - 5612,Pedaramabhadrapuram,0,11,3,13,1,0,7,4,3,0,8,6,0,0,14,12,2,14,0,14,0,13,1,14,0,14,0,14,0
Pentakota,Anakapalli,PAYAKARAOPETA - 5612,Pentakota,0,1,2,3,0,0,3,0,0,0,1,2,0,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0
Rajavaram,Anakapalli,PAYAKARAOPETA - 5612,Rajavaram,8,2,2,11,0,1,10,2,0,8,2,2,0,0,12,7,5,9,3,11,1,9,3,12,0,12,0,12,0
S.Narasapuram,Anakapalli,PAYAKARAOPETA - 5612,S.Narasapuram,3,0,0,3,0,0,1,0,2,3,0,0,0,0,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0
Satyavaram,Anakapalli,PAYAKARAOPETA - 5612,Satyavaram,10,8,3,19,2,0,9,5,7,10,8,3,1,0,20,7,14,19,2,21,0,19,2,21,0,21,0,21,0
Srirampuram,Anakapalli,PAYAKARAOPETA - 5612,Srirampuram,4,6,2,11,0,1,6,4,2,4,1,7,0,0,12,7,5,10,2,12,0,12,0,12,0,12,0,12,0
