State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Dimili,Anakapalli,RAMBILLI - 5616,Dimili,8,8,20,26,6,4,21,6,9,10,8,16,0,1,34,18,18,34,2,34,2,36,0,36,0,31,5,36,0
Gokivada,Anakapalli,RAMBILLI - 5616,Gokivada,1,0,5,2,2,2,3,2,1,1,0,5,0,0,6,6,0,6,0,6,0,6,0,6,0,5,1,6,0
Gorapudi,Anakapalli,RAMBILLI - 5616,Gorapudi,0,0,2,1,0,1,1,1,0,0,0,2,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
Haripuram,Anakapalli,RAMBILLI - 5616,Haripuram,3,1,10,11,4,0,14,0,1,3,2,9,0,0,14,10,4,15,0,9,6,15,0,15,0,14,1,15,0
Kattabolu,Anakapalli,RAMBILLI - 5616,Kattabolu,4,12,11,20,5,2,24,1,2,5,11,10,0,0,27,27,0,25,2,26,1,27,0,27,0,26,1,26,1
Kumarapalle,Anakapalli,RAMBILLI - 5616,Kumarapalle,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Lalam Koduru,Anakapalli,RAMBILLI - 5616,Lalam Koduru,5,7,4,11,3,2,9,5,2,5,8,3,0,1,15,16,0,16,0,14,2,16,0,16,0,16,0,16,0
Mamidivada,Anakapalli,RAMBILLI - 5616,Mamidivada,13,1,13,25,2,0,16,6,5,13,1,13,0,0,27,23,4,24,3,27,0,27,0,27,0,27,0,27,0
Marripalem,Anakapalli,RAMBILLI - 5616,Marripalem,0,0,4,2,1,2,2,0,3,1,0,2,0,1,4,1,4,4,1,4,1,5,0,5,0,4,1,5,0
Murakada,Anakapalli,RAMBILLI - 5616,Murakada,10,4,28,28,11,3,24,4,14,7,5,30,0,0,42,39,3,36,6,40,2,42,0,42,0,42,0,42,0
Panchadarla,Anakapalli,RAMBILLI - 5616,Panchadarla,3,3,2,5,2,1,6,1,1,3,2,3,3,0,5,8,0,8,0,7,1,8,0,8,0,8,0,8,0
Peda kalavalapalli,Anakapalli,RAMBILLI - 5616,Peda kalavalapalli,6,15,0,19,0,2,18,2,1,6,15,0,0,0,21,19,2,21,0,21,0,21,0,20,1,21,0,21,0
Rajakoduru,Anakapalli,RAMBILLI - 5616,Rajakoduru,5,4,6,13,1,1,12,2,1,6,3,6,0,0,15,11,4,15,0,15,0,15,0,15,0,14,1,15,0
Rajala,Anakapalli,RAMBILLI - 5616,Rajala,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Rajala Agraharam,Anakapalli,RAMBILLI - 5616,Rajala Agraharam,12,18,6,25,8,3,27,3,6,17,15,4,0,2,34,9,27,34,2,34,2,35,0,36,0,35,1,34,2
Rambilli,Anakapalli,RAMBILLI - 5616,Rambilli,0,2,3,5,0,0,2,2,1,0,2,3,0,0,5,5,0,3,2,5,0,5,0,5,0,5,0,5,0
Velchuru,Anakapalli,RAMBILLI - 5616,Velchuru,8,18,6,16,6,10,21,8,3,8,18,6,0,0,32,31,1,32,0,30,2,32,0,31,1,21,11,31,1
Zirayati Chintuva,Anakapalli,RAMBILLI - 5616,Zirayati Chintuva,1,0,1,2,0,0,1,1,0,1,0,1,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
