State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Badanapadu,Anakapalli,RAVIKAMATHAM - 5617,Badanapadu,1,1,3,3,2,0,3,2,0,1,1,3,0,0,5,5,0,5,0,3,2,5,0,5,0,5,0,5,0
Chinapachila,Anakapalli,RAVIKAMATHAM - 5617,Chinapachila,3,1,5,2,5,2,7,2,0,3,1,5,0,0,9,9,0,8,1,9,0,9,0,9,0,9,0,9,0
Dharmavaram,Anakapalli,RAVIKAMATHAM - 5617,Dharmavaram,0,1,1,1,1,0,1,1,0,0,1,1,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
Diddi,Anakapalli,RAVIKAMATHAM - 5617,Diddi,2,6,8,10,1,5,11,5,0,2,6,8,0,0,16,16,0,16,0,12,4,12,4,16,0,15,1,16,0
Dondapudi,Anakapalli,RAVIKAMATHAM - 5617,Dondapudi,8,9,13,8,19,3,24,5,1,9,13,8,3,0,27,27,3,27,3,30,0,25,5,30,0,28,2,30,0
Garnikam,Anakapalli,RAVIKAMATHAM - 5617,Garnikam,8,8,2,10,4,4,15,3,0,9,7,2,0,0,18,18,0,17,1,18,0,18,0,18,0,18,0,18,0
Gompa,Anakapalli,RAVIKAMATHAM - 5617,Gompa,3,9,16,17,7,5,24,5,0,4,7,18,6,0,23,27,2,28,1,16,13,20,9,29,0,28,1,27,2
Guddipa,Anakapalli,RAVIKAMATHAM - 5617,Guddipa,5,16,13,10,21,3,31,2,1,5,15,14,2,0,32,33,1,33,1,34,0,29,5,33,1,34,0,34,0
Gudiwada,Anakapalli,RAVIKAMATHAM - 5617,Gudiwada,2,6,9,11,1,5,16,1,0,2,6,9,14,0,3,17,0,17,0,17,0,15,2,17,0,16,1,17,0
Gummallapadu,Anakapalli,RAVIKAMATHAM - 5617,Gummallapadu,2,1,3,1,2,3,5,1,0,2,1,3,0,0,6,6,0,6,0,6,0,6,0,6,0,6,0,6,0
Kanada,Anakapalli,RAVIKAMATHAM - 5617,Kanada,4,2,8,14,0,0,13,1,0,4,3,7,0,0,14,14,0,14,0,10,4,9,5,14,0,11,3,14,0
Kothakota,Anakapalli,RAVIKAMATHAM - 5617,Kothakota,11,8,41,29,30,3,47,14,1,14,5,43,0,0,62,62,0,45,17,59,3,48,14,62,0,59,3,61,1
Kotnabilli,Anakapalli,RAVIKAMATHAM - 5617,Kotnabilli,1,0,1,1,1,0,2,0,0,1,0,1,1,0,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0
Krishnabhupala Puram Agraharam,Anakapalli,RAVIKAMATHAM - 5617,Krishnabhupala Puram Agraharam,2,0,1,2,1,0,2,0,1,2,0,1,2,0,1,3,0,1,2,3,0,3,0,3,0,2,1,3,0
Machchavanipalem,Anakapalli,RAVIKAMATHAM - 5617,Machchavanipalem,2,1,0,3,0,0,3,0,0,2,1,0,0,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0
Marrivalasa,Anakapalli,RAVIKAMATHAM - 5617,Marrivalasa,0,2,0,2,0,0,1,1,0,0,2,0,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
Matsyapuram,Anakapalli,RAVIKAMATHAM - 5617,Matsyapuram,4,5,8,1,11,5,14,2,1,4,6,7,0,0,17,17,0,17,0,17,0,16,1,17,0,17,0,17,0
Medivada,Anakapalli,RAVIKAMATHAM - 5617,Medivada,2,2,0,2,1,1,3,1,0,2,2,0,1,0,3,4,0,4,0,4,0,3,1,4,0,4,0,4,0
Pulakandam Ponavolu,Anakapalli,RAVIKAMATHAM - 5617,Pulakandam Ponavolu,5,4,20,3,23,4,23,6,1,5,9,16,0,0,30,30,0,27,3,25,5,23,7,30,0,30,0,30,0
Ravikamatham,Anakapalli,RAVIKAMATHAM - 5617,Ravikamatham,8,2,24,31,4,0,27,7,1,8,2,25,0,0,35,34,1,28,7,33,2,22,13,34,1,35,0,35,0
T.Arjapuram,Anakapalli,RAVIKAMATHAM - 5617,T.Arjapuram,4,13,16,16,12,5,26,5,1,4,13,16,0,0,33,33,0,29,4,26,7,28,5,33,0,31,2,33,0
Tattabanda,Anakapalli,RAVIKAMATHAM - 5617,Tattabanda,1,9,20,24,1,5,24,5,1,1,9,20,0,0,30,30,0,30,0,29,1,21,9,30,0,21,9,30,0
Totakurapalem,Anakapalli,RAVIKAMATHAM - 5617,Totakurapalem,11,10,9,19,10,1,24,4,2,15,5,10,0,0,30,30,0,23,7,28,2,30,0,30,0,28,2,30,0
Z.Bennavaram,Anakapalli,RAVIKAMATHAM - 5617,Z.Bennavaram,0,3,7,5,3,2,8,2,0,0,3,7,0,0,10,10,0,10,0,9,1,8,2,10,0,10,0,10,0
Z.Kothapatnam,Anakapalli,RAVIKAMATHAM - 5617,Z.Kothapatnam,6,10,13,14,11,4,22,7,0,7,9,13,0,0,29,29,0,25,4,27,2,25,4,29,0,28,1,29,0
