State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Addasaram,Anakapalli,ROLUGUNTA - 5618,Addasaram,12,10,6,27,3,0,22,4,2,7,11,10,11,0,17,28,0,13,15,22,6,6,7,28,0,24,4,12,2
Arla,Anakapalli,ROLUGUNTA - 5618,Arla,5,6,0,4,1,6,6,3,2,3,6,2,5,0,6,11,0,5,6,10,1,2,0,11,0,11,0,1,0
Benna Bhupala Patnam,Anakapalli,ROLUGUNTA - 5618,Benna Bhupala Patnam,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Bottavanigaviram Peta,Anakapalli,ROLUGUNTA - 5618,Bottavanigaviram Peta,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
Butchampeta,Anakapalli,ROLUGUNTA - 5618,Butchampeta,2,14,12,16,8,4,19,7,2,2,14,12,4,0,24,27,1,16,12,10,18,6,12,21,7,20,8,23,5
Chintalapudi,Anakapalli,ROLUGUNTA - 5618,Chintalapudi,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
Gangavaram,Anakapalli,ROLUGUNTA - 5618,Gangavaram,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
Gundubadu,Anakapalli,ROLUGUNTA - 5618,Gundubadu,7,9,7,15,6,2,21,2,0,7,9,7,5,0,18,23,0,19,4,2,21,4,19,18,5,23,0,16,7
Gurrampeta,Anakapalli,ROLUGUNTA - 5618,Gurrampeta,1,1,0,2,0,0,2,0,0,1,1,0,0,0,2,2,0,2,0,0,1,1,1,1,1,1,1,1,1
Jaggampeta,Anakapalli,ROLUGUNTA - 5618,Jaggampeta,7,10,8,6,4,15,10,4,11,6,9,10,11,0,14,25,0,21,4,19,7,5,5,21,2,26,0,11,1
Janakirampuram Agraharam,Anakapalli,ROLUGUNTA - 5618,Janakirampuram Agraharam,8,3,8,5,8,6,12,6,1,8,3,8,4,0,15,19,0,18,1,4,15,6,13,11,8,10,9,12,7
Komaravolu,Anakapalli,ROLUGUNTA - 5618,Komaravolu,6,8,12,17,6,3,13,10,3,5,8,13,9,0,17,26,0,20,6,18,8,9,11,17,7,26,0,17,9
Kondapalem,Anakapalli,ROLUGUNTA - 5618,Kondapalem,3,5,4,5,4,3,10,2,0,3,5,4,6,0,6,12,0,9,3,10,2,6,3,9,1,12,0,7,2
Konthalam,Anakapalli,ROLUGUNTA - 5618,Konthalam,4,6,14,16,5,3,22,1,1,2,8,14,7,0,17,24,0,20,4,3,21,3,21,24,0,23,1,15,9
Koruprolu,Anakapalli,ROLUGUNTA - 5618,Koruprolu,1,4,1,3,1,2,3,3,0,2,4,0,0,0,6,5,1,6,0,6,0,6,0,6,0,4,2,5,1
Kovvuru,Anakapalli,ROLUGUNTA - 5618,Kovvuru,5,6,16,12,8,7,20,6,1,5,6,16,10,0,17,27,0,22,5,10,17,8,12,26,1,23,4,20,7
Kusarlapudi,Anakapalli,ROLUGUNTA - 5618,Kusarlapudi,10,10,8,18,7,3,18,8,2,3,10,15,16,0,12,27,1,16,12,16,12,11,16,25,2,27,1,26,2
Mokhasa Kothapatnam,Anakapalli,ROLUGUNTA - 5618,Mokhasa Kothapatnam,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Nindugonda,Anakapalli,ROLUGUNTA - 5618,Nindugonda,18,9,1,11,6,11,22,5,1,18,9,1,8,0,20,28,0,26,2,2,26,16,12,19,9,14,14,13,15
Ratnampeta,Anakapalli,ROLUGUNTA - 5618,Ratnampeta,5,11,7,13,5,5,17,6,0,4,12,7,7,0,16,23,0,14,9,6,17,3,10,17,6,18,5,19,4
Rolugunta,Anakapalli,ROLUGUNTA - 5618,Rolugunta,2,14,16,25,5,2,18,13,1,5,13,14,12,3,17,32,0,16,16,14,12,9,11,14,18,32,0,15,16
Sarabavaram,Anakapalli,ROLUGUNTA - 5618,Sarabavaram,9,5,1,5,5,5,11,4,0,6,7,2,7,0,8,15,0,5,10,13,2,3,1,15,0,15,0,6,1
Vedullavalasa,Anakapalli,ROLUGUNTA - 5618,Vedullavalasa,3,13,11,19,3,5,15,11,1,4,12,11,5,0,22,27,0,16,11,9,16,5,3,10,16,26,1,15,12
