State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Amrutapuram,Anakapalli,SABBAVARAM - 5620,Amrutapuram,12,7,36,51,4,0,45,5,5,12,7,36,8,0,47,55,0,53,2,40,15,39,16,53,2,55,0,51,4
ANJANAGIRI,Anakapalli,SABBAVARAM - 5620,ANJANAGIRI,2,0,6,6,2,0,7,0,1,2,0,6,2,0,6,7,1,6,2,4,4,3,5,8,0,8,0,7,1
Antakapalle,Anakapalli,SABBAVARAM - 5620,Antakapalle,6,10,15,29,1,1,23,6,2,6,10,15,1,0,30,31,0,31,0,25,6,26,5,31,0,31,0,26,5
Aripaka,Anakapalli,SABBAVARAM - 5620,Aripaka,3,8,4,12,2,1,14,1,0,5,6,4,6,0,9,15,0,14,1,11,4,11,4,15,0,15,0,9,6
Asakapalle,Anakapalli,SABBAVARAM - 5620,Asakapalle,3,3,16,20,2,0,18,3,1,3,3,16,1,0,21,21,1,22,0,15,7,16,6,21,1,22,0,17,5
Ayyannapalem,Anakapalli,SABBAVARAM - 5620,Ayyannapalem,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
Bangarammapalem,Anakapalli,SABBAVARAM - 5620,Bangarammapalem,1,0,3,1,3,0,4,0,0,1,0,3,3,0,1,4,0,4,0,4,0,0,4,4,0,4,0,4,0
Bangarammapalem,Anakapalli,SABBAVARAM - 5620,Bangarammapalem,3,0,5,6,1,1,7,1,0,3,0,5,2,0,6,8,0,8,0,6,2,2,6,7,1,8,0,8,0
Batajangalapalem,Anakapalli,SABBAVARAM - 5620,Batajangalapalem,2,0,4,6,0,0,4,2,0,2,0,4,6,0,0,6,0,6,0,6,0,4,2,6,0,6,0,6,0
Batajangalapalem,Anakapalli,SABBAVARAM - 5620,Batajangalapalem,3,2,5,7,3,0,8,2,0,4,1,5,2,0,8,10,0,10,0,10,0,8,2,10,0,10,0,9,1
Boduvalasa,Anakapalli,SABBAVARAM - 5620,Boduvalasa,1,0,3,2,2,0,3,1,0,1,0,3,1,0,3,4,0,4,0,3,0,3,1,4,0,4,0,4,0
Gollalapalem,Anakapalli,SABBAVARAM - 5620,Gollalapalem,0,3,1,4,0,0,4,0,0,0,3,1,0,0,4,4,0,4,0,4,0,4,0,4,0,4,0,1,3
Gullipalle,Anakapalli,SABBAVARAM - 5620,Gullipalle,7,9,13,25,4,0,24,4,1,7,8,14,3,0,26,29,0,25,4,27,2,18,11,22,7,27,2,29,0
Mogalipuram,Anakapalli,SABBAVARAM - 5620,Mogalipuram,5,6,11,20,2,0,18,2,2,5,6,11,2,0,20,22,0,21,1,13,9,13,9,17,5,22,0,17,5
Narapadu,Anakapalli,SABBAVARAM - 5620,Narapadu,0,2,14,11,2,3,13,1,2,2,1,13,3,0,13,16,0,14,2,13,3,12,4,16,0,16,0,10,6
Sabbavaram,Anakapalli,SABBAVARAM - 5620,Sabbavaram,7,8,23,36,2,0,31,7,0,7,8,23,6,0,32,38,0,38,0,32,6,28,10,37,1,37,1,35,3
Vangali,Anakapalli,SABBAVARAM - 5620,Vangali,4,5,9,18,0,0,15,2,1,3,5,10,2,0,16,18,0,18,0,18,0,16,2,18,0,18,0,14,4
Yerukunaidupalem,Anakapalli,SABBAVARAM - 5620,Yerukunaidupalem,0,1,1,2,0,0,2,0,0,0,1,1,0,0,2,2,0,2,0,1,1,1,1,2,0,2,0,0,2
