State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bhakrapuram,Annamayya,CHITVEL - 4824,Bhakrapuram,0,3,13,7,6,3,9,7,0,0,0,16,0,0,16,16,0,11,5,12,4,2,14,1,15,12,4,16,0
Chintala Chelika,Annamayya,CHITVEL - 4824,Chintala Chelika,0,4,7,6,5,0,4,6,1,0,0,11,0,0,11,11,0,10,1,10,1,0,11,3,8,7,4,5,6
Chitvel,Annamayya,CHITVEL - 4824,Chitvel,0,6,30,12,16,9,16,18,3,2,0,34,1,0,35,36,0,24,13,26,11,14,23,24,12,22,15,37,0
K.V.R.R. Puram,Annamayya,CHITVEL - 4824,K.V.R.R. Puram,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0
Kampasamudram,Annamayya,CHITVEL - 4824,Kampasamudram,0,1,16,9,6,2,10,7,0,0,0,17,1,0,16,17,0,13,4,11,6,6,11,8,9,10,7,16,1
Maharajapuram @Siddareddipalle,Annamayya,CHITVEL - 4824,Maharajapuram @Siddareddipalle,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
Malemarpuram,Annamayya,CHITVEL - 4824,Malemarpuram,0,5,29,15,12,7,13,19,2,0,0,34,1,0,33,34,0,29,5,23,11,18,16,26,7,25,9,34,0
Mallemadugu,Annamayya,CHITVEL - 4824,Mallemadugu,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
Mylapalle,Annamayya,CHITVEL - 4824,Mylapalle,0,5,11,8,5,3,4,11,1,1,0,15,0,0,16,16,0,16,0,14,2,2,14,10,5,12,4,13,3
Nagavaram,Annamayya,CHITVEL - 4824,Nagavaram,0,3,21,9,10,5,14,10,0,0,0,24,0,0,24,24,0,22,2,18,6,13,11,23,1,18,5,24,0
Nagiripadu,Annamayya,CHITVEL - 4824,Nagiripadu,0,3,15,5,8,5,10,8,0,0,0,18,0,0,18,17,0,12,6,14,4,12,6,16,2,13,4,18,0
Nethivaripalle,Annamayya,CHITVEL - 4824,Nethivaripalle,0,3,8,6,4,1,6,4,1,5,0,6,0,0,11,11,0,7,4,8,3,9,2,11,0,8,3,11,0
Rajukunta,Annamayya,CHITVEL - 4824,Rajukunta,0,2,4,1,1,4,1,5,0,0,0,6,1,0,5,6,0,5,1,3,3,2,4,2,4,4,2,5,1
