State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Amilepalle,Annamayya,GURRAMKONDA - 4761,Amilepalle,0,0,11,8,3,1,8,4,1,0,0,10,0,1,7,9,1,1,13,13,3,7,7,15,2,1,13,15,2
Cherlopalle,Annamayya,GURRAMKONDA - 4761,Cherlopalle,0,1,10,5,3,3,5,6,0,0,0,11,0,1,8,10,1,2,9,11,0,4,7,11,0,0,11,11,0
Chittiboyanapalle,Annamayya,GURRAMKONDA - 4761,Chittiboyanapalle,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
Gurramkonda,Annamayya,GURRAMKONDA - 4761,Gurramkonda,0,1,30,13,11,7,19,11,1,0,4,27,0,0,27,30,1,2,29,30,1,26,5,29,2,0,31,25,6
Marripadu,Annamayya,GURRAMKONDA - 4761,Marripadu,1,3,33,21,10,6,22,15,0,0,1,36,0,7,30,30,7,2,35,34,3,35,2,35,2,1,36,35,2
Nadimikhandriga,Annamayya,GURRAMKONDA - 4761,Nadimikhandriga,0,0,29,10,12,7,17,11,1,0,3,26,0,3,26,26,3,2,27,11,18,26,3,28,1,0,29,29,0
Pasalavandla Palle,Annamayya,GURRAMKONDA - 4761,Pasalavandla Palle,0,1,37,17,13,8,22,15,1,0,3,35,0,6,31,31,7,2,36,26,12,32,6,37,1,1,37,37,1
Ramapuram,Annamayya,GURRAMKONDA - 4761,Ramapuram,0,1,21,14,5,3,15,7,0,0,5,17,1,0,21,22,0,0,22,15,7,19,3,22,0,0,22,17,5
Sangasamudram,Annamayya,GURRAMKONDA - 4761,Sangasamudram,0,2,23,11,7,7,18,7,1,0,3,21,0,5,19,19,5,0,27,31,4,19,15,26,11,0,27,37,0
Sarimadugu,Annamayya,GURRAMKONDA - 4761,Sarimadugu,0,0,19,13,3,3,14,6,0,1,4,13,0,0,16,18,0,0,20,9,11,17,3,19,1,0,20,19,1
Setlivaripalle,Annamayya,GURRAMKONDA - 4761,Setlivaripalle,0,0,20,14,4,2,8,11,1,0,2,17,0,1,16,17,1,1,19,14,6,16,4,19,0,0,20,17,3
Tharigonda,Annamayya,GURRAMKONDA - 4761,Tharigonda,0,0,28,16,8,5,20,8,1,0,3,24,0,2,23,25,1,0,31,23,10,18,15,30,3,1,31,27,6
Tharigondarajupalle,Annamayya,GURRAMKONDA - 4761,Tharigondarajupalle,0,1,14,9,2,4,10,5,0,0,2,13,0,2,13,13,2,1,14,7,8,11,4,14,1,0,15,12,3
Yellutla,Annamayya,GURRAMKONDA - 4761,Yellutla,0,0,5,3,0,2,3,2,0,0,0,5,0,0,5,5,0,1,4,2,3,3,2,5,0,0,5,5,0
