State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Anantharajupeta,Annamayya,KODUR - 4832,Anantharajupeta,0,10,73,27,31,25,52,31,0,0,4,79,1,0,82,83,0,43,40,72,11,51,32,76,6,14,69,81,2
Chiyyavaram,Annamayya,KODUR - 4832,Chiyyavaram,0,1,25,10,11,5,7,18,1,0,0,26,0,0,26,26,0,10,16,20,6,14,12,25,0,7,19,24,2
Gangarajupuram,Annamayya,KODUR - 4832,Gangarajupuram,0,1,10,3,4,4,5,5,1,0,0,11,0,0,11,11,0,4,7,1,10,7,4,9,2,1,10,9,2
K.Buduguntapalle,Annamayya,KODUR - 4832,K.Buduguntapalle,0,2,13,4,6,5,6,9,0,1,0,14,0,0,15,15,0,9,6,2,13,10,5,12,3,5,10,15,0
Kitchamambapuram Agraharam,Annamayya,KODUR - 4832,Kitchamambapuram Agraharam,0,4,11,5,5,5,7,8,0,0,0,15,1,0,14,15,0,6,9,15,0,9,6,15,0,5,10,13,2
Kodur (East),Annamayya,KODUR - 4832,Kodur (East),1,5,60,30,25,11,32,34,0,3,2,61,1,0,65,66,0,31,35,21,45,54,12,59,7,20,46,61,5
Kodur (West),Annamayya,KODUR - 4832,Kodur (West),0,7,23,8,13,9,15,15,0,0,0,30,2,0,28,30,0,14,16,30,0,19,11,27,3,5,25,27,3
Obanapalle,Annamayya,KODUR - 4832,Obanapalle,0,3,44,13,19,15,28,19,0,1,0,46,2,0,45,47,0,22,25,24,23,32,15,41,6,12,35,20,27
Raghavarajupuram,Annamayya,KODUR - 4832,Raghavarajupuram,0,1,12,6,6,1,7,6,0,0,0,13,0,0,13,13,0,7,6,6,7,11,2,8,5,2,11,9,4
Settigunta,Annamayya,KODUR - 4832,Settigunta,0,7,50,26,20,11,19,37,1,1,0,56,1,0,56,57,0,27,30,52,5,33,24,51,5,16,41,53,4
Upparapalle,Annamayya,KODUR - 4832,Upparapalle,1,6,43,20,17,13,19,31,0,3,0,47,1,0,49,50,0,30,20,5,45,38,12,33,17,14,36,36,14
Vasudevapuram,Annamayya,KODUR - 4832,Vasudevapuram,0,0,5,1,2,2,2,3,0,0,0,5,0,0,5,5,0,3,2,0,5,4,1,3,1,2,3,5,0
Vellelavari Khandrika,Annamayya,KODUR - 4832,Vellelavari Khandrika,0,1,27,7,11,10,20,8,0,0,0,28,0,2,26,28,0,15,13,3,25,14,14,24,2,1,27,25,3
