State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Ananthapuram,Annamayya,LAKKIREDDIPALLE - 4834,Ananthapuram,0,7,52,27,22,12,23,36,2,1,14,43,1,0,46,52,0,48,13,48,13,22,39,57,3,18,43,60,1
Brahmana Yerragudi,Annamayya,LAKKIREDDIPALLE - 4834,Brahmana Yerragudi,0,3,86,29,40,20,52,37,0,3,0,86,0,0,89,89,0,62,27,22,67,32,57,84,5,33,55,89,0
Dappepalle,Annamayya,LAKKIREDDIPALLE - 4834,Dappepalle,3,12,82,42,39,16,49,47,1,1,19,64,2,1,94,97,0,74,23,9,74,56,27,78,5,33,63,81,2
Dinnepadu,Annamayya,LAKKIREDDIPALLE - 4834,Dinnepadu,0,10,73,46,31,6,42,41,0,2,14,65,2,0,79,82,0,70,12,17,65,45,37,77,5,26,56,80,2
Gudlavaripalle,Annamayya,LAKKIREDDIPALLE - 4834,Gudlavaripalle,0,1,9,4,5,1,1,9,0,2,1,7,0,0,10,10,0,5,5,7,3,3,7,9,1,6,4,10,0
Kakulavaram,Annamayya,LAKKIREDDIPALLE - 4834,Kakulavaram,0,0,3,0,3,0,2,1,0,0,0,3,0,0,3,3,0,3,0,3,0,1,2,3,0,1,2,3,0
Kurnoothala,Annamayya,LAKKIREDDIPALLE - 4834,Kurnoothala,0,1,1,1,1,0,2,0,0,0,1,1,0,0,2,2,0,2,0,0,2,0,2,2,0,1,1,2,0
Lakkireddipalle,Annamayya,LAKKIREDDIPALLE - 4834,Lakkireddipalle,2,5,44,26,19,6,24,27,0,0,20,31,0,0,51,51,0,39,11,3,46,41,8,49,0,19,32,47,2
Maddirevula,Annamayya,LAKKIREDDIPALLE - 4834,Maddirevula,1,7,57,22,32,11,26,37,2,0,4,60,3,0,61,64,0,45,20,58,7,36,29,63,2,22,43,61,4
Naraharibhatla Palle,Annamayya,LAKKIREDDIPALLE - 4834,Naraharibhatla Palle,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0
Pandillapalle,Annamayya,LAKKIREDDIPALLE - 4834,Pandillapalle,0,3,32,11,17,6,23,11,1,0,0,28,0,0,35,35,0,22,13,7,20,13,14,26,1,9,25,27,0
Somabotlapalle,Annamayya,LAKKIREDDIPALLE - 4834,Somabotlapalle,0,0,6,5,1,0,5,1,0,0,0,6,0,0,6,6,0,3,3,1,5,2,4,6,0,0,6,6,0
