State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Adapur,Annamayya,NANDALUR - 4839,Adapur,0,0,12,8,3,1,3,8,1,0,3,9,6,0,6,12,0,0,12,5,7,5,7,6,5,5,7,10,2
Kunda Nellore,Annamayya,NANDALUR - 4839,Kunda Nellore,0,0,8,6,0,2,4,4,0,0,0,8,1,0,7,8,0,3,5,4,4,5,3,7,1,3,5,8,0
Lebaka,Annamayya,NANDALUR - 4839,Lebaka,0,0,11,5,5,1,2,8,1,0,2,9,2,0,9,11,0,2,9,3,8,3,8,11,0,6,5,10,1
Lebaka Manga Mamba Puram,Annamayya,NANDALUR - 4839,Lebaka Manga Mamba Puram,0,0,4,3,0,1,3,1,0,0,1,3,0,0,4,4,0,0,4,3,1,3,1,4,0,1,3,4,0
Nagireddipalle (CT),Annamayya,NANDALUR - 4839,Nagireddipalle (CT),0,0,16,11,3,2,11,4,1,0,3,13,4,0,12,16,0,6,10,7,9,7,9,11,5,5,11,16,0
Nallathimmayapalle,Annamayya,NANDALUR - 4839,Nallathimmayapalle,0,1,2,1,1,1,2,1,0,0,0,3,0,0,3,3,0,0,3,3,0,0,3,3,0,2,1,3,0
Nandalur,Annamayya,NANDALUR - 4839,Nandalur,0,0,10,8,1,1,4,6,0,0,0,10,2,0,8,10,0,1,9,1,9,2,8,7,3,5,5,9,1
Patur,Annamayya,NANDALUR - 4839,Patur,0,1,5,3,3,0,3,3,0,0,1,5,1,0,5,6,0,1,5,6,0,0,6,5,1,0,6,6,0
Pothapi,Annamayya,NANDALUR - 4839,Pothapi,0,1,1,2,0,0,1,1,0,0,0,2,0,0,2,2,0,0,2,0,2,0,2,2,0,0,2,1,1
Tanguturu,Annamayya,NANDALUR - 4839,Tanguturu,0,0,2,1,0,1,0,1,1,0,0,2,0,0,2,2,0,1,1,0,2,0,2,0,2,0,2,0,2
Yellamarajupalle,Annamayya,NANDALUR - 4839,Yellamarajupalle,0,0,5,4,1,0,4,1,0,0,2,3,2,0,3,5,0,0,5,4,1,4,1,4,1,1,4,4,1
