State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bommavaram,Annamayya,OBULAVARIPALLE - 4840,Bommavaram,0,2,12,9,4,1,9,5,0,1,0,13,0,2,13,14,0,10,4,8,6,0,14,13,1,11,3,12,2
Botimeedapalle,Annamayya,OBULAVARIPALLE - 4840,Botimeedapalle,0,0,13,5,8,0,8,5,0,1,0,12,0,2,11,13,0,11,2,6,7,2,11,13,0,13,0,13,0
Chinna Orampadu,Annamayya,OBULAVARIPALLE - 4840,Chinna Orampadu,0,4,27,15,12,4,14,17,0,0,0,31,0,0,31,23,8,14,17,13,18,24,7,28,3,21,10,31,0
Gadela,Annamayya,OBULAVARIPALLE - 4840,Gadela,0,1,20,12,7,2,11,10,0,0,0,21,0,3,18,19,2,12,9,13,8,19,2,18,3,9,12,20,1
Gobburuvaripalle,Annamayya,OBULAVARIPALLE - 4840,Gobburuvaripalle,0,0,2,2,0,0,0,2,0,0,1,1,0,0,2,2,0,1,1,2,0,2,0,2,0,1,1,2,0
Govindampalle,Annamayya,OBULAVARIPALLE - 4840,Govindampalle,0,2,14,7,6,3,10,6,0,0,0,16,0,3,13,16,0,7,9,14,2,13,3,14,2,9,7,14,2
Jillelamadaka,Annamayya,OBULAVARIPALLE - 4840,Jillelamadaka,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
Korlakunta,Annamayya,OBULAVARIPALLE - 4840,Korlakunta,0,3,25,17,8,3,11,17,0,1,1,26,0,1,27,27,1,20,8,17,11,15,13,22,6,24,4,24,4
Mukkavaripalle,Annamayya,OBULAVARIPALLE - 4840,Mukkavaripalle,0,0,15,12,3,0,9,6,0,0,2,13,0,1,14,15,0,11,4,11,4,12,3,14,1,11,4,15,0
Pedda Rampadu,Annamayya,OBULAVARIPALLE - 4840,Pedda Rampadu,0,4,34,24,12,2,20,18,0,0,1,37,0,0,38,25,13,24,14,29,9,27,11,34,4,24,14,37,0
Rallacheruvupalle,Annamayya,OBULAVARIPALLE - 4840,Rallacheruvupalle,0,0,3,2,0,1,0,3,0,0,0,3,0,0,3,1,2,2,1,2,1,3,0,3,0,3,0,3,0
Yerraguntakota,Annamayya,OBULAVARIPALLE - 4840,Yerraguntakota,0,5,32,17,13,7,13,23,1,2,4,31,0,2,35,22,15,25,12,24,13,28,9,34,2,30,7,35,2
