State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Boorlapalle,Annamayya,PEDDATHIPPASAMUDRAM - 4782,Boorlapalle,1,2,44,24,14,9,33,14,0,9,9,29,1,0,45,47,0,31,16,47,0,29,18,46,1,24,23,1,44
Buchipalle,Annamayya,PEDDATHIPPASAMUDRAM - 4782,Buchipalle,0,0,5,2,1,2,4,0,1,1,0,4,0,0,5,5,0,2,3,5,0,4,1,5,0,3,2,0,5
Chinnaponguppalle,Annamayya,PEDDATHIPPASAMUDRAM - 4782,Chinnaponguppalle,0,0,2,0,1,1,1,1,0,0,0,2,0,0,2,2,0,2,0,2,0,2,0,2,0,1,1,1,1
Jagadamvaripalle,Annamayya,PEDDATHIPPASAMUDRAM - 4782,Jagadamvaripalle,0,0,2,2,0,0,1,1,0,0,1,1,0,0,2,2,0,1,1,2,0,1,1,2,0,1,1,0,2
Kamsalavandla Palle,Annamayya,PEDDATHIPPASAMUDRAM - 4782,Kamsalavandla Palle,0,0,11,8,2,1,8,3,0,1,0,10,0,0,11,11,0,4,7,10,1,11,0,11,0,5,6,3,8
Kandukuru,Annamayya,PEDDATHIPPASAMUDRAM - 4782,Kandukuru,0,0,44,12,16,16,39,5,0,4,5,35,0,0,44,43,1,20,24,43,1,31,11,44,0,28,16,5,39
Katnagallu,Annamayya,PEDDATHIPPASAMUDRAM - 4782,Katnagallu,0,2,29,14,7,10,23,8,0,3,2,26,1,0,30,31,0,14,17,31,0,18,13,30,1,13,18,1,30
Maddaiahgaripalle,Annamayya,PEDDATHIPPASAMUDRAM - 4782,Maddaiahgaripalle,0,0,5,2,3,0,1,4,0,1,0,4,0,0,5,5,0,4,1,5,0,2,3,5,0,1,4,0,5
Madunuru,Annamayya,PEDDATHIPPASAMUDRAM - 4782,Madunuru,0,0,34,19,8,7,16,18,0,0,2,32,1,0,33,34,0,24,10,32,2,23,11,33,0,10,24,7,27
Mallela,Annamayya,PEDDATHIPPASAMUDRAM - 4782,Mallela,0,0,24,14,7,3,17,7,0,1,1,22,1,0,23,24,0,6,18,24,0,19,5,24,0,16,8,7,17
Pattamvandlapalle,Annamayya,PEDDATHIPPASAMUDRAM - 4782,Pattamvandlapalle,0,4,43,25,12,10,26,21,0,0,14,33,0,1,46,47,0,19,28,43,4,35,10,47,0,20,27,3,43
Peddathippasamudram,Annamayya,PEDDATHIPPASAMUDRAM - 4782,Peddathippasamudram,0,6,87,44,24,25,61,31,1,10,18,65,12,0,81,93,0,44,49,93,0,46,46,93,0,37,56,11,82
Pulikallu,Annamayya,PEDDATHIPPASAMUDRAM - 4782,Pulikallu,0,0,17,10,4,3,16,1,0,3,3,11,0,0,17,17,0,9,8,17,0,8,9,17,0,9,8,0,17
Rangasamudram,Annamayya,PEDDATHIPPASAMUDRAM - 4782,Rangasamudram,1,2,25,10,9,9,21,7,0,3,2,23,0,0,28,27,1,21,7,27,1,22,6,27,1,13,15,5,22
Sampathikota,Annamayya,PEDDATHIPPASAMUDRAM - 4782,Sampathikota,0,0,39,17,13,9,26,9,4,3,2,34,0,0,39,39,0,25,14,37,2,29,10,38,1,24,15,3,36
T.Sadum,Annamayya,PEDDATHIPPASAMUDRAM - 4782,T.Sadum,0,0,44,16,19,9,27,17,0,4,8,32,1,0,43,44,0,30,15,43,2,30,15,45,0,17,28,1,43
Thummarakunta,Annamayya,PEDDATHIPPASAMUDRAM - 4782,Thummarakunta,2,11,80,43,25,25,73,19,1,7,7,79,2,0,91,93,0,46,47,89,4,57,36,91,1,48,45,4,89
