State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Damancherla,Annamayya,PENAGALUR - 4842,Damancherla,0,0,3,3,0,0,3,0,0,0,0,3,0,0,3,3,0,3,0,0,3,3,0,3,0,2,1,3,0
Itimarpuram,Annamayya,PENAGALUR - 4842,Itimarpuram,0,1,37,21,9,8,22,15,1,0,3,35,2,0,36,38,0,20,18,6,32,23,15,33,5,18,20,33,5
Komantharajupuram,Annamayya,PENAGALUR - 4842,Komantharajupuram,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0
Kondur,Annamayya,PENAGALUR - 4842,Kondur,0,0,10,6,1,3,5,5,0,0,0,10,0,0,10,10,0,5,5,6,4,6,4,10,0,7,3,10,0
Nallapureddipalle,Annamayya,PENAGALUR - 4842,Nallapureddipalle,0,1,7,7,1,0,3,3,2,0,0,8,0,0,8,8,0,7,1,5,3,6,2,7,1,3,5,6,2
Narayana Nellore,Annamayya,PENAGALUR - 4842,Narayana Nellore,0,0,10,5,4,1,10,0,0,0,0,10,0,0,10,10,0,8,2,2,8,7,3,9,1,7,3,10,0
Obili,Annamayya,PENAGALUR - 4842,Obili,0,2,16,12,5,1,13,5,0,0,1,17,0,0,18,18,0,9,9,5,13,10,8,15,2,10,8,17,1
Penagalur,Annamayya,PENAGALUR - 4842,Penagalur,0,1,24,16,7,2,14,11,0,0,0,25,0,0,25,25,0,16,9,2,23,18,7,23,2,7,18,25,0
Pondalur,Annamayya,PENAGALUR - 4842,Pondalur,0,3,37,26,9,5,29,11,0,0,0,40,0,0,40,40,0,26,14,5,35,18,22,35,5,19,21,36,4
Siddavaram,Annamayya,PENAGALUR - 4842,Siddavaram,0,0,6,3,2,1,3,3,0,0,0,6,0,0,6,6,0,3,3,4,2,4,2,5,1,0,6,6,0
Singanamala,Annamayya,PENAGALUR - 4842,Singanamala,0,0,3,2,1,0,2,1,0,0,0,3,0,0,3,3,0,2,1,1,2,2,1,3,0,2,1,3,0
Singareddipalle,Annamayya,PENAGALUR - 4842,Singareddipalle,0,0,8,3,3,2,2,6,0,0,0,8,0,0,8,8,0,4,4,4,4,7,1,8,0,1,7,8,0
Sirivaram,Annamayya,PENAGALUR - 4842,Sirivaram,0,1,4,1,3,1,4,1,0,0,0,5,0,0,5,5,0,3,2,1,4,3,2,5,0,4,1,5,0
Thirunampalle,Annamayya,PENAGALUR - 4842,Thirunampalle,0,1,4,2,3,0,1,4,0,0,1,4,0,0,5,5,0,3,2,1,4,4,1,5,0,1,4,5,0
Velagacherla,Annamayya,PENAGALUR - 4842,Velagacherla,0,0,15,7,6,2,12,3,0,0,0,15,0,0,15,15,0,11,4,4,11,13,2,15,0,9,6,13,2
Yelagacherla Mangamambapuram,Annamayya,PENAGALUR - 4842,Yelagacherla Mangamambapuram,0,0,2,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,2,0,2,2,0,2,0,0,2,2,0
