State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
A.Channamambapuram,Annamayya,PULLAMPETA - 4847,A.Channamambapuram,0,0,5,1,1,3,2,3,0,0,0,5,0,1,4,3,2,1,4,5,0,5,0,5,0,1,4,5,0
Anantaiahgaripalle,Annamayya,PULLAMPETA - 4847,Anantaiahgaripalle,0,1,20,12,6,3,5,16,0,0,0,21,0,0,21,7,14,17,4,20,1,14,7,19,2,10,11,21,0
Ananthasamudram,Annamayya,PULLAMPETA - 4847,Ananthasamudram,0,0,8,5,3,0,1,6,1,0,1,7,0,2,6,4,4,4,4,8,0,8,0,8,0,5,3,8,0
Apparajupeta,Annamayya,PULLAMPETA - 4847,Apparajupeta,0,0,15,8,4,3,6,9,0,0,0,15,0,0,15,15,0,8,7,11,4,4,11,15,0,6,9,15,0
Dalavaipalle,Annamayya,PULLAMPETA - 4847,Dalavaipalle,0,0,6,3,3,0,3,3,0,0,0,6,0,0,6,0,6,6,0,6,0,5,1,6,0,3,3,6,0
Dandlopalle,Annamayya,PULLAMPETA - 4847,Dandlopalle,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
Garalamadugu,Annamayya,PULLAMPETA - 4847,Garalamadugu,0,0,15,11,4,0,4,11,0,1,1,13,0,1,14,7,8,10,5,15,0,15,0,12,3,10,5,15,0
Immanur,Annamayya,PULLAMPETA - 4847,Immanur,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0
Ketharajupalle,Annamayya,PULLAMPETA - 4847,Ketharajupalle,0,4,2,4,1,1,5,1,0,0,0,6,0,0,6,3,3,4,2,5,1,3,3,6,0,1,5,6,0
Kommanavaripalle,Annamayya,PULLAMPETA - 4847,Kommanavaripalle,0,1,10,7,3,1,7,4,0,0,0,11,0,0,11,5,6,11,0,11,0,8,3,11,0,5,6,11,0
Kothapalle Agraharam,Annamayya,PULLAMPETA - 4847,Kothapalle Agraharam,0,1,3,4,0,0,1,3,0,0,0,4,0,0,4,0,4,4,0,4,0,4,0,4,0,2,2,4,0
Perigavaram,Annamayya,PULLAMPETA - 4847,Perigavaram,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0
Pullampeta,Annamayya,PULLAMPETA - 4847,Pullampeta,0,0,7,5,1,1,2,5,0,1,0,6,0,0,7,2,5,3,4,6,1,5,2,7,0,4,3,7,0
Puthanavaripalle,Annamayya,PULLAMPETA - 4847,Puthanavaripalle,0,0,3,1,2,0,0,3,0,0,0,3,0,0,3,1,2,3,0,3,0,2,1,3,0,3,0,3,0
Ramasamudram,Annamayya,PULLAMPETA - 4847,Ramasamudram,0,0,19,19,0,0,2,0,16,0,0,2,0,0,2,2,0,2,0,2,0,2,0,1,1,0,2,2,0
Rangampalle,Annamayya,PULLAMPETA - 4847,Rangampalle,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0
Reddipalle,Annamayya,PULLAMPETA - 4847,Reddipalle,0,0,5,1,3,1,4,1,0,1,1,3,0,1,4,4,1,3,2,5,0,3,2,5,0,2,3,5,0
Thippayapalle,Annamayya,PULLAMPETA - 4847,Thippayapalle,0,0,16,7,6,3,6,10,0,1,0,15,1,0,15,9,7,11,5,10,6,14,2,12,3,8,8,16,0
Utukuru Venkatampalle,Annamayya,PULLAMPETA - 4847,Utukuru Venkatampalle,0,0,2,1,1,0,2,0,0,0,0,2,0,0,2,2,0,1,1,0,2,2,0,0,2,0,2,1,1
Utukuruchalivendla,Annamayya,PULLAMPETA - 4847,Utukuruchalivendla,0,0,3,3,0,0,2,1,0,0,0,3,0,0,3,3,0,3,0,3,0,1,2,3,0,0,3,2,1
Vallurupalle,Annamayya,PULLAMPETA - 4847,Vallurupalle,0,0,6,3,3,0,2,4,0,0,1,5,0,0,6,2,4,5,1,6,0,6,0,6,0,4,2,6,0
Vathalur,Annamayya,PULLAMPETA - 4847,Vathalur,0,0,12,4,5,3,4,8,0,0,1,11,0,1,11,5,7,8,4,8,4,8,4,11,1,6,6,12,0
