State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Akepadu,Annamayya,RAJAMPET - 4848,Akepadu,0,0,11,4,4,3,4,6,1,0,1,10,2,0,9,11,0,6,5,8,3,9,2,9,1,2,9,10,1
Brahmanapalle,Annamayya,RAJAMPET - 4848,Brahmanapalle,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0
Gopamambapuram,Annamayya,RAJAMPET - 4848,Gopamambapuram,0,0,7,3,3,1,0,6,1,0,1,6,1,0,6,7,0,4,3,6,1,0,7,7,0,4,3,7,0
Gundluru,Annamayya,RAJAMPET - 4848,Gundluru,0,6,66,52,15,5,31,40,1,2,9,61,4,0,68,72,0,45,27,13,59,43,29,69,3,30,42,71,1
Hastavaram,Annamayya,RAJAMPET - 4848,Hastavaram,0,0,17,8,5,4,1,14,2,0,3,14,0,0,17,17,0,12,5,14,3,9,8,15,1,4,13,17,0
Kitchamambapuram,Annamayya,RAJAMPET - 4848,Kitchamambapuram,0,0,15,10,2,3,10,4,1,0,1,14,0,0,15,15,0,7,8,10,5,1,14,14,1,10,5,13,2
Kothapalle,Annamayya,RAJAMPET - 4848,Kothapalle,0,0,8,5,1,2,6,2,0,0,1,7,0,0,8,8,0,7,1,5,3,4,4,5,1,1,7,8,0
Madanagopalapuram,Annamayya,RAJAMPET - 4848,Madanagopalapuram,0,0,11,4,4,3,0,11,0,0,2,9,0,0,11,11,0,7,4,10,1,0,11,11,0,3,8,10,1
Mandapalle,Annamayya,RAJAMPET - 4848,Mandapalle,0,1,15,6,7,3,6,9,1,0,5,11,0,0,16,16,0,7,9,14,2,1,15,15,1,6,10,14,2
Mannur,Annamayya,RAJAMPET - 4848,Mannur,0,0,19,9,7,3,11,8,0,0,2,17,0,0,19,19,0,8,11,13,6,4,15,16,2,11,8,16,2
Mittameedapalle,Annamayya,RAJAMPET - 4848,Mittameedapalle,0,0,18,8,7,3,9,9,0,0,1,17,0,0,18,18,0,13,5,12,6,4,14,18,0,6,12,16,2
Poli,Annamayya,RAJAMPET - 4848,Poli,0,0,16,10,2,4,11,5,0,0,6,10,1,0,15,16,0,6,10,13,3,1,15,14,2,10,6,14,2
Pulapathuru,Annamayya,RAJAMPET - 4848,Pulapathuru,0,0,6,2,2,2,5,1,0,0,0,6,0,0,6,6,0,2,4,5,1,0,6,3,3,2,4,3,3
Rajampet (R) (Part),Annamayya,RAJAMPET - 4848,Rajampet (R) (Part),0,1,16,12,2,3,3,12,2,0,1,16,0,0,17,17,0,13,4,12,5,0,17,14,3,9,8,17,0
Rollamadugu,Annamayya,RAJAMPET - 4848,Rollamadugu,0,0,10,6,4,0,8,2,0,0,1,9,0,0,10,10,0,3,7,8,2,0,10,7,2,6,4,9,1
Tallapaka,Annamayya,RAJAMPET - 4848,Tallapaka,0,0,18,13,3,2,10,8,0,0,3,15,0,0,18,18,0,11,7,13,5,8,10,17,1,7,11,18,0
Utukur,Annamayya,RAJAMPET - 4848,Utukur,0,0,9,6,3,0,6,3,0,0,1,8,0,0,9,9,0,4,5,9,0,4,5,8,0,6,3,8,1
