State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bandlapalle,Annamayya,RAMAPURAM - 4850,Bandlapalle,2,4,44,15,15,20,17,30,3,2,1,47,0,1,49,27,23,49,1,43,7,33,17,43,7,25,25,50,0
Chitlur,Annamayya,RAMAPURAM - 4850,Chitlur,0,0,27,6,11,10,13,14,0,0,1,26,0,0,24,17,9,23,4,22,5,18,9,27,0,14,13,27,0
Gopagudipalle,Annamayya,RAMAPURAM - 4850,Gopagudipalle,0,1,48,30,15,4,20,28,1,0,2,47,0,5,44,34,15,31,18,27,22,28,20,46,3,20,29,44,5
Guvvalacheruvu,Annamayya,RAMAPURAM - 4850,Guvvalacheruvu,1,2,14,9,6,2,9,8,0,2,4,11,0,0,17,15,2,14,3,7,10,9,8,16,1,6,11,15,2
Hasanapuram,Annamayya,RAMAPURAM - 4850,Hasanapuram,0,0,29,7,12,10,7,22,0,2,3,24,0,0,29,12,17,28,1,25,4,25,4,29,0,4,25,29,0
Kalpanayunicheruvu,Annamayya,RAMAPURAM - 4850,Kalpanayunicheruvu,0,0,25,16,7,2,16,9,0,3,2,20,0,0,25,17,8,21,4,22,3,22,3,24,1,16,9,25,0
Nallaguttapalle,Annamayya,RAMAPURAM - 4850,Nallaguttapalle,0,1,22,14,6,3,14,9,0,0,0,23,0,0,20,19,3,18,5,21,2,22,1,22,1,16,7,21,1
Neelakantharaopeta,Annamayya,RAMAPURAM - 4850,Neelakantharaopeta,0,0,17,6,7,4,5,11,1,0,1,16,0,0,17,14,3,14,3,11,6,9,8,15,0,11,6,15,2
Rachapalle,Annamayya,RAMAPURAM - 4850,Rachapalle,0,0,32,8,12,12,10,22,0,0,0,32,0,0,32,26,6,27,5,19,13,26,6,31,1,14,18,30,2
Saraswathipalle,Annamayya,RAMAPURAM - 4850,Saraswathipalle,2,2,21,8,9,8,8,14,3,0,2,23,0,0,24,25,0,21,4,23,2,22,3,21,3,15,10,24,0
Suddamalla,Annamayya,RAMAPURAM - 4850,Suddamalla,0,0,23,11,8,4,12,11,0,1,1,21,0,1,22,18,5,18,5,9,14,13,5,23,0,11,12,21,2
