State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Arikela,Annamayya,RAMASAMUDRAM - 4792,Arikela,0,0,35,24,5,5,9,26,0,0,4,30,0,0,32,32,0,26,10,15,21,17,19,33,3,15,21,29,7
Chembakur,Annamayya,RAMASAMUDRAM - 4792,Chembakur,0,0,33,16,10,7,9,22,2,0,4,27,3,0,28,8,23,20,11,21,10,8,23,27,4,15,16,27,4
Chokkandlapalle,Annamayya,RAMASAMUDRAM - 4792,Chokkandlapalle,0,3,31,27,4,3,11,23,0,2,6,26,0,0,30,33,0,22,12,19,15,20,14,28,6,18,16,28,6
Elavanellore,Annamayya,RAMASAMUDRAM - 4792,Elavanellore,1,1,20,9,9,6,11,12,2,0,4,16,0,0,15,16,1,22,2,17,11,15,11,26,2,12,14,26,2
Kappalle,Annamayya,RAMASAMUDRAM - 4792,Kappalle,0,1,30,11,9,11,13,20,0,2,6,23,0,1,26,11,18,24,9,28,5,21,12,31,2,7,26,33,0
Kudurucheemanapalle,Annamayya,RAMASAMUDRAM - 4792,Kudurucheemanapalle,0,2,28,11,9,11,10,22,0,2,5,23,0,0,24,23,4,26,6,29,2,31,1,32,0,16,16,31,0
Kurijala,Annamayya,RAMASAMUDRAM - 4792,Kurijala,0,0,4,3,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Malenatham,Annamayya,RAMASAMUDRAM - 4792,Malenatham,0,0,24,13,5,6,11,13,0,0,5,19,0,1,17,14,8,16,9,24,1,9,16,25,0,7,18,25,0
Miniki,Annamayya,RAMASAMUDRAM - 4792,Miniki,0,0,27,19,5,3,12,16,1,0,4,23,0,0,20,25,0,18,11,19,12,18,13,29,2,19,10,27,4
Moogavadi,Annamayya,RAMASAMUDRAM - 4792,Moogavadi,0,0,30,18,7,5,11,20,1,0,7,23,0,0,26,27,1,20,12,18,18,22,13,36,1,19,15,32,5
Nariganipalle,Annamayya,RAMASAMUDRAM - 4792,Nariganipalle,0,1,30,21,6,5,12,20,0,0,7,24,0,1,29,31,0,22,10,22,10,15,17,30,2,17,15,28,4
Peddakurapalle,Annamayya,RAMASAMUDRAM - 4792,Peddakurapalle,0,0,27,8,10,9,11,18,0,1,6,18,1,0,15,21,1,26,3,19,13,22,10,31,1,18,13,30,2
R.Nadimpalle,Annamayya,RAMASAMUDRAM - 4792,R.Nadimpalle,0,1,32,18,8,7,9,24,1,1,6,25,0,0,30,8,23,28,5,23,12,10,25,33,2,24,10,33,2
Ramasamudram,Annamayya,RAMASAMUDRAM - 4792,Ramasamudram,0,1,13,4,5,5,4,10,1,0,2,12,0,0,13,9,4,10,5,13,2,8,7,12,3,10,5,15,0
Voolapadu,Annamayya,RAMASAMUDRAM - 4792,Voolapadu,1,1,33,16,10,9,9,26,0,1,5,29,0,0,28,24,8,27,8,34,1,17,18,35,0,11,24,35,0
