State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Abbavaram,Annamayya,RAYACHOTY - 4851,Abbavaram,0,0,2,1,1,0,2,0,0,0,1,1,0,0,2,2,0,1,1,2,0,2,0,2,0,0,2,2,0
Botlacheruvu,Annamayya,RAYACHOTY - 4851,Botlacheruvu,0,3,15,17,0,1,4,13,1,0,9,9,1,0,17,18,0,2,16,5,13,3,15,18,0,16,2,12,6
Chennamukkapalle (CT),Annamayya,RAYACHOTY - 4851,Chennamukkapalle (CT),0,0,6,4,1,1,4,1,1,0,2,4,0,0,6,4,2,1,5,4,2,5,1,6,0,2,4,5,1
Dullavaripalle,Annamayya,RAYACHOTY - 4851,Dullavaripalle,0,0,7,7,0,0,3,4,0,0,4,3,0,0,7,7,0,1,6,4,3,5,2,7,0,2,5,5,2
Gorlamudiveedu,Annamayya,RAYACHOTY - 4851,Gorlamudiveedu,0,0,2,0,1,1,2,0,0,0,1,1,0,0,2,2,0,1,1,0,2,2,0,2,0,0,2,2,0
Guntimadugu,Annamayya,RAYACHOTY - 4851,Guntimadugu,0,0,4,3,1,0,2,2,0,0,1,3,0,0,4,4,0,1,3,2,2,2,2,4,0,1,2,2,2
Indukurupalle,Annamayya,RAYACHOTY - 4851,Indukurupalle,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0
Katimayakunta,Annamayya,RAYACHOTY - 4851,Katimayakunta,0,0,26,25,1,0,8,14,4,2,10,14,4,1,20,26,0,7,19,12,14,4,22,26,0,12,14,18,8
Madhavaram,Annamayya,RAYACHOTY - 4851,Madhavaram,0,0,9,7,1,1,6,3,0,0,2,7,0,0,9,9,0,2,7,2,7,5,4,9,0,6,3,8,1
Masapet (R),Annamayya,RAYACHOTY - 4851,Masapet (R),0,0,15,15,0,0,8,7,0,1,4,10,1,0,14,15,0,2,13,11,4,4,11,15,0,9,6,8,7
Pemmadapalle,Annamayya,RAYACHOTY - 4851,Pemmadapalle,0,0,2,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,2,2,0,2,0,2,0,0,2,2,0
RAYACHOTI,Annamayya,RAYACHOTY - 4851,RAYACHOTI,0,0,4,3,1,0,3,1,0,0,0,4,1,0,3,4,0,0,4,2,2,2,2,4,0,2,2,4,0
Sibyala,Annamayya,RAYACHOTY - 4851,Sibyala,0,2,3,1,3,1,3,2,0,0,1,4,0,0,5,5,0,0,5,5,0,5,0,5,0,4,1,5,0
Yerranagupalle,Annamayya,RAYACHOTY - 4851,Yerranagupalle,0,0,8,5,2,1,3,5,0,2,0,6,0,0,8,8,0,0,8,1,7,0,8,8,0,3,5,5,3
