State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Devapatla,Annamayya,SAMBEPALLE - 4852,Devapatla,0,6,56,20,22,20,9,45,8,0,0,62,0,0,61,61,1,54,8,56,6,49,13,59,3,45,17,55,7
Dudyala,Annamayya,SAMBEPALLE - 4852,Dudyala,1,0,37,18,12,8,17,21,0,0,19,19,0,0,38,37,1,33,5,37,1,37,1,37,1,17,21,35,3
Gunnikuntla,Annamayya,SAMBEPALLE - 4852,Gunnikuntla,1,5,44,24,12,14,9,34,7,0,0,49,0,0,48,47,1,45,5,41,10,46,5,50,1,21,30,50,1
Guriginjakunta,Annamayya,SAMBEPALLE - 4852,Guriginjakunta,0,3,23,3,13,10,2,24,0,0,0,26,0,0,26,26,0,19,7,24,2,26,0,26,0,14,12,25,1
Guttapalle,Annamayya,SAMBEPALLE - 4852,Guttapalle,0,1,17,6,3,9,10,6,2,0,4,14,0,0,18,18,0,16,2,18,0,18,0,18,0,11,7,16,2
Motakatla,Annamayya,SAMBEPALLE - 4852,Motakatla,1,3,42,24,14,11,6,33,10,1,9,35,6,0,38,44,0,43,6,35,14,34,15,49,0,28,21,47,2
Narayanareddipalle,Annamayya,SAMBEPALLE - 4852,Narayanareddipalle,0,7,45,32,13,7,5,39,8,0,1,51,0,0,52,51,1,43,9,38,14,37,15,52,0,27,25,52,0
Routhukunta,Annamayya,SAMBEPALLE - 4852,Routhukunta,0,3,28,8,9,14,4,24,3,0,1,30,0,1,30,31,0,22,9,27,4,31,0,30,1,18,13,31,0
Sambepalle,Annamayya,SAMBEPALLE - 4852,Sambepalle,0,0,18,4,8,6,6,8,4,0,5,13,0,0,18,18,0,4,14,17,1,17,1,18,0,8,10,18,0
Settipalle,Annamayya,SAMBEPALLE - 4852,Settipalle,0,1,37,21,12,5,17,20,1,0,16,22,0,0,38,38,0,28,10,37,1,25,12,37,1,27,11,38,0
