State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Akkampalle,Annamayya,T.SUNDUPALLE - 4856,Akkampalle,1,0,14,7,4,4,11,4,0,0,3,12,0,0,15,15,0,2,13,13,2,8,7,15,0,8,7,14,1
Bhagampalle,Annamayya,T.SUNDUPALLE - 4856,Bhagampalle,0,1,27,11,11,6,22,6,0,1,5,22,0,0,28,28,0,0,28,10,18,16,12,28,0,15,13,27,1
Gundlapalle,Annamayya,T.SUNDUPALLE - 4856,Gundlapalle,0,3,63,52,8,5,57,9,0,1,5,60,2,0,64,66,0,6,60,27,39,14,52,65,0,35,31,53,13
Madithadu,Annamayya,T.SUNDUPALLE - 4856,Madithadu,1,2,52,28,13,14,36,19,1,0,9,43,0,0,52,52,0,1,55,36,21,30,27,57,0,35,22,55,2
Mudampadu,Annamayya,T.SUNDUPALLE - 4856,Mudampadu,0,0,22,11,5,6,13,8,1,0,9,13,0,0,20,22,0,1,21,12,10,20,2,22,0,12,10,21,1
Peddinenikalva,Annamayya,T.SUNDUPALLE - 4856,Peddinenikalva,0,0,25,10,7,8,18,7,0,1,4,19,0,0,22,24,0,2,23,13,12,14,11,25,0,10,15,18,7
Polimerapalle,Annamayya,T.SUNDUPALLE - 4856,Polimerapalle,1,2,55,19,15,24,38,19,1,0,20,38,0,0,57,57,0,4,55,29,31,33,26,60,0,28,31,46,14
Rayavaram,Annamayya,T.SUNDUPALLE - 4856,Rayavaram,0,0,6,3,2,1,5,1,0,0,0,6,0,0,6,6,0,0,6,4,2,3,3,6,0,4,2,6,0
Reddivaripalle,Annamayya,T.SUNDUPALLE - 4856,Reddivaripalle,0,0,19,17,5,1,18,8,0,0,3,14,0,0,17,17,0,8,17,27,2,22,7,26,3,11,17,29,0
T Sundupalle,Annamayya,T.SUNDUPALLE - 4856,T Sundupalle,0,0,44,27,9,8,32,12,0,1,6,37,0,0,43,43,0,1,42,24,20,32,12,44,0,23,21,43,1
Thimmasamudram,Annamayya,T.SUNDUPALLE - 4856,Thimmasamudram,0,0,7,0,4,2,3,4,0,0,1,6,0,0,7,7,0,2,4,4,3,6,1,6,1,5,2,6,1
Yerramanenipalem,Annamayya,T.SUNDUPALLE - 4856,Yerramanenipalem,0,0,15,9,4,3,14,3,0,1,2,11,0,0,11,14,0,0,18,10,8,12,6,18,0,7,11,17,1
