State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Aramadaka,Annamayya,VALMIKIPURAM - 4807,Aramadaka,0,0,10,4,4,2,3,7,0,0,0,10,0,3,7,10,0,7,3,8,2,7,3,9,1,0,10,7,3
Budidavedu,Annamayya,VALMIKIPURAM - 4807,Budidavedu,0,0,5,2,2,1,2,3,0,0,1,4,0,1,4,5,0,4,1,3,2,5,0,5,0,1,4,5,0
Chintaparthi,Annamayya,VALMIKIPURAM - 4807,Chintaparthi,0,3,54,26,20,11,21,36,0,1,7,49,1,10,45,57,0,38,19,42,15,49,8,52,5,17,40,55,2
Chinthalavaripalle,Annamayya,VALMIKIPURAM - 4807,Chinthalavaripalle,0,0,22,13,6,3,4,18,0,0,0,22,0,15,7,22,0,18,4,19,3,19,3,21,1,4,18,22,0
Gandaboyanapalle,Annamayya,VALMIKIPURAM - 4807,Gandaboyanapalle,0,1,30,13,12,6,11,20,0,0,2,29,0,2,28,30,1,22,9,24,7,16,15,29,2,3,28,31,0
Jarravaripalle,Annamayya,VALMIKIPURAM - 4807,Jarravaripalle,1,0,29,11,19,0,19,11,0,0,1,29,0,13,17,30,0,16,14,23,7,18,12,30,0,15,15,30,0
Kuraparthi,Annamayya,VALMIKIPURAM - 4807,Kuraparthi,0,1,18,10,7,2,7,11,1,1,3,15,0,11,8,19,0,12,7,17,2,12,7,18,1,4,15,19,0
Manchuru,Annamayya,VALMIKIPURAM - 4807,Manchuru,0,0,29,13,11,5,10,19,0,0,6,23,0,7,22,29,0,15,14,21,8,23,6,27,1,19,10,29,0
Nagarimadugu,Annamayya,VALMIKIPURAM - 4807,Nagarimadugu,0,1,23,14,6,4,10,13,1,0,2,22,0,7,17,24,0,18,6,22,2,10,14,24,0,15,9,24,0
T.Sakirevupalle,Annamayya,VALMIKIPURAM - 4807,T.Sakirevupalle,0,0,23,15,5,3,14,9,0,0,2,21,0,6,17,23,0,13,10,20,3,19,4,23,0,4,19,23,0
Thatiguntapalle,Annamayya,VALMIKIPURAM - 4807,Thatiguntapalle,0,0,34,21,10,3,12,21,1,1,4,29,0,8,26,33,1,19,15,29,5,25,9,33,1,17,17,33,1
Valmikipuram,Annamayya,VALMIKIPURAM - 4807,Valmikipuram,0,1,79,43,29,8,38,42,0,2,12,66,0,15,65,80,0,51,29,68,12,52,28,75,5,35,45,78,2
Vittalam,Annamayya,VALMIKIPURAM - 4807,Vittalam,0,0,8,5,2,1,6,2,0,0,0,8,0,2,6,8,0,5,3,8,0,5,3,7,1,3,5,8,0
