State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Addanki (North) (U),Bapatla,ADDANKI - 5454,Addanki (North) (U),0,0,31,1,6,24,30,1,0,0,1,30,0,0,31,29,2,18,13,9,22,29,2,29,2,29,2,28,3
Addanki (South) (U),Bapatla,ADDANKI - 5454,Addanki (South) (U),0,3,29,0,6,26,30,2,0,0,2,30,0,0,32,32,0,20,12,5,27,24,8,29,3,32,0,20,12
Bommanampadu,Bapatla,ADDANKI - 5454,Bommanampadu,0,1,20,0,7,14,21,0,0,0,0,21,1,0,20,21,0,12,9,7,14,19,2,20,1,13,8,20,1
Chakraya Palem,Bapatla,ADDANKI - 5454,Chakraya Palem,0,0,8,0,2,6,8,0,0,0,0,8,0,0,8,8,0,6,2,6,2,6,2,6,2,6,2,8,0
Chinakotha Palle,Bapatla,ADDANKI - 5454,Chinakotha Palle,0,0,13,0,1,12,12,1,0,0,1,12,0,0,13,11,2,7,6,3,10,11,2,9,4,12,1,12,1
Dharmavaram,Bapatla,ADDANKI - 5454,Dharmavaram,0,0,36,0,8,28,36,0,0,1,0,35,0,0,36,35,1,23,13,13,23,27,9,35,1,34,2,24,12
Dhenuva Konda,Bapatla,ADDANKI - 5454,Dhenuva Konda,0,1,17,4,6,8,18,0,0,0,1,17,0,0,18,17,1,13,5,4,14,16,2,10,8,18,0,16,2
Gopalapuram,Bapatla,ADDANKI - 5454,Gopalapuram,0,0,3,0,1,2,3,0,0,0,0,3,0,0,3,2,1,1,2,3,0,3,0,3,0,2,1,3,0
Kalavakuru,Bapatla,ADDANKI - 5454,Kalavakuru,0,3,18,1,4,16,21,0,0,0,0,21,2,0,19,20,1,11,10,5,16,14,7,20,1,20,1,20,1
Kotikalapudi,Bapatla,ADDANKI - 5454,Kotikalapudi,0,0,17,1,3,13,10,7,0,0,0,17,0,0,17,16,1,15,2,4,13,10,7,16,1,13,4,12,5
Kunkupadu,Bapatla,ADDANKI - 5454,Kunkupadu,0,0,8,0,0,8,1,7,0,0,0,8,0,0,8,8,0,3,5,0,8,1,7,8,0,3,5,0,8
Mani Keswaram,Bapatla,ADDANKI - 5454,Mani Keswaram,0,1,12,0,1,12,13,0,0,0,0,13,1,0,12,12,1,9,4,5,8,7,6,13,0,13,0,9,4
Modepalle,Bapatla,ADDANKI - 5454,Modepalle,0,1,13,0,2,12,14,0,0,0,0,14,2,0,12,14,0,10,4,1,13,9,5,14,0,14,0,11,3
Ramayapalem (U),Bapatla,ADDANKI - 5454,Ramayapalem (U),0,0,12,0,1,11,12,0,0,0,1,11,4,0,8,12,0,4,8,3,9,10,2,11,1,12,0,4,8
Uppalapadu,Bapatla,ADDANKI - 5454,Uppalapadu,0,0,24,0,0,24,20,4,0,0,0,24,3,0,21,23,1,14,10,10,14,20,4,22,2,17,7,10,14
Vemparala,Bapatla,ADDANKI - 5454,Vemparala,0,1,19,0,3,17,17,3,0,0,1,19,0,0,20,20,0,12,8,9,11,17,3,19,1,15,5,9,11
