State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Addepalli,Bapatla,BHATTIPROLU - 4928,Addepalli,0,0,101,1,19,81,70,31,0,0,3,98,0,0,101,72,29,94,7,19,82,59,42,99,2,63,38,74,27
Bhattiprolu,Bapatla,BHATTIPROLU - 4928,Bhattiprolu,0,0,112,0,2,109,86,26,0,6,0,106,0,0,112,71,41,97,15,7,105,30,82,110,2,63,49,5,107
Gorigapudi,Bapatla,BHATTIPROLU - 4928,Gorigapudi,0,1,49,0,2,48,48,2,0,1,0,49,0,0,50,50,0,44,6,50,0,35,15,34,16,44,6,25,25
Konetipuram,Bapatla,BHATTIPROLU - 4928,Konetipuram,0,0,52,0,4,48,48,4,0,1,3,48,0,0,52,51,1,51,1,15,37,10,42,51,1,45,7,41,11
Oleru,Bapatla,BHATTIPROLU - 4928,Oleru,0,1,53,0,0,54,54,0,0,0,2,52,0,0,54,50,4,46,8,3,51,12,41,54,0,52,2,50,4
Pallekona,Bapatla,BHATTIPROLU - 4928,Pallekona,0,0,41,0,2,39,31,10,0,0,0,41,0,0,41,24,17,38,3,2,39,10,31,41,0,28,13,2,39
Pedalanka,Bapatla,BHATTIPROLU - 4928,Pedalanka,0,1,1,0,1,1,2,0,0,0,1,1,0,0,2,0,2,1,1,0,2,0,2,2,0,2,0,2,0
Pedapulivarru,Bapatla,BHATTIPROLU - 4928,Pedapulivarru,0,0,52,0,1,51,37,14,1,0,2,50,0,0,52,46,6,44,8,26,26,18,32,52,0,51,1,46,6
Pesarlanka,Bapatla,BHATTIPROLU - 4928,Pesarlanka,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Surepalle,Bapatla,BHATTIPROLU - 4928,Surepalle,0,0,51,0,5,45,48,3,0,0,1,50,0,0,51,0,51,46,5,33,18,34,17,50,1,46,5,9,42
Vellaturu,Bapatla,BHATTIPROLU - 4928,Vellaturu,0,1,54,0,1,54,45,10,0,0,0,55,0,0,55,53,2,44,11,22,33,23,32,55,0,51,4,35,20
