State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Arepalle,Bapatla,CHERUKUPALLE - 4931,Arepalle,0,5,48,0,6,47,31,22,0,0,7,46,0,8,45,47,6,47,6,50,3,49,4,53,0,38,15,42,11
Arumbaka,Bapatla,CHERUKUPALLE - 4931,Arumbaka,0,42,193,1,62,171,131,101,3,0,66,169,0,0,235,233,2,196,39,189,46,84,150,234,1,172,63,223,12
Balusulapalem,Bapatla,CHERUKUPALLE - 4931,Balusulapalem,0,2,55,0,29,27,42,14,1,0,2,55,0,0,57,57,0,39,18,53,4,39,18,53,4,48,9,52,5
Gudavalli,Bapatla,CHERUKUPALLE - 4931,Gudavalli,0,3,9,1,0,11,10,2,0,0,4,8,0,0,12,12,0,12,0,1,11,10,2,12,0,5,7,12,0
Kanagala,Bapatla,CHERUKUPALLE - 4931,Kanagala,0,1,3,0,0,4,4,0,0,0,1,3,0,0,4,3,1,3,1,2,1,1,3,4,0,4,0,4,0
Kavuru,Bapatla,CHERUKUPALLE - 4931,Kavuru,0,1,66,0,23,44,55,12,0,0,4,63,0,0,67,67,0,52,15,53,14,39,27,58,9,48,19,55,12
Nadimpalle,Bapatla,CHERUKUPALLE - 4931,Nadimpalle,0,1,50,1,18,32,31,19,1,0,1,50,0,2,49,40,11,39,12,42,9,30,21,49,2,42,9,38,13
Ponnapalle,Bapatla,CHERUKUPALLE - 4931,Ponnapalle,0,8,59,0,13,53,41,26,0,0,11,56,1,0,66,63,4,55,12,59,8,16,51,67,0,55,12,47,20
Rajavolu,Bapatla,CHERUKUPALLE - 4931,Rajavolu,0,8,53,0,27,34,24,36,1,0,7,54,0,2,59,58,3,41,20,50,11,55,5,58,3,46,15,54,7
Rambhotlapalem,Bapatla,CHERUKUPALLE - 4931,Rambhotlapalem,0,5,120,0,32,93,81,44,0,0,10,115,0,1,124,122,3,87,38,104,21,75,49,104,21,104,21,100,25
