State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Alavalapadu,Bapatla,JANAKAVARAM PONGULURU - 5470,Alavalapadu,0,2,19,0,3,18,11,10,0,0,0,21,1,0,20,21,0,14,7,0,21,7,14,10,11,7,14,18,3
Budavada,Bapatla,JANAKAVARAM PONGULURU - 5470,Budavada,0,0,21,0,1,20,16,5,0,0,4,17,0,0,21,20,1,13,8,0,21,5,16,21,0,17,4,0,21
Bytamanjulur,Bapatla,JANAKAVARAM PONGULURU - 5470,Bytamanjulur,0,1,17,0,0,18,15,3,0,0,1,17,0,0,18,18,0,6,12,1,17,8,10,17,1,0,18,3,15
Chandalur,Bapatla,JANAKAVARAM PONGULURU - 5470,Chandalur,0,9,15,0,4,20,16,8,0,0,0,24,0,0,24,24,0,18,6,1,23,9,15,12,12,19,5,12,12
Janakavaram Panguluru,Bapatla,JANAKAVARAM PONGULURU - 5470,Janakavaram Panguluru,0,18,52,0,13,57,57,10,3,2,3,65,7,0,63,70,0,57,13,10,60,31,39,48,22,41,29,38,32
Kasyapuram,Bapatla,JANAKAVARAM PONGULURU - 5470,Kasyapuram,0,0,8,0,0,8,7,1,0,0,1,7,0,0,8,8,0,4,4,0,8,1,7,7,1,0,8,6,2
Konda Manjulur,Bapatla,JANAKAVARAM PONGULURU - 5470,Konda Manjulur,0,4,21,1,4,20,19,6,0,0,3,22,0,0,25,24,1,18,7,8,17,10,15,23,2,11,14,5,20
Kondamur,Bapatla,JANAKAVARAM PONGULURU - 5470,Kondamur,1,12,25,0,4,34,31,7,0,2,5,31,0,0,38,37,1,25,13,0,38,23,15,26,12,11,27,37,1
Muppavaram,Bapatla,JANAKAVARAM PONGULURU - 5470,Muppavaram,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0
Ramakuru,Bapatla,JANAKAVARAM PONGULURU - 5470,Ramakuru,0,3,15,0,0,18,15,3,0,0,13,5,0,0,18,18,0,10,8,0,18,8,10,18,0,12,6,3,15
Reningavaram,Bapatla,JANAKAVARAM PONGULURU - 5470,Reningavaram,0,0,12,0,0,12,6,6,0,0,1,11,0,0,12,12,0,3,9,0,12,0,12,10,2,4,8,3,9
Thurpu Koppera Padu,Bapatla,JANAKAVARAM PONGULURU - 5470,Thurpu Koppera Padu,0,1,16,0,6,11,15,2,0,0,1,16,0,0,17,17,0,9,8,7,10,7,10,16,1,6,11,11,6
Thurpu Thakkella Padu,Bapatla,JANAKAVARAM PONGULURU - 5470,Thurpu Thakkella Padu,0,0,5,0,2,3,5,0,0,0,0,5,0,0,5,5,0,4,1,1,4,3,2,5,0,0,5,0,5
