State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Ananthavaram,Bapatla,KOLLUR - 4944,Ananthavaram,0,28,14,2,4,36,24,18,0,0,37,5,0,0,42,41,1,42,0,33,9,32,10,28,14,26,16,38,4
Chilumuru,Bapatla,KOLLUR - 4944,Chilumuru,0,15,25,0,28,12,22,18,0,0,19,21,0,0,40,39,1,38,2,1,39,15,25,27,12,39,1,36,4
Chinapulivarru,Bapatla,KOLLUR - 4944,Chinapulivarru,0,11,30,0,12,29,27,14,0,3,14,24,0,0,41,41,0,39,2,1,40,7,34,41,0,41,0,21,20
Donepudi,Bapatla,KOLLUR - 4944,Donepudi,0,12,9,0,3,18,15,6,0,10,8,3,0,0,21,21,0,21,0,2,19,3,18,21,0,21,0,4,17
Gajullanka,Bapatla,KOLLUR - 4944,Gajullanka,0,39,40,2,26,51,52,27,0,8,48,23,0,0,79,79,0,79,0,24,55,36,42,67,9,69,9,49,30
Ipur,Bapatla,KOLLUR - 4944,Ipur,0,5,10,1,5,9,10,5,0,0,8,7,0,0,15,15,0,14,1,11,4,6,9,13,2,11,4,13,2
Kollur,Bapatla,KOLLUR - 4944,Kollur,0,33,70,1,45,57,67,35,1,3,46,54,2,0,101,102,1,100,3,14,89,74,28,101,1,99,4,64,39
Pedalanka,Bapatla,KOLLUR - 4944,Pedalanka,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Potharlanka,Bapatla,KOLLUR - 4944,Potharlanka,0,27,74,0,45,56,64,37,0,0,40,61,1,0,100,100,1,100,1,15,86,90,11,98,3,94,7,62,39
Ravikampadu,Bapatla,KOLLUR - 4944,Ravikampadu,0,7,75,0,39,43,46,36,0,6,1,75,0,0,82,82,0,81,1,9,73,47,35,80,1,78,4,51,31
