State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Anamanamur,Bapatla,KORISAPADU - 5477,Anamanamur,0,1,4,1,0,4,5,0,0,0,1,4,0,0,5,5,0,5,0,0,5,5,0,5,0,3,2,5,0
Bodduvani Palem,Bapatla,KORISAPADU - 5477,Bodduvani Palem,1,26,19,1,2,42,36,10,0,4,26,16,0,0,46,46,0,38,8,1,45,40,6,44,2,31,15,42,4
Dyvala Ravuru,Bapatla,KORISAPADU - 5477,Dyvala Ravuru,0,2,11,0,1,12,9,4,0,1,1,11,1,0,12,13,0,13,0,0,13,11,2,11,2,7,6,9,4
Korisapadu,Bapatla,KORISAPADU - 5477,Korisapadu,0,6,30,2,2,32,30,6,0,0,8,28,0,0,36,35,1,27,9,0,36,33,3,35,1,22,14,32,4
Pamidi Padu,Bapatla,KORISAPADU - 5477,Pamidi Padu,0,3,43,0,20,26,40,6,0,2,3,41,0,0,46,46,0,46,0,0,46,40,6,46,0,21,25,44,2
Pichikalagudipadu,Bapatla,KORISAPADU - 5477,Pichikalagudipadu,0,11,4,0,0,15,12,3,0,1,13,1,2,0,13,15,0,13,2,0,14,15,0,15,0,10,5,14,1
Prasangula Padu,Bapatla,KORISAPADU - 5477,Prasangula Padu,0,0,14,0,9,5,14,0,0,0,1,13,0,0,14,14,0,13,1,0,14,13,1,14,0,5,9,14,0
Rachapudi,Bapatla,KORISAPADU - 5477,Rachapudi,0,0,17,0,9,8,15,2,0,0,1,16,0,0,17,17,0,17,0,0,17,12,5,17,0,7,10,16,1
Ravinuthala,Bapatla,KORISAPADU - 5477,Ravinuthala,0,6,30,0,3,33,31,5,0,0,6,30,1,0,35,36,0,32,4,1,35,34,2,34,2,31,5,33,3
Somavarappadu,Bapatla,KORISAPADU - 5477,Somavarappadu,0,1,3,0,1,3,4,0,0,1,0,3,0,0,4,4,0,4,0,0,4,4,0,4,0,3,1,4,0
