State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bobbe Palle,Bapatla,MARTUR - 5484,Bobbe Palle,0,0,12,0,0,12,12,0,0,0,0,12,0,0,12,11,1,8,4,0,12,3,9,10,2,2,10,11,1
Bolla Palle,Bapatla,MARTUR - 5484,Bolla Palle,0,1,11,0,0,12,10,2,0,0,0,12,0,0,12,12,0,7,5,0,12,3,7,12,0,10,2,12,0
Darsiagraharam,Bapatla,MARTUR - 5484,Darsiagraharam,0,0,10,0,4,6,8,2,0,0,0,10,0,0,10,10,0,8,1,0,10,10,0,10,0,7,3,9,1
Dronadula,Bapatla,MARTUR - 5484,Dronadula,0,0,26,0,4,22,18,7,1,0,0,26,0,0,26,23,3,17,8,0,26,26,0,26,0,26,0,25,1
Jonna Thali Agraharam,Bapatla,MARTUR - 5484,Jonna Thali Agraharam,0,0,13,0,1,12,7,6,0,0,0,13,0,0,13,13,0,10,3,0,13,12,1,13,0,12,1,12,1
Kolala Pudi,Bapatla,MARTUR - 5484,Kolala Pudi,0,0,12,0,1,11,10,2,0,0,0,12,0,0,12,12,0,11,1,0,12,7,5,12,0,9,3,11,1
Konanki,Bapatla,MARTUR - 5484,Konanki,0,0,24,0,0,24,14,9,1,0,0,24,0,0,24,24,0,15,9,0,24,15,8,24,0,21,3,20,4
Martur,Bapatla,MARTUR - 5484,Martur,0,2,71,0,4,67,66,6,1,1,19,53,6,0,67,72,1,60,13,29,44,50,23,72,1,63,10,69,4
Nagaraju Palle,Bapatla,MARTUR - 5484,Nagaraju Palle,0,0,13,0,1,12,10,3,0,0,0,13,0,0,13,12,1,9,4,0,13,3,10,13,0,9,4,9,4
Rajupalem,Bapatla,MARTUR - 5484,Rajupalem,0,0,20,0,2,18,14,6,0,0,0,20,0,0,20,20,0,14,6,0,20,18,2,20,0,13,7,17,3
Valaparla,Bapatla,MARTUR - 5484,Valaparla,0,3,19,0,2,19,18,4,0,0,0,22,0,0,22,22,0,19,3,0,21,6,14,22,0,21,1,17,5
