State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Allaparru,Bapatla,NAGARAM - 4952,Allaparru,0,0,127,1,19,107,108,18,1,1,0,126,2,0,125,86,41,98,29,112,15,59,68,127,0,79,48,98,29
Dhulipudi,Bapatla,NAGARAM - 4952,Dhulipudi,0,0,141,22,57,62,81,57,3,0,0,141,0,1,140,120,21,115,26,93,48,16,125,140,1,121,20,115,26
Edupalle,Bapatla,NAGARAM - 4952,Edupalle,0,0,42,2,20,20,17,25,0,0,0,42,9,0,33,36,6,31,11,39,3,17,25,42,0,16,26,17,25
Eletipalem,Bapatla,NAGARAM - 4952,Eletipalem,0,2,84,1,7,78,45,36,5,0,3,83,0,0,86,65,21,67,19,44,42,10,76,84,2,73,13,59,27
Nagaram,Bapatla,NAGARAM - 4952,Nagaram,0,0,52,6,15,31,28,23,1,0,0,52,0,0,52,37,15,46,6,35,17,18,34,52,0,42,10,45,7
Pamidimarru,Bapatla,NAGARAM - 4952,Pamidimarru,0,0,27,2,23,2,18,7,2,0,0,27,0,0,27,27,0,20,7,27,0,2,25,27,0,22,5,27,0
Pedamatlapudi,Bapatla,NAGARAM - 4952,Pedamatlapudi,0,0,84,2,8,74,15,65,4,0,0,84,1,27,56,51,33,68,16,70,14,45,39,84,0,59,25,66,17
Pedapalle,Bapatla,NAGARAM - 4952,Pedapalle,0,0,41,0,15,26,8,32,1,0,0,41,0,22,19,32,9,39,2,38,3,15,26,41,0,33,8,14,27
Peddavaram,Bapatla,NAGARAM - 4952,Peddavaram,0,0,13,0,2,11,11,2,0,0,0,13,0,0,13,13,0,11,2,2,11,2,11,13,0,13,0,12,1
Pudiwada,Bapatla,NAGARAM - 4952,Pudiwada,0,3,39,2,19,21,17,25,0,0,0,42,0,0,42,40,2,39,3,35,7,21,21,42,0,36,6,40,2
Siripudi,Bapatla,NAGARAM - 4952,Siripudi,0,0,45,1,14,30,8,37,0,0,0,45,0,1,44,40,5,40,5,41,4,22,23,45,0,38,7,33,12
Sivangulapalem,Bapatla,NAGARAM - 4952,Sivangulapalem,0,0,5,1,4,0,1,4,0,0,0,5,0,0,5,5,0,5,0,4,1,5,0,5,0,5,0,3,2
Thotapalle,Bapatla,NAGARAM - 4952,Thotapalle,0,0,25,0,4,21,20,5,0,0,0,25,0,0,25,25,0,22,3,1,24,2,23,25,0,17,8,22,3
