State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Adusumalle,Bapatla,PARCHUR - 5489,Adusumalle,0,0,8,0,1,7,8,0,0,0,0,8,0,0,8,8,0,8,0,0,8,0,8,7,1,7,1,5,3
Chennubhotla Palem,Bapatla,PARCHUR - 5489,Chennubhotla Palem,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
Cherukuru,Bapatla,PARCHUR - 5489,Cherukuru,0,0,16,0,1,15,15,1,0,0,1,15,0,0,16,12,4,16,0,5,11,8,8,16,0,16,0,9,7
Devara Palle,Bapatla,PARCHUR - 5489,Devara Palle,0,0,11,0,3,8,11,0,0,0,0,11,0,0,11,11,0,10,1,1,10,3,8,10,1,11,0,5,6
Edubadu,Bapatla,PARCHUR - 5489,Edubadu,0,1,1,0,0,2,1,0,1,0,0,2,0,0,2,2,0,2,0,2,0,0,2,2,0,2,0,1,1
Garnepudi,Bapatla,PARCHUR - 5489,Garnepudi,0,1,18,1,1,17,16,2,1,0,0,19,0,0,19,15,4,19,0,1,18,2,17,19,0,16,3,11,8
Gollapudi,Bapatla,PARCHUR - 5489,Gollapudi,0,0,7,0,1,6,7,0,0,1,0,6,0,0,7,7,0,7,0,0,7,0,7,7,0,7,0,3,4
Inagallu,Bapatla,PARCHUR - 5489,Inagallu,0,0,13,0,6,7,12,1,0,1,0,12,0,0,13,13,0,12,1,4,9,4,9,13,0,11,2,8,5
Nuthalapadu,Bapatla,PARCHUR - 5489,Nuthalapadu,0,3,24,1,5,21,27,0,0,0,2,25,2,0,25,24,3,25,2,0,27,6,21,25,2,25,2,13,14
Parchur,Bapatla,PARCHUR - 5489,Parchur,0,3,76,3,8,68,77,2,0,1,2,76,1,0,78,53,26,72,7,1,78,7,72,76,3,72,7,45,34
Ramanayapalem,Bapatla,PARCHUR - 5489,Ramanayapalem,0,0,15,0,2,13,15,0,0,0,0,15,0,0,15,11,4,15,0,2,13,1,14,14,1,15,0,8,7
Upputur,Bapatla,PARCHUR - 5489,Upputur,0,2,16,2,6,10,17,1,0,0,3,15,0,0,18,13,5,17,1,3,15,6,12,18,0,17,1,9,8
Veeranna Palem,Bapatla,PARCHUR - 5489,Veeranna Palem,0,0,16,4,0,12,14,0,2,0,0,16,0,0,16,9,7,15,1,2,14,7,9,16,0,16,0,11,5
