State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Aravapalle,Bapatla,REPALLE - 4967,Aravapalle,0,9,3,0,3,9,9,2,1,0,9,3,0,0,12,12,0,10,2,2,10,10,2,12,0,10,2,7,5
Bethapudi,Bapatla,REPALLE - 4967,Bethapudi,0,3,4,0,2,5,6,1,0,0,3,4,0,0,7,6,1,7,0,4,3,5,2,7,0,5,2,7,0
Chatragadda,Bapatla,REPALLE - 4967,Chatragadda,0,25,3,0,14,14,22,6,0,0,24,4,0,0,28,22,6,25,3,14,14,14,14,28,0,3,25,26,2
Chodayapalem,Bapatla,REPALLE - 4967,Chodayapalem,0,28,24,0,12,40,48,4,0,17,12,23,2,0,50,17,35,47,5,7,45,11,41,46,6,41,11,46,6
Gangadipalem,Bapatla,REPALLE - 4967,Gangadipalem,0,40,49,1,5,82,70,18,1,1,47,41,19,0,70,56,33,77,12,44,45,20,69,86,3,64,25,85,4
Isukapalle (R),Bapatla,REPALLE - 4967,Isukapalle (R),0,12,12,0,5,19,20,4,0,2,12,10,0,0,24,18,6,22,2,22,2,20,4,24,0,15,9,24,0
Kaithepalle,Bapatla,REPALLE - 4967,Kaithepalle,0,25,37,0,8,52,44,16,2,2,29,31,0,0,62,33,29,49,13,29,33,15,47,55,7,52,10,40,22
Kamarajugadda,Bapatla,REPALLE - 4967,Kamarajugadda,0,5,25,0,0,29,26,4,0,0,6,24,0,0,30,28,2,26,4,3,27,18,12,24,6,10,20,14,16
Karumuru,Bapatla,REPALLE - 4967,Karumuru,0,1,23,0,2,22,21,3,0,0,4,20,0,0,24,19,5,20,4,11,13,21,3,24,0,21,3,22,2
Nalluru,Bapatla,REPALLE - 4967,Nalluru,0,18,4,0,6,16,19,3,0,0,22,0,0,0,22,5,17,16,6,6,16,2,20,22,0,5,17,17,5
Penumudi,Bapatla,REPALLE - 4967,Penumudi,0,11,15,0,2,24,24,2,0,0,12,14,0,0,26,18,8,25,1,4,22,5,21,24,2,16,10,21,5
Peteru,Bapatla,REPALLE - 4967,Peteru,0,35,24,1,8,49,40,19,0,3,37,19,0,1,58,42,17,57,2,32,27,9,50,58,1,31,28,52,7
Potumeraka,Bapatla,REPALLE - 4967,Potumeraka,0,5,16,1,5,15,20,1,0,0,10,11,1,0,20,18,3,18,3,5,16,5,16,21,0,17,4,16,4
REPALLE TOWN (U),Bapatla,REPALLE - 4967,REPALLE TOWN (U),0,28,1,0,15,14,20,9,0,0,29,0,0,0,29,16,13,26,3,1,28,5,23,29,0,16,13,24,4
Singupalem,Bapatla,REPALLE - 4967,Singupalem,0,5,12,0,2,15,13,4,0,0,7,10,0,0,17,3,14,16,1,6,11,5,12,17,0,12,5,15,2
Uppudi,Bapatla,REPALLE - 4967,Uppudi,0,10,19,2,1,26,19,10,0,0,9,20,0,0,29,22,7,24,5,11,18,2,27,27,2,23,6,28,1
