State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Elchur,Bapatla,SANTHAMAGULURU - 5496,Elchur,0,1,61,0,23,36,62,0,0,0,2,60,0,0,62,62,0,21,41,2,60,37,25,61,1,49,13,3,55
Gurijepalle,Bapatla,SANTHAMAGULURU - 5496,Gurijepalle,0,0,21,0,1,17,21,0,0,0,0,21,1,0,20,20,1,9,12,1,20,21,0,21,0,12,9,19,0
Kamepalle,Bapatla,SANTHAMAGULURU - 5496,Kamepalle,0,0,18,0,2,14,18,0,0,0,0,18,0,0,18,18,0,7,11,0,18,18,0,18,0,12,6,17,0
Kommala Padu,Bapatla,SANTHAMAGULURU - 5496,Kommala Padu,0,0,22,0,5,17,22,0,0,0,0,22,8,0,14,22,0,10,12,0,22,6,16,22,0,18,4,13,9
Kopparam,Bapatla,SANTHAMAGULURU - 5496,Kopparam,0,0,23,0,5,18,22,1,0,0,1,22,0,0,23,22,1,9,14,0,23,19,4,23,0,18,5,23,0
Kunduru (East),Bapatla,SANTHAMAGULURU - 5496,Kunduru (East),0,0,3,0,3,0,2,1,0,0,0,3,0,0,3,3,0,1,2,0,3,2,1,3,0,2,1,3,0
Kunduru (West),Bapatla,SANTHAMAGULURU - 5496,Kunduru (West),0,0,21,1,9,11,17,4,0,0,1,20,0,0,21,19,1,7,14,0,21,11,10,21,0,17,4,14,7
Santhamaguluru,Bapatla,SANTHAMAGULURU - 5496,Santhamaguluru,0,2,192,53,87,53,170,19,5,0,2,192,8,0,186,186,8,121,73,32,162,88,106,178,16,158,36,133,61
Tangedu Malli,Bapatla,SANTHAMAGULURU - 5496,Tangedu Malli,0,0,6,2,1,3,6,0,0,0,0,6,0,0,6,6,0,4,2,1,5,4,2,3,3,6,0,3,3
Vellala Cheruvu,Bapatla,SANTHAMAGULURU - 5496,Vellala Cheruvu,0,2,21,0,5,18,22,0,1,0,0,23,0,0,23,22,1,18,5,7,16,6,17,19,4,19,4,14,7
