State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Abbanagudavalli,Bapatla,VEMURU - 4978,Abbanagudavalli,0,14,15,1,2,26,27,2,0,5,14,10,0,0,29,29,0,28,1,15,14,18,10,29,0,21,8,29,0
Balijepalle,Bapatla,VEMURU - 4978,Balijepalle,0,8,18,0,0,26,23,3,0,2,17,7,0,0,26,24,2,26,0,4,22,16,10,26,0,20,6,26,0
Chadalawada,Bapatla,VEMURU - 4978,Chadalawada,0,8,10,0,0,18,16,2,0,4,7,7,0,0,18,16,2,17,1,1,17,14,4,18,0,15,3,18,0
Chavali,Bapatla,VEMURU - 4978,Chavali,0,40,54,0,4,89,69,25,0,28,17,49,0,0,94,91,3,76,18,46,48,21,73,84,10,72,22,85,9
Jampani,Bapatla,VEMURU - 4978,Jampani,0,25,81,0,16,89,66,40,0,0,49,57,0,0,106,104,2,89,17,69,37,11,95,106,0,80,26,104,2
Kuchallapadu,Bapatla,VEMURU - 4978,Kuchallapadu,0,5,7,0,0,12,11,1,0,3,5,4,0,0,12,11,1,11,1,0,12,10,2,12,0,6,6,12,0
Penumarru,Bapatla,VEMURU - 4978,Penumarru,0,7,41,0,2,46,32,16,0,4,5,39,1,0,47,44,4,45,3,3,45,5,43,48,0,43,5,48,0
Peravali,Bapatla,VEMURU - 4978,Peravali,0,2,46,0,2,46,39,9,0,0,6,42,0,0,48,44,4,40,8,36,12,1,47,46,2,40,8,45,3
Peravalipalem,Bapatla,VEMURU - 4978,Peravalipalem,0,14,33,0,4,43,44,3,0,10,10,27,1,0,46,41,6,43,4,25,22,15,32,44,3,31,16,47,0
Pothumarru,Bapatla,VEMURU - 4978,Pothumarru,5,12,2,0,5,14,15,4,0,5,12,2,0,0,19,19,0,17,2,13,6,4,15,19,0,13,6,17,2
Varahapuram,Bapatla,VEMURU - 4978,Varahapuram,0,10,2,0,2,10,9,3,0,4,7,1,0,0,12,7,5,11,1,9,3,6,6,12,0,10,2,12,0
Vemuru,Bapatla,VEMURU - 4978,Vemuru,3,76,59,0,22,116,87,51,0,7,88,43,0,0,138,132,6,112,26,88,50,35,103,136,2,125,13,123,15
