State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Agaramangalam,CHITTOOR,GANGADHARA NELLORE - 4757,Agaramangalam,0,8,30,15,14,9,14,21,3,3,10,25,0,0,37,38,0,36,2,21,18,29,9,39,0,35,3,33,6
Ambodharapalle,CHITTOOR,GANGADHARA NELLORE - 4757,Ambodharapalle,0,6,12,2,12,4,7,10,1,0,6,12,0,0,18,18,0,13,5,9,9,13,5,17,1,14,4,16,2
Bojjinayanipalle,CHITTOOR,GANGADHARA NELLORE - 4757,Bojjinayanipalle,0,2,7,4,4,1,1,8,0,0,4,5,0,0,9,9,0,6,3,6,3,5,4,9,0,8,1,9,0
Bukkapatnam,CHITTOOR,GANGADHARA NELLORE - 4757,Bukkapatnam,0,3,8,2,8,1,4,6,1,0,4,7,0,0,11,11,0,10,1,8,3,7,4,10,0,11,0,11,0
Chinnavepanjeri,CHITTOOR,GANGADHARA NELLORE - 4757,Chinnavepanjeri,0,8,49,24,22,11,18,37,2,1,17,39,0,0,56,57,0,45,12,42,15,40,17,55,2,53,4,55,2
Ellapalle,CHITTOOR,GANGADHARA NELLORE - 4757,Ellapalle,0,1,1,2,0,0,2,0,0,1,0,1,0,0,2,2,0,2,0,1,1,2,0,2,0,1,1,2,0
Gangadharanellore,CHITTOOR,GANGADHARA NELLORE - 4757,Gangadharanellore,0,5,10,9,5,1,4,8,3,2,3,10,0,0,15,15,0,13,2,10,5,11,4,15,0,12,3,12,3
Kadapagunta,CHITTOOR,GANGADHARA NELLORE - 4757,Kadapagunta,0,7,10,2,6,9,8,8,1,4,5,8,0,0,17,17,0,16,1,9,8,9,8,16,1,15,2,12,4
Kalijavedu,CHITTOOR,GANGADHARA NELLORE - 4757,Kalijavedu,0,9,8,6,10,1,3,14,0,0,9,8,0,0,17,17,0,13,4,9,8,15,2,17,0,14,3,16,1
Kondepalle,CHITTOOR,GANGADHARA NELLORE - 4757,Kondepalle,0,2,6,3,4,1,3,5,0,2,2,4,0,0,8,8,0,7,1,4,4,8,0,7,1,8,0,8,0
Kotagaram,CHITTOOR,GANGADHARA NELLORE - 4757,Kotagaram,0,3,14,3,7,7,8,9,0,0,2,15,0,0,17,17,0,13,4,12,5,10,7,17,0,15,2,17,0
Kothavenkatapuram,CHITTOOR,GANGADHARA NELLORE - 4757,Kothavenkatapuram,0,4,11,4,8,3,4,11,0,0,4,11,0,0,15,15,0,12,3,7,8,10,5,15,0,13,2,15,0
Kotrakona,CHITTOOR,GANGADHARA NELLORE - 4757,Kotrakona,0,8,9,13,3,1,12,5,0,5,3,9,0,0,17,17,0,14,3,10,7,15,2,17,0,16,1,14,3
Mahadevamangalam,CHITTOOR,GANGADHARA NELLORE - 4757,Mahadevamangalam,0,6,9,15,0,0,8,7,0,3,3,9,0,0,15,15,0,13,2,9,6,13,2,15,0,15,0,13,2
Mukkelathuru,CHITTOOR,GANGADHARA NELLORE - 4757,Mukkelathuru,0,7,9,12,4,0,9,4,3,1,6,9,0,0,16,16,0,13,3,5,11,15,1,15,1,15,1,15,1
Nandanoor,CHITTOOR,GANGADHARA NELLORE - 4757,Nandanoor,0,10,8,9,6,3,10,7,1,3,7,8,0,0,18,18,0,16,2,6,12,17,1,18,0,17,1,17,1
Nellipalle,CHITTOOR,GANGADHARA NELLORE - 4757,Nellipalle,0,5,14,8,10,1,4,14,1,2,5,12,0,0,19,19,0,17,2,7,12,10,9,19,0,17,2,17,2
Pathavenkatapuram,CHITTOOR,GANGADHARA NELLORE - 4757,Pathavenkatapuram,0,4,8,6,3,3,4,7,1,2,2,8,0,0,12,12,0,12,0,3,9,6,6,12,0,12,0,11,1
Peddakalva,CHITTOOR,GANGADHARA NELLORE - 4757,Peddakalva,0,3,11,1,10,3,6,7,1,0,3,11,0,0,14,14,0,10,4,1,13,12,2,14,0,14,0,11,3
Tungundram,CHITTOOR,GANGADHARA NELLORE - 4757,Tungundram,0,5,12,4,5,8,7,8,2,2,5,10,0,0,17,17,0,13,4,5,12,9,8,17,0,16,1,13,4
Varathuru,CHITTOOR,GANGADHARA NELLORE - 4757,Varathuru,0,4,14,7,7,4,11,7,0,0,6,12,0,0,18,18,0,15,3,4,14,3,15,18,0,17,1,11,7
Veerakanellore,CHITTOOR,GANGADHARA NELLORE - 4757,Veerakanellore,0,3,9,8,4,0,4,7,1,2,4,6,0,0,11,12,0,10,2,5,7,9,3,12,0,8,4,10,2
Velkur,CHITTOOR,GANGADHARA NELLORE - 4757,Velkur,0,11,12,6,17,0,4,17,2,0,11,12,0,0,23,23,0,18,5,11,12,19,4,22,1,22,1,22,1
Vepanjeri,CHITTOOR,GANGADHARA NELLORE - 4757,Vepanjeri,0,4,12,1,12,3,1,13,2,1,4,11,0,0,16,16,0,13,3,12,4,13,3,16,0,14,2,13,3
Vezzupalle,CHITTOOR,GANGADHARA NELLORE - 4757,Vezzupalle,0,7,7,6,8,0,4,7,3,3,5,6,0,1,13,14,0,12,2,11,3,13,1,13,1,12,2,13,1
Vinjam,CHITTOOR,GANGADHARA NELLORE - 4757,Vinjam,0,15,27,7,30,5,19,23,0,5,14,23,0,0,42,42,0,37,5,25,18,31,12,43,0,40,2,35,8
