State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Adilakshmamba Puram,CHITTOOR,GUDIPALA - 4759,Adilakshmamba Puram,0,6,33,20,12,7,20,18,1,0,9,30,0,0,39,39,0,37,2,17,22,28,11,38,1,39,0,31,8
Basavapalle,CHITTOOR,GUDIPALA - 4759,Basavapalle,0,7,15,16,5,1,21,1,0,0,7,15,0,0,22,22,0,21,1,3,19,16,6,22,0,20,2,20,2
Bomma Samudram,CHITTOOR,GUDIPALA - 4759,Bomma Samudram,0,2,2,3,1,0,3,1,0,0,3,1,0,0,4,4,0,4,0,3,1,4,0,3,1,3,1,3,1
Cheelapalle,CHITTOOR,GUDIPALA - 4759,Cheelapalle,0,12,27,28,10,0,29,10,0,2,10,27,0,2,37,39,0,37,2,19,20,26,13,35,4,34,5,36,3
Chittapara,CHITTOOR,GUDIPALA - 4759,Chittapara,0,10,12,16,2,4,17,5,0,2,9,11,0,0,22,22,0,16,6,17,5,20,2,17,5,17,5,22,0
Gudipala,CHITTOOR,GUDIPALA - 4759,Gudipala,0,5,24,21,7,1,21,7,1,0,6,23,0,0,29,29,0,16,13,15,14,19,10,25,4,20,9,25,4
Kothapalle,CHITTOOR,GUDIPALA - 4759,Kothapalle,0,3,14,13,4,0,16,1,0,0,5,12,0,0,17,17,0,17,0,3,14,12,5,17,0,8,9,5,12
Krishna Jammapuram,CHITTOOR,GUDIPALA - 4759,Krishna Jammapuram,0,1,1,1,1,0,2,0,0,0,2,0,0,0,2,2,0,2,0,0,2,2,0,2,0,2,0,2,0
Kuppiganipalle,CHITTOOR,GUDIPALA - 4759,Kuppiganipalle,0,1,4,0,5,0,4,1,0,0,1,4,0,0,5,5,0,3,2,2,3,5,0,5,0,3,2,4,1
Marakalakuppam,CHITTOOR,GUDIPALA - 4759,Marakalakuppam,0,7,12,12,7,0,16,3,0,0,10,9,0,1,18,19,0,14,5,6,13,13,6,15,4,18,1,13,6
Muthukurpalle,CHITTOOR,GUDIPALA - 4759,Muthukurpalle,0,7,13,17,2,0,15,5,0,0,8,12,0,0,20,20,0,17,3,16,4,17,3,17,3,17,3,11,9
Nangamangalam,CHITTOOR,GUDIPALA - 4759,Nangamangalam,0,7,12,17,2,0,16,3,0,0,9,10,0,0,19,19,0,19,0,19,0,11,8,19,0,19,0,18,1
Papasamudram,CHITTOOR,GUDIPALA - 4759,Papasamudram,0,5,16,20,1,0,16,4,1,0,6,15,0,0,21,21,0,20,1,18,3,17,4,19,2,14,7,14,7
Pasumanda,CHITTOOR,GUDIPALA - 4759,Pasumanda,0,1,2,2,1,0,2,0,1,0,1,2,0,0,3,3,0,2,1,2,1,2,1,3,0,3,0,2,1
Pasumanda,CHITTOOR,GUDIPALA - 4759,Pasumanda,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Ramapuram,CHITTOOR,GUDIPALA - 4759,Ramapuram,0,3,14,10,7,0,14,3,0,0,3,14,0,0,17,17,0,16,1,14,3,11,6,14,3,15,2,14,3
Thimmaiahpalle,CHITTOOR,GUDIPALA - 4759,Thimmaiahpalle,0,5,8,9,4,0,6,6,1,0,5,8,0,0,13,13,0,9,4,6,7,11,2,12,1,12,1,12,1
Vasanthapuram,CHITTOOR,GUDIPALA - 4759,Vasanthapuram,0,5,13,10,8,0,17,1,0,0,7,11,0,0,18,18,0,18,0,0,18,12,6,15,3,17,1,15,3
