State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Agaram,CHITTOOR,GUDUPALLE - 4760,Agaram,0,0,23,15,4,4,7,14,2,0,2,21,0,0,23,23,0,20,3,15,8,15,8,22,1,19,4,21,2
Anagarlapalle,CHITTOOR,GUDUPALLE - 4760,Anagarlapalle,0,1,4,4,0,1,1,3,1,0,1,4,0,0,5,5,0,4,1,5,0,5,0,5,0,5,0,5,0
Anganamalakothuru,CHITTOOR,GUDUPALLE - 4760,Anganamalakothuru,0,0,5,2,1,2,4,1,0,0,2,3,0,0,5,5,0,4,1,4,1,2,3,5,0,5,0,5,0
Avulathimmanapalle,CHITTOOR,GUDUPALLE - 4760,Avulathimmanapalle,0,0,26,20,4,2,4,20,2,0,2,24,0,0,26,26,0,24,2,18,8,20,6,26,0,23,3,23,3
Beggilipalle,CHITTOOR,GUDUPALLE - 4760,Beggilipalle,0,1,16,8,8,1,6,9,2,0,1,16,0,2,15,17,0,15,2,16,1,12,5,17,0,16,1,16,1
Bijiganipalle,CHITTOOR,GUDUPALLE - 4760,Bijiganipalle,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Cheekatipalle,CHITTOOR,GUDUPALLE - 4760,Cheekatipalle,0,0,13,9,3,1,5,8,0,0,3,10,0,0,13,13,0,13,0,13,0,9,4,13,0,12,1,12,1
Chinnagollapalle,CHITTOOR,GUDUPALLE - 4760,Chinnagollapalle,0,10,27,34,1,2,22,13,2,2,10,25,0,0,37,37,0,33,4,30,7,29,8,37,0,33,4,34,3
Dasimanipalle,CHITTOOR,GUDUPALLE - 4760,Dasimanipalle,0,2,25,19,6,2,10,14,3,0,8,19,0,0,27,27,0,22,5,22,5,20,7,27,0,25,2,26,1
Gokarlapalle,CHITTOOR,GUDUPALLE - 4760,Gokarlapalle,0,0,5,2,1,2,2,1,2,0,0,5,0,0,5,5,0,5,0,4,1,5,0,5,0,5,0,5,0
