State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Chigarapalle,CHITTOOR,IRALA - 4762,Chigarapalle,0,6,24,9,8,13,21,6,3,3,4,23,0,0,30,30,0,23,7,4,26,15,15,28,1,28,2,21,9
Erlampalle,CHITTOOR,IRALA - 4762,Erlampalle,0,11,37,36,9,3,34,10,4,3,8,37,0,0,48,48,0,42,6,23,25,32,16,48,0,41,7,34,14
Gundlapalle,CHITTOOR,IRALA - 4762,Gundlapalle,0,4,6,10,0,0,8,2,0,0,4,6,0,0,10,10,0,8,2,5,5,10,0,10,0,10,0,9,1
Irala,CHITTOOR,IRALA - 4762,Irala,0,21,48,25,27,17,21,41,7,3,18,48,1,0,67,68,1,57,12,42,27,57,12,67,2,63,6,61,8
Kaminayanipalle,CHITTOOR,IRALA - 4762,Kaminayanipalle,0,10,25,5,11,19,6,25,4,1,9,25,0,0,35,35,0,31,4,34,1,30,5,35,0,30,5,23,12
Kanipakam,CHITTOOR,IRALA - 4762,Kanipakam,0,12,24,32,4,0,19,16,1,2,9,25,0,0,36,36,0,29,7,19,17,28,8,35,1,35,1,31,5
Kothapalle,CHITTOOR,IRALA - 4762,Kothapalle,0,8,27,19,11,5,19,15,1,8,0,27,0,0,35,35,0,29,6,2,33,4,31,35,0,33,2,25,10
Morampalle,CHITTOOR,IRALA - 4762,Morampalle,0,11,23,18,6,10,12,11,11,1,10,23,0,0,34,34,0,29,5,28,6,26,8,34,0,33,1,24,10
Mudigolam,CHITTOOR,IRALA - 4762,Mudigolam,0,7,20,21,6,0,14,13,0,1,6,20,0,0,27,27,0,23,4,7,20,19,8,27,0,26,1,22,5
Nampalle,CHITTOOR,IRALA - 4762,Nampalle,0,16,17,26,7,0,17,16,0,2,15,16,0,0,33,33,0,26,7,24,9,31,2,33,0,31,2,24,9
Polakala,CHITTOOR,IRALA - 4762,Polakala,0,11,21,29,2,1,23,9,0,10,1,21,2,0,30,32,0,27,5,4,28,19,13,32,0,30,2,30,2
Pulluru,CHITTOOR,IRALA - 4762,Pulluru,0,12,13,6,9,10,2,11,12,1,11,13,0,0,25,25,0,23,2,19,6,16,9,25,0,24,1,20,5
